"","Ind","TimePoint","Treatment","Tank","Mass_Corrected.x","Mass_Corrected.y","FAS","residuals"
"1","BT_1","190","15",1,162.472154669869,688.528309319405,4.23782346407877,-0.0386145749565644
"2","BT_1","190","15",2,122.550770373294,656.349687562552,5.35573693713459,0.0630618009956914
"3","BT_1","190","20",1,146.143698376227,368.18848084416,2.51935926718036,-0.210467303912096
"4","BT_1","190","20",2,151.98655024572,571.204708888573,3.7582582667025,-0.0367707859347421
"5","BT_1","20","15",1,129.352382889512,623.99816211359,4.8240175261911,0.0397751510477594
"6","BT_1","20","15",2,132.412214174046,688.498006507915,5.19965632175696,0.0723409133811791
"7","BT_1","20","20",2,166.955678304082,589.766848509984,3.53247553183439,-0.0439711324878177
"8","BT_1","98","15",1,101.662138241272,550.268440883182,5.41271756036889,0.139816910132723
"9","BT_1","98","20",1,169.955793140759,507.966960039047,2.98881815472064,0.00482197734433981
"10","BT_1","98","20",2,171.189324871721,520.106693292304,3.0381958319074,0.011938248382597
"11","BT_2","190","15",1,182.88491063199,1060.04191965578,5.79622406240419,0.0973877292686377
"12","BT_2","190","15",2,139.303724091438,550.119621418854,3.94906615029013,-0.0692630276022536
"13","BT_2","190","20",1,133.263727158607,803.230956880833,6.02737874744303,0.168371075102762
"14","BT_2","20","15",1,115.452687250031,596.406055208984,5.16580488003172,0.0695042722852088
"15","BT_2","20","15",2,148.964239668906,624.043092221209,4.18921409331685,-0.0215011700133575
"16","BT_2","20","20",1,149.629513695524,593.864083645289,3.96889670345198,0.00661950106272702
"17","BT_2","98","15",1,125.301729759097,404.753108498005,3.23022762156737,-0.0843653292891379
"18","BT_2","98","15",2,138.230488336151,1034.67722953446,7.48515933054011,0.280602593513022
"19","BT_2","98","20",1,146.255509019535,594.080879824479,4.0619384788106,0.138055826182666
"20","BT_2","98","20",2,173.67253173335,454.075175032477,2.61454802610724,-0.0532808915042287
"21","BT_3","190","15",1,156.686515304699,697.136375028544,4.44924295924805,-0.0174713143502676
"22","BT_3","190","15",2,184.331974103321,828.416536364503,4.49415539758807,-0.0131093509597019
"23","BT_3","190","20",1,185.645427943693,791.220815971269,4.26200001117857,0.0178560391688117
