"","Ind","Treatment","Temp","Mass","TimePoint","Replicate","MMR_1minute","MR.abs","ln_Mass","ln_MR.mass","ln_MR.abs"
"Ch1_MMR...1","BT_1",15,15.1586,5.4,0,1,678.920190966104,3.66616903121696,1.68639895357023,6.52050358157253,1.29914725616063
"Ch2_MMR...2","BT_2",15,15.1763333333333,5.5,0,1,648.22119823566,3.56521659029613,1.70474809223843,6.47423199340575,1.27122480666204
"Ch3_MMR...3","BT_3",15,15.1589797101449,7.7,0,1,687.885880166325,5.2967212772807,2.04122032885964,6.53362295232381,1.66708800220132
"Ch4_MMR...4","BT_4",15,15.1589378787879,5.1,0,1,671.856924803292,3.42647031649679,1.62924053973028,6.51004540833579,1.23153066908393
"Ch5_MMR...5","BT_5",15,14.8730901515152,4.5,0,1,810.363892412622,3.6466375158568,1.50407739677627,6.69748339667609,1.29380551447023
"Ch6_MMR...6","BT_6",15,14.8841954545455,3.6,0,1,922.616485124765,3.32141934644915,1.28093384546206,6.82721363908111,1.20039220556104
"Ch7_MMR...7","BT_7",15,14.884653030303,4.7,0,1,626.290040351203,2.94356318965065,1.54756250871601,6.43981358704376,1.07962081677764
"Ch8_MMR...8","BT_8",15,14.8094174242424,5.7,0,1,595.560066418886,3.39469237858765,1.7404661748405,6.38950225091076,1.22221314676913
"Ch1_MMR...9","BT_1",15,15.1016303030303,3.6,0,2,766.611452710171,2.75980122975662,1.28093384546206,6.64198009245157,1.0151586589315
"Ch2_MMR...10","BT_2",15,15.1356304347826,5.5,0,2,678.259312522528,3.7304262188739,1.70474809223843,6.51952968166598,1.31652249492227
"Ch3_MMR...11","BT_3",15,15.1514927536232,4.8,0,2,805.536917644883,3.86657720469544,1.56861591791385,6.69150903352815,1.35236967245985
"Ch4_MMR...12","BT_4",15,15.0852913043478,6.5,0,2,618.014234568136,4.01709252469288,1.87180217690159,6.4265114904742,1.39055838839366
"Ch5_MMR...13","BT_5",15,14.7565072463768,8.2,0,2,688.971442478395,5.64956582832284,2.10413415427021,6.53519982237296,1.73157869766103
"Ch6_MMR...14","BT_6",15,14.8061841269841,5,0,2,844.96058507626,4.2248029253813,1.6094379124341,6.7392899813891,1.44097261484107
"Ch7_MMR...15","BT_7",15,14.8722413043478,7.4,0,2,496.909887399135,3.6771331667536,2.00148000021012,6.20840869657721,1.3021334178052
"Ch8_MMR...16","BT_8",15,14.819484057971,8.3,0,2,711.808646135357,5.90801176292346,2.11625551480255,6.56780911986289,1.77630935568331
"Ch1_MMR...17","BT_1",15,14.0530657894737,25.9,3,1,547.517970052409,14.1807154243574,3.25424296870549,6.30539528316556,2.65188297288891
"Ch2_MMR...18","BT_2",15,13.9921041666667,32.5,3,1,397.552693022697,12.9204625232377,3.48124008933569,5.98532748637233,2.55881229672589
"Ch3_MMR...19","BT_3",15,14.0060777777778,23.7,3,1,538.364238434358,12.7592324508943,3.16547504814109,6.28853535419721,2.54625512335616
"Ch4_MMR...20","BT_4",15,14.0664375,40,3,1,463.008586627897,18.5203434651159,3.68887945411394,6.13774559954687,2.91886977467867
"Ch5_MMR...21","BT_5",15,14.4416359649123,20.9,3,1,447.310140113615,9.34878192837455,3.03974915897077,6.10325217978528,2.23524605977391
"Ch6_MMR...22","BT_6",15,14.235375,49.8,3,1,355.390747637397,17.6984592323424,3.90801498403061,5.87321788172212,2.87347758677059
"Ch7_MMR...23","BT_7",15,14.3487291666667,31.2,3,1,465.418547785606,14.5210586909109,3.44041809481544,6.14293710350253,2.67559991933583
"Ch8_MMR...24","BT_8",15,14.3400708333333,37.6,3,1,465.768272184311,17.5128870341301,3.62700405039585,6.14368824045517,2.86293701186888
"Ch2_MMR...26","BT_2",15,14.5300708333333,35.9,3,2,1010.52338096186,36.2777893765308,3.58073729549423,6.91822367458872,3.59120569110082
"Ch3_MMR...27","BT_3",15,14.4566184210526,41.5,3,2,424.063762234377,17.5986461327266,3.72569342723665,6.04988382655387,2.86782197480839
"Ch4_MMR...28","BT_4",15,14.4829458333333,22.7,3,2,740.233501214349,16.8033004775657,3.12236492448736,6.6069656786068,2.82157532411202
"Ch5_MMR...29","BT_5",15,14.7721625,44.2,3,2,364.914117580563,16.1292039970609,3.78872478908365,5.89966203159662,2.78063154169813
"Ch6_MMR...30","BT_6",15,14.8543771929825,25.2,3,2,437.73141094186,11.0308315557349,3.22684399451738,6.08160550525427,2.40069422078951
"Ch7_MMR...31","BT_7",15,14.8174791666667,33.4,3,2,412.731193870774,13.7852218752839,3.50855589998265,6.02279651875985,2.62359713976037
"Ch8_MMR...32","BT_8",15,14.8477083333333,41.8,3,2,396.587784937946,16.5773694104061,3.73289633953071,5.98289741616092,2.80803847670949
"Ch1_MMR...33","BT_1",15,14.7841602564103,204.9,6,1,608.899711281862,124.763550841654,5.32252205524485,6.41165357645094,4.82642035271366
"Ch2_MMR...34","BT_2",15,14.6010384615385,117.5,6,1,967.637609708431,113.697419140741,4.76643833358421,6.87485764704666,4.73354070164874
"Ch3_MMR...35","BT_3",15,14.8262011834319,209.8,6,1,615.682330241438,129.170152884654,5.3461546959622,6.42273113285574,4.8611305498358
"Ch4_MMR...36","BT_4",15,14.8695384615385,159.9,6,1,638.015850114209,102.018734433262,5.07454861983991,6.4583631264754,4.62515646733317
"Ch5_MMR...37","BT_5",15,14.4328516483516,207.2,6,1,468.956098010953,97.1677035078695,5.33368451038533,6.15050915641226,4.57643838781545
"Ch6_MMR...38","BT_6",15,14.4732384615385,140.2,6,1,649.445035136893,91.0521939261924,4.94306997460049,6.47611820610453,4.51143290172288
"Ch1_MMR...39","BT_1",15,14.7978221153846,172.2,6,2,586.223537632378,100.947693180295,5.14865659199363,6.37370118037478,4.61460249338627
"Ch2_MMR...40","BT_2",15,14.7159027777778,122.2,6,2,501.044080024212,61.2275865789587,4.8056590467375,6.21669408129476,4.11459784905011
"Ch3_MMR...41","BT_3",15,14.794875,95.3,6,2,765.283452098347,72.9315129849725,4.55702981066016,6.64024629081762,4.28952082249564
"Ch4_MMR...42","BT_4",15,14.7708125,124,6,2,534.346141959753,66.2589216030094,4.82028156560504,6.28104383488262,4.19357012150552
"Ch5_MMR...43","BT_5",15,14.5287276785714,221,6,2,548.706866933799,121.26421759237,5.39816270151775,6.30756435890151,4.79797178143712
"Ch6_MMR...44","BT_6",15,14.5340267857143,176.8,6,2,747.108629422341,132.08880568187,5.17501915020354,6.61621059547366,4.88347446669507
"Ch2_MMR...46","BT_2",20,19.9486485507246,7,0,1,685.850863675654,4.80095604572958,1.94591014905531,6.53066020420139,1.56881507427456
"Ch3_MMR...47","BT_3",20,19.8932115942029,6.3,0,1,534.165227385174,3.3652409325266,1.84054963339749,6.28070520568035,1.2134995600957
"Ch4_MMR...48","BT_4",20,19.7312391304348,3.8,0,1,862.786039506023,3.27858695012289,1.33500106673234,6.76016673393211,1.18741252168231
"Ch5_MMR...49","BT_5",20,19.5294028985507,4.6,0,1,764.588302929787,3.51710619347702,1.52605630349505,6.63933752285833,1.25763854737124
