TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR,Ch7_MMR,Ch8_MMR
1 minute,535.930085752508,447.581421835611,554.971113008704,449.607723533277,422.062817669278,474.845756432553,430.416095509827,622.111472734113
2 minute,501.449924363317,432.179362572679,515.309547252751,437.852526269944,397.327001901814,423.148817995167,411.276083040485,583.161291319836
3 minute,493.671839927707,421.224238003377,495.2092309764,435.014236735341,392.82844628122,417.978458611887,404.385489751702,572.781766684457
5 minute,456.973990010426,413.981220557658,478.411388206382,422.968030131872,385.753613070055,415.724825882378,394.512722079227,567.247598909624
