TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR,Ch7_MMR,Ch8_MMR
1 minute,526.883807896455,585.84326897578,428.620528064279,432.687338260027,480.886549606138,530.209093647556,504.786429777268,451.962954201875
2 minute,505.243483013154,564.175033260188,420.655273680598,412.901363742989,453.593496784643,507.390630178021,477.668029889225,433.884025411555
3 minute,504.564886557973,550.664796196247,415.435544290265,404.202970203472,441.928465491184,493.324996708661,467.495644031896,418.981520719914
5 minute,492.490226897216,522.171893696987,404.104537024025,395.170989322931,395.880946123838,478.856460785778,459.552292816491,402.369490031795
