"Chamber.No"	"Ind"	"Mass"	"Volume"	"DO.unit"	"Temp"	"R2"	"BR"	"MR.abs"	"MR.mass"
"CH1"	"BT_1"	172.2	4012	"mg O2"	15.0316875	0.961084315680158	-2.90448925985556	16.9370660708845	98.3569458239516
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.982625	0.960459351240483	-2.70833261105722	17.8556152630931	103.691145546418
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.9801875	0.926824498293308	-2.85485207650543	16.8767565567054	98.0067163571744
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.9024375	0.979072648893963	-2.77077929661544	16.8395739671079	97.7907895883154
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8945	0.980095106128799	-2.70460843906498	17.1491639579798	99.5886408709626
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8853125	0.980903265772659	-2.91369556485531	15.8660254936357	92.1371979885931
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8691875	0.959140808676424	-2.93806645768291	15.569674499873	90.4162282222592
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8705625	0.959178034149894	-2.74224888338519	16.5596570684651	96.1652559144313
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.842625	0.983935967162951	-2.9043216553195	15.4898546400795	89.9526982583016
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8310625	0.940371166156623	-2.61623940901014	17.0530502891942	99.0304894842868
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.817125	0.961078839858357	-2.63255884116745	16.8563007012947	97.8879250946267
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.6763125	0.903430732650744	-2.34150809996541	17.3215492225189	100.589716739367
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.5878125	0.956237752238345	-2.28237764433132	16.7903436819852	97.5048994308085
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.564375	0.964063711492284	-3.00606115837369	12.7560258645492	74.0768052528991
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.60725	0.97220432066036	-2.51007680041782	15.1048356232421	87.7168154659818
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.9336875	0.915464894982345	-1.90573266704592	17.2063188729558	99.9205509463173
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.7259375	0.967017401549122	-1.67305882963001	17.8011729641181	103.374988177225
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.700625	0.930916288724159	-1.69282828355431	17.4522756607391	101.348871432863
"CH1"	"BT_1"	172.2	4012	"mg O2"	15.159625	0.957328552081582	-1.48401492160745	17.8941123881746	103.914706086961
"CH1"	"BT_1"	172.2	4012	"mg O2"	15.1600625	0.92098467819112	-1.44823633284397	17.8244718801857	103.510289664261
"CH1"	"BT_1"	172.2	4012	"mg O2"	15.11175	0.950444310640215	-1.41139344261085	17.937618282938	104.167353559454
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8696875	0.944122385343395	-3.21537931513708	14.6510708320539	85.0817121489774
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8531875	0.947145548161574	-2.8607727090011	16.410567395778	95.2994622286761
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.8095625	0.918427282027766	-2.87751779314534	16.2317686239642	94.2611418348673
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.75775	0.932493132103595	-2.71839830581216	17.1553084880767	99.624323391851
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.687125	0.934350783587504	-2.87061809190322	16.2696914099046	94.4813670726168
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.6700625	0.922417156765181	-3.12490055802707	14.9033795295699	86.5469194516254
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.6546875	0.955155132335513	-2.78246225240652	16.6819631022119	96.8755116272466
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.620875	0.94154861457653	-3.58816462382111	13.0375263246662	75.711534986447
"CH1"	"BT_1"	172.2	4012	"mg O2"	14.5808125	0.939751264420566	-2.60188397078163	17.8083970467657	103.416939876688
"CH1"	"BT_1"	172.2	4012	"mg O2"	15.0576875	0.946445163623678	-2.932145924888	15.6846155909984	91.0837142334401
"CH1"	"BT_1"	172.2	4012	"mg O2"	15.03475	0.904889040419204	-3.11686331215174	14.7815633551897	85.8395084505791
"CH2"	"BT_2"	122.2	4012	"mg O2"	15.0316875	0.95314059568351	-4.23551410337698	11.4843904240034	93.9802817021556
"CH2"	"BT_2"	122.2	4012	"mg O2"	14.8583125	0.97926908361169	-2.5213424037503	17.0394699211768	139.439197390972
