TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR,Ch7_MMR,Ch8_MMR
1 minute,2485.44425934536,1010.52338096186,424.063762234377,740.233501214349,364.914117580563,437.73141094186,412.731193870774,396.587784937946
2 minute,1392.0169997726,684.981636010667,405.133941300539,713.042164822216,362.09641453618,404.729135505139,384.360532822696,378.161996404618
3 minute,836.587335385901,559.6276996431,397.861231209472,691.847146571453,353.453868270192,393.135663052474,372.45461015188,375.554471759118
5 minute,391.692932514961,460.482249881983,345.454693670358,643.773400821342,322.945603349146,384.804545269248,363.659341711081,228.715103826335
