TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR,Ch7_MMR,Ch8_MMR
1 minute,678.920190966104,648.22119823566,687.885880166325,671.856924803292,810.363892412622,922.616485124765,626.290040351203,595.560066418886
2 minute,594.728177042696,551.696185328342,639.148332013395,560.258902952464,706.57413677598,790.063128991145,581.827187527519,537.700053954509
3 minute,558.034537625462,530.103209760986,608.013054992031,547.082596780612,678.491188180048,759.81023772835,541.881285735474,519.529953275985
5 minute,526.732231567832,514.659212716644,596.796725235069,534.689534508148,609.619045078662,714.656816622806,534.987288410698,500.98795805557
