TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR
1 minute,455.603343817321,474.703355763978,535.511254312331,512.78104717514,580.720869040463,357.122345398716
2 minute,402.543170394305,402.715995967743,433.755284463521,376.829647041247,443.324927598547,323.005319040959
3 minute,374.97276447606,380.613808476412,397.488377654764,366.986936419549,407.536199999867,318.657654125222
5 minute,358.530085917841,336.884105224235,366.984669035266,344.404360471466,376.184333273824,312.444470871727
