TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR
1 minute,312.08039960703,674.369589129524,672.478381071201,470.753330199391,560.021516999338,612.675936449077
2 minute,276.220796888963,531.116246864423,470.079422512736,381.411930937894,449.582103631125,494.510989921976
3 minute,246.483769343544,453.397466010486,434.342757725638,372.400100461511,408.284058012972,451.5451089663
5 minute,224.968168595619,412.044209601079,394.90099057062,356.067424174266,381.093033411301,432.293912603662
