TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR
1 minute,608.899711281862,967.637609708431,615.682330241438,638.015850114209,468.956098010953,649.445035136893
2 minute,525.523961700209,628.72274093299,501.15396108235,489.703094593256,391.950984937224,547.839809551743
3 minute,463.703189441122,534.871638367262,472.459136667679,449.176856657766,369.094130304148,470.154229574019
5 minute,393.619474702285,476.00957376086,429.248285232046,415.094819042562,348.019818389915,439.400232440373
