"Chamber.No"	"Ind"	"Mass"	"Volume"	"DO.unit"	"Temp"	"R2"	"BR"	"MR.abs"	"MR.mass"
"CH1"	"BT_1"	18.4	726.8	"mg O2"	20.0438333333333	0.979524520559304	-1.58378283096047	3.48411149475144	189.353885584318
"CH1"	"BT_1"	18.4	726.8	"mg O2"	20.0390833333333	0.98337996297769	-1.57607297569588	3.40732622362379	185.180773023032
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.5289166666667	0.98330719291286	-0.905532030281789	3.30294365384018	179.507807273923
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.2119166666667	0.984770205928261	-0.75715925517535	3.36481760498477	182.870522010042
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0821666666667	0.956114561091132	-0.754944308545242	2.59961629208833	141.283494135236
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0798333333333	0.973880218286323	-0.621478151529025	2.91866935096877	158.623334291781
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0866666666667	0.972203791813449	-0.458265877283543	2.99701167674174	162.881069388138
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.09325	0.979046457760099	-0.224794412164759	3.50646418335956	190.568705617368
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0924166666667	0.975212948533012	-0.189765607800042	3.38579920719509	184.010826477994
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0895833333333	0.981116137469574	-0.102826892715157	3.41645544561539	185.676926392141
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0898333333333	0.980220156209623	-0.0175525038907953	3.45276151792407	187.650082495873
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0983333333333	0.971486723974113	0.0263890042539774	3.20429050859211	174.146223293049
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.0973333333333	0.976302473785937	0.0682405904421059	3.36453565714505	182.855198757883
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1173333333333	0.977783198615132	0.113426789478332	3.30172217257596	179.441422422607
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1255	0.982057718413518	0.147630186600376	3.51781385725291	191.185535720267
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1160833333333	0.980851907554104	0.270658928468676	3.52118384947213	191.368687471312
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1025833333333	0.97037208341003	0.456011372462109	3.03677848859637	165.042309162846
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1048333333333	0.962416694285066	0.511485483291467	2.98828731805857	162.406919459705
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.119	0.969266845693024	0.485098256462632	3.4494889351383	187.472224735777
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.12625	0.969184859243051	0.533801116965156	3.40374244365302	184.986002372447
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1350833333333	0.966556085175127	0.622650453113634	3.14714126299022	171.040286032077
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1371666666667	0.971528438150205	0.664556367627927	3.1644451550107	171.980714946234
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1245833333333	0.968517148296216	0.680826671675217	3.51187713455546	190.862887747579
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.12475	0.968935309410187	0.763316271449492	3.31849336470499	180.352900255706
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1184166666667	0.970889162679661	0.878758304526214	3.20669569301397	174.276939837716
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1386666666667	0.966362195012755	1.04127193019484	3.39162483131361	184.327436484436
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1326666666667	0.958822860147696	1.22687453558852	2.99001497854513	162.500814051366
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.1215833333333	0.958011051308748	1.11461449947089	3.42369375662049	186.070312859809
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.18325	0.970930887771777	1.60365079837871	3.34769570324405	181.939983871959
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.8090833333333	0.961265291867504	2.00689947374486	3.44382103086498	187.164186460053
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.5603333333333	0.957532647465175	-1.34400389506643	3.11079586636564	169.064992737263
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.4388333333333	0.971009467577859	-1.16770783254766	3.44844751106101	187.415625601142
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3163333333333	0.981362031479546	-1.03134480816725	3.47249217534902	188.722400834186
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.31875	0.980699469121295	-0.976379967930387	3.51584088636915	191.078309041802
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3755833333333	0.975815332015979	-1.00124864351323	3.2829149717976	178.419291945522
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.374	0.979479666988204	-0.937704098106302	3.5031799014716	190.3902120365
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3768333333333	0.983451241848168	-0.91708107635179	3.42147425455412	185.949687747506
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3865833333333	0.97329057782356	-1.19047935347061	2.64285972894116	143.633680920715
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3868333333333	0.981389210716839	-0.95508477380866	3.28656786285619	178.617818633489
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3806666666667	0.979400088634632	-0.930735230235515	3.3717363784942	183.246542309467
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3823333333333	0.975487238248612	-0.936947203641333	3.34958786196839	182.042818585239
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.38575	0.984555060916536	-0.901322401901735	3.31823162242931	180.338675132028
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3934166666667	0.983026703830121	-0.924016105456007	3.23746430174309	175.949146833864
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.3945	0.988139990309476	-0.887245126764324	3.37040930855621	183.174418943272
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.4005833333333	0.974433591664666	-0.922110064101857	3.24409501154319	176.309511496912
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.41525	0.983035411378625	-0.806552492352677	3.52319561255969	191.478022421722
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.4228333333333	0.974887360502957	-0.832347776304838	3.41488188967935	185.591407047791
"CH1"	"BT_1"	18.4	726.8	"mg O2"	19.416	0.945266985826621	-0.917944856640361	3.09907749696564	168.428124835089
"CH2"	"BT_2"	26.8	726.8	"mg O2"	20.0438333333333	0.984039776823376	-0.975164213645949	4.73642730933151	176.732362288489
"CH2"	"BT_2"	26.8	726.8	"mg O2"	19.9546666666667	0.988355220317238	-0.749071478400529	4.73122893534442	176.538393109866
"CH2"	"BT_2"	26.8	726.8	"mg O2"	19.0798333333333	0.986541757680104	-0.18230850205254	4.40132695032421	164.228617549411
"CH2"	"BT_2"	26.8	726.8	"mg O2"	19.0760833333333	0.989802329074876	-0.135992168060787	4.78625451199787	178.591586268577
