Chamber.No	Ind	Mass	Volume	DO.unit	Temp	R2	BR	MR.abs	MR.mass		old	new	difference	% difference
CH3	BT_3	7.7	654	mg O2	15.1438	0.974492734	-7.586321748	1.298442856	168.6289423					
CH3	BT_3	7.7	654	mg O2	15.11123333	0.974778866	-7.395244714	1.060293297	137.7004282					
CH3	BT_3	7.7	654	mg O2	15.03711667	0.970626885	-4.039190675	1.266407059	164.4684493					
CH3	BT_3	7.7	654	mg O2	15.40193333	0.98918651	-2.441123385	1.396160803	181.3195848					
CH3	BT_3	7.7	654	mg O2	14.91578333	0.979092155	-2.306577609	1.358144813	176.3824432					
CH3	BT_3	7.7	654	mg O2	14.94656667	0.991873172	-2.086951259	1.368247197	177.6944412					
CH3	BT_3	7.7	654	mg O2	15.0389	0.99148502	-1.804560562	1.42851316	185.5211896					
CH3	BT_3	7.7	654	mg O2	15.3676	0.97440425	-1.123823066	1.086451578	141.0976075					
CH3	BT_3	7.7	654	mg O2	14.98456667	0.992618228	-0.479068934	1.421011079	184.5468934					
CH3	BT_3	7.7	654	mg O2	15.16918333	0.994185839	-0.104022638	1.420617276	184.4957502					
CH3	BT_3	7.7	654	mg O2	15.25468333	0.992678022	0.083982066	1.395839951	181.2779157					
CH3	BT_3	7.7	654	mg O2	15.33821667	0.993039037	0.274940032	1.386556492	180.0722716					
CH3	BT_3	7.7	654	mg O2	15.42743333	0.99376573	0.463275307	1.390575626	180.5942371					
CH3	BT_3	7.7	654	mg O2	15.27636667	0.96911739	1.050484717	0.859205693	111.5851549					
CH3	BT_3	7.7	654	mg O2	14.90273333	0.992811705	0.825570858	1.414044049	183.6420843					
CH3	BT_3	7.7	654	mg O2	15.01913333	0.992440395	1.058201242	1.34832427	175.107048					
CH3	BT_3	7.7	654	mg O2	15.10381667	0.994212327	1.23538593	1.364688557	177.2322802					
CH3	BT_3	7.7	654	mg O2	15.28288333	0.994947221	1.591351082	1.383291188	179.6482062					
CH3	BT_3	7.7	654	mg O2	15.3663	0.994065584	1.852143701	1.325765334	172.1773161					
CH3	BT_3	7.7	654	mg O2	15.08625	0.981132491	2.876370638	0.934236115	121.3293656					
