TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR,Ch7_MMR,Ch8_MMR
1 minute,766.611452710171,678.259312522528,805.536917644883,618.014234568136,688.971442478395,844.96058507626,496.909887399135,711.808646135357
2 minute,656.853805386306,642.445644194525,712.439847550687,559.897911654875,632.844016396468,734.099029208316,453.006336361045,641.881222513849
3 minute,601.831978594718,622.065844634051,687.50929158431,549.406316226924,626.329355262777,686.821719290823,426.352308509434,633.272923275931
5 minute,571.629093998105,585.444399511643,664.699699541956,540.195862972441,573.323083149509,657.607212419041,396.515658429424,615.438975975959
