TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR
1 minute,586.223537632378,501.044080024212,765.283452098347,534.346141959753,548.706866933799,747.108629422341
2 minute,475.356618106344,440.016215145687,520.102301429426,405.435568065858,511.030673591688,552.636314437939
3 minute,443.522331496753,405.426152384218,476.881314697148,396.981958132522,492.592876170839,524.40559549334
5 minute,405.3159007741,376.340898437641,464.877099497765,390.785055188394,426.561498756295,479.17432635256
