"Chamber.No"	"Ind"	"Mass"	"Volume"	"DO.unit"	"Temp"	"R2"	"BR"	"MR.abs"	"MR.mass"
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.36125	0.958333144684764	0.975813967723097	2.6797511387927	103.465294934081
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.33225	0.962910520656332	1.96410268198415	2.67244597192555	103.183242159288
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.3023333333333	0.958570431739212	2.42296990893129	2.55877965456583	98.7945812573679
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.2254166666667	0.940110878159387	2.91183095668094	2.59469461589521	100.181259300973
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.0909166666667	0.94118292130644	3.52714479571351	2.6753267334147	103.29446847161
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.0690833333333	0.932873782301624	3.72984541075629	2.59834015366821	100.322013655143
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.0585833333333	0.939838397578702	3.77715360450001	2.60091661889757	100.421491077126
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.0495833333333	0.933809096420714	3.85755413592569	2.58017248904924	99.6205594227507
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.0371666666667	0.945724227615824	4.04738302025324	2.48815938178988	96.0679297988372
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.0248333333333	0.950282964015519	3.89334595925992	2.62600648222817	101.390211669041
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.01525	0.947060614798175	3.99423783110445	2.59131430845006	100.050745500002
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.004	0.927812734646	4.16646251750539	2.5125917070713	97.0112628212859
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.9419166666667	0.937786133304717	4.19861154491715	2.7206167013879	105.043115883703
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.9459166666667	0.94091108984638	4.65333196538827	2.47237037175121	95.4583155116297
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.9505833333333	0.948840181754895	4.38883120208563	2.65975569566861	102.693270103035
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.9436666666667	0.942160766627052	4.61800363358451	2.55120092055793	98.5019660447076
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.9395	0.950526426860835	4.38058668056997	2.72733690482211	105.302583197765
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.93225	0.938903893375506	4.60752087628227	2.61642050893741	101.02009687017
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.925	0.93004887089822	4.81182805145886	2.52821422739434	97.6144489341445
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.904	0.943277997430252	4.69393655155535	2.65291493490303	102.429148065754
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8924166666667	0.921625086219944	4.79421217530234	2.62305389532183	101.276212174588
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8805833333333	0.942705940627885	4.92871999588	2.57541157469878	99.4367403358602
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.867	0.939616599836784	0.246133546259551	2.5992897397593	100.358677210784
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.2296666666667	0.951945544924842	0.300434293100426	2.60225363753833	100.473113418468
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.1923333333333	0.931922581791662	0.295068067149246	2.6497218744177	102.305863877131
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.1820833333333	0.934201655062484	0.29195296034552	2.67807779217982	103.40068695675
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.177	0.935078304919121	0.305253297332893	2.56104831656086	98.8821743845893
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.1730833333333	0.954534538775421	0.298082016388856	2.62285087572026	101.268373579933
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.1758333333333	0.922090434354615	0.302431260275922	2.58501906151342	99.8076857727189
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.1745833333333	0.95126233441759	0.300274226422398	2.60364499666333	100.526833848005
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.1520833333333	0.944337303528044	0.356605380138612	2.5901673995258	100.006463302155
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.063	0.947402921834789	0.367780656078573	2.51118165964212	96.956820835603
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.0045	0.962065305493918	0.391207637512723	2.72387149137667	105.168783450837
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.9978333333333	0.964687285014821	0.390196611377575	2.73095694775274	105.442353195087
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.97125	0.967027746811419	0.466516452413118	2.58712975292995	99.889179649805
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8675833333333	0.967058793227947	0.506162982289007	2.66425277025096	102.866902326292
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8590833333333	0.968604500378941	0.569899749081265	2.61393253829291	100.924036227525
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8580833333333	0.964806005610418	0.572508747429608	2.60195222500131	100.461475868777
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8484166666667	0.962918382768294	0.55605409228747	2.67939208872988	103.451431997293
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.84125	0.971757241247854	0.547650217657842	2.72073815749418	105.047805308655
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8384166666667	0.973002392852756	0.55355147478727	2.69157340974397	103.921753271968
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8310833333333	0.966813002293803	0.605915575807836	2.69193563426624	103.935738774758
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.82975	0.956932498226693	0.608543480066818	2.68024004632724	103.484171672867
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8235	0.968456284738629	0.598559931129005	2.72521823346817	105.220781214987
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8235	0.963433617266031	0.653031508580932	2.49652968093545	96.3911073720253
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.8119166666667	0.958932688815356	0.720695258792722	2.26059786315762	87.2817707782863
"CH1"	"BT_1"	25.9	726.8	"mg O2"	13.7984166666667	0.97016111051316	0.676332419611795	2.61968136125609	101.145998504096
"CH1"	"BT_1"	25.9	726.8	"mg O2"	14.4356666666667	0.906709132817795	0.808384587194721	2.3640684691516	91.2767748707182
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.3455833333333	0.95817332317117	1.33528825068666	3.23684041529738	99.5950897014578
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.3435833333333	0.97423629407474	1.10715892125375	4.02931274637233	123.978853734533
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.3255	0.967640750368268	1.3382706449827	3.99875908672915	123.038741130128
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.3209166666667	0.972710706448273	1.31308171164049	4.17453129771309	128.44711685271
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.3104166666667	0.975353324264251	1.40790417233566	4.16363598891132	128.111876581887
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.3023333333333	0.949035415808161	1.57498054175546	3.79715013151916	116.835388662128
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.2365833333333	0.9764016320685	1.76407120982103	4.03729012610173	124.224311572361
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.2031666666667	0.968466614588002	1.83972595827096	4.07705252062273	125.447769865315
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.16525	0.968235094076447	1.92678169680334	4.15493657349019	127.844202261237
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.1135833333333	0.973410890290952	2.09339490215371	4.12274307351185	126.853633031134
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.1088333333333	0.953657193862205	2.40197389950722	3.63476899589224	111.839046027453
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.0909166666667	0.969985586650193	2.25061108952781	3.99853177403994	123.031746893536
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.08	0.97087972974303	2.36599999067918	3.85285552595416	118.549400798589
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.0585833333333	0.971150477276762	2.29166799426662	4.09207128550193	125.909885707752
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.969	0.966248906275684	2.58316109061832	4.0129672216497	123.475914512299
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9594166666667	0.962789109460375	2.64855142245994	3.95920323156819	121.821637894406
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9479166666667	0.967286471927874	2.62980864041723	4.03647902805081	124.199354709256
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9435833333333	0.973108955175244	2.57255641285306	4.17813145312919	128.557890865513
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9459166666667	0.958955894164588	2.71639133966921	4.04447436471201	124.445365068062
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.925	0.96341673866045	2.88147598314531	4.02608482904628	123.879533201424
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.904	0.967900393123658	2.88139415884764	4.11412323791186	126.588407320365
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.8924166666667	0.965548114398552	2.94157888011598	4.07048510907528	125.245695663855
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.063	0.97138468396815	0.28454558492258	3.92483132597916	120.764040799359
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.048	0.97274157399395	0.314362614675202	3.96508539009221	122.002627387453
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.0399166666667	0.974203025839474	0.336574007442705	3.70259393362766	113.925967188543
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.0269166666667	0.970365933196794	0.314279223229919	3.96614081119716	122.03510188299
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.01925	0.970005411498772	0.326409614338356	3.81828205895976	117.485601814147
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.0135	0.96888660840704	0.322349290197762	3.86653478915929	118.970301204901
"CH2"	"BT_2"	32.5	726.8	"mg O2"	14.0045	0.980432229777533	0.336666938148803	3.70156844926813	113.894413823635
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9978333333333	0.975442759757711	0.31693916075576	3.93274971254472	121.007683462914
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.98475	0.976271255244183	0.317263549767353	3.9287158518699	120.88356467292
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9763333333333	0.968953979494857	0.317824654498741	3.92175781032987	120.669471087073
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.97125	0.970616284399805	0.345225010898768	3.98599041180875	122.645858824885
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9595833333333	0.98144144886203	0.355895565896427	3.86606738864521	118.955919650622
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.95175	0.979634098004019	0.34482041393437	3.99068359803841	122.790264555028
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9450833333333	0.969139683687189	0.35497847589605	3.87609108146243	119.264340968075
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9371666666667	0.973500921900754	0.361348988790929	3.80751290642006	117.154243274463
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9284166666667	0.981711166820627	0.349215231965727	3.94028770573304	121.239621714863
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9235833333333	0.975377943096692	0.356706438610973	3.8572475721319	118.684540680982
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9186666666667	0.97883494527758	0.363831720558635	3.78143679750522	116.351901461699
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9165	0.983135703891745	0.341016417579771	4.03535321455846	124.164714294107
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.9113333333333	0.973523488797394	0.398496146663194	3.77728470068807	116.224144636556
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.8965	0.975055206052292	0.377085122882605	3.99261832947011	122.849794752926
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.88475	0.973608665861334	0.406560493785649	3.7020604514621	113.90955235268
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.8786666666667	0.971834398980866	0.400275016944591	3.76043083150996	115.70556404646
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.87375	0.973414219848731	0.448174680327231	3.35691125458332	103.289577064102
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.8703333333333	0.97638515384107	0.389330059146463	3.86656998538863	118.971384165804
"CH2"	"BT_2"	32.5	726.8	"mg O2"	13.8489166666667	0.979329482575057	0.486087933434241	3.89493958476269	119.844294915775
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.3408333333333	0.928150603666559	-0.000292407534135895	3.11203350321985	131.309430515606
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.3485833333333	0.948073467527538	0.160579318429419	3.12289501270109	131.767722054898
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.3555833333333	0.921933830919838	0.243453497444662	3.08904176614081	130.339315027038
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.362	0.922811568088942	0.413110456087874	2.7270954490862	115.067318526844
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.3633333333333	0.930027848456331	0.431518676293382	2.9005413931929	122.385712792949
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.36275	0.944434466001333	0.46489988722782	2.96070312904895	124.924182660293
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.3633333333333	0.938986279433585	0.589507384519589	2.96836708839682	125.24755647244
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.36125	0.94533290449359	0.611676949755163	3.06454547406856	129.305716205424
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.3405	0.91939672715948	1.41401560365655	2.71826859469713	114.694877413381
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.3376666666667	0.902928505711012	1.33089911348064	2.98372559159042	125.895594581874
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.33225	0.903434450418787	1.51227650219103	2.7848926188966	117.506017674962
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.24775	0.901200405208654	2.00694182844809	3.00928651775844	126.974114673352
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.0690833333333	0.900335305446447	2.61128965910686	3.14305895935144	132.618521491622
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.1745833333333	0.909767232417034	0.0831730677550107	3.0115032362191	127.067647097852
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.1248333333333	0.910132210803965	0.12413295045345	3.02912600956246	127.811224032172
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.0973333333333	0.920244570788349	0.123016471607144	3.05665206693477	128.9726610521
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.08075	0.903230435037608	0.131414687535183	2.86107239234435	120.720354107357
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.0269166666667	0.910103907069121	0.167694675145256	2.99017612393437	126.167768942378
"CH3"	"BT_3"	23.7	726.8	"mg O2"	14.0045	0.917095270455485	0.161487635226589	3.10530146591405	131.02537830861
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.98475	0.902384573611016	0.167483422102643	2.99395407922546	126.327176338627
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.9595833333333	0.931491045756903	0.19999389991756	3.13419567825927	132.244543386467
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.9284166666667	0.917989588678532	0.199635361068404	3.13983587541198	132.482526388691
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.9046666666667	0.913793324353142	0.243428336247051	3.08936183434631	130.352820014612
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.8965	0.913414892033257	0.243067104833756	3.09396425792052	130.547015102132
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.8675833333333	0.94589655222683	0.242571835766715	3.10029672636637	130.81420786356
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.83775	0.905948425763678	0.303533995382821	2.88929902051949	121.911351076772
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.8370833333333	0.934239769920956	0.29109429738644	3.01314698288506	127.13700349726
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.8310833333333	0.926156387019234	0.362204919606739	2.76590926506196	116.705032281095
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.8170833333333	0.932667984450058	0.38167352775206	2.62431140643397	110.730439090041
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.8119166666667	0.926751084026626	0.355778322992613	2.81605284979403	118.820795349959
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.7984166666667	0.907046937060194	0.430598589260379	2.61587900129615	110.374641404901
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.7955	0.929001776009391	0.372276685286959	3.02746217390216	127.741019995872
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.7966666666667	0.921054331309502	0.409899141437033	2.74854923895799	115.972541728185
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.7926666666667	0.902021247688898	0.399670530472638	2.81918130068327	118.952797497185
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.7834166666667	0.91491891589267	0.404401721328169	2.78606668619934	117.555556379719
"CH3"	"BT_3"	23.7	726.8	"mg O2"	13.7805833333333	0.920768474845021	0.39429421673757	2.85777589036654	120.5812611969
"CH4"	"BT_4"	40	726.8	"mg O2"	14.2780833333333	0.988988299749664	-0.129962247613058	5.54301114459157	138.575278614789
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3485	0.98768247709932	0.123986616327309	5.48405366432254	137.101341608063
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3586666666667	0.99029785374997	0.241266974536947	5.7097824022316	142.74456005579
"CH4"	"BT_4"	40	726.8	"mg O2"	14.36275	0.988925537199759	0.324908082845847	5.52505252595096	138.126313148774
"CH4"	"BT_4"	40	726.8	"mg O2"	14.36125	0.989067824094232	0.415979649226083	5.65234469273356	141.308617318339
"CH4"	"BT_4"	40	726.8	"mg O2"	14.36325	0.982479964927333	0.501684177089684	5.51582381397412	137.895595349353
"CH4"	"BT_4"	40	726.8	"mg O2"	14.35975	0.989297621898477	0.570478076722895	5.57946770478343	139.486692619586
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3563333333333	0.988624760086489	0.611168179655536	5.43357753874434	135.839438468608
"CH4"	"BT_4"	40	726.8	"mg O2"	14.359	0.989313408693653	0.602786772763967	5.7404871834838	143.512179587095
"CH4"	"BT_4"	40	726.8	"mg O2"	14.357	0.982889391030019	0.648050594761808	5.55177426068946	138.794356517237
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3533333333333	0.988192004549193	0.650521616292822	5.74439680553208	143.609920138302
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3524166666667	0.987766892996022	0.708765448058651	5.46541197436695	136.635299359174
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3455833333333	0.98487476376935	0.735480941819233	5.64343828897866	141.085957224466
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3435833333333	0.989296024726538	0.745357827755622	5.75456314952216	143.864078738054
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3338333333333	0.979460824391531	0.907755939181802	5.32874804996349	133.218701249087
"CH4"	"BT_4"	40	726.8	"mg O2"	14.33225	0.988902737248491	0.864961198799133	5.75529240888018	143.882310222004
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3254166666667	0.986397055201349	0.979404613446616	5.21848721283118	130.46218032078
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3255	0.982835936913697	0.980717408467305	5.35280954316504	133.820238579126
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3104166666667	0.986789561443712	1.06438304203942	5.44850144128971	136.212536032243
"CH4"	"BT_4"	40	726.8	"mg O2"	14.3023333333333	0.986932002873968	1.12244624951092	5.28697157471247	132.174289367812
"CH4"	"BT_4"	40	726.8	"mg O2"	14.2254166666667	0.983726469308781	1.30960658323941	5.57801982562802	139.4504956407
"CH4"	"BT_4"	40	726.8	"mg O2"	14.21525	0.977254138443608	1.38608139787855	5.36579891769044	134.144972942261
"CH4"	"BT_4"	40	726.8	"mg O2"	14.2031666666667	0.977353948190024	1.34755161128752	5.62388636037721	140.59715900943
"CH4"	"BT_4"	40	726.8	"mg O2"	14.14725	0.97771055997461	1.6016989289144	5.23546661762053	130.886665440513
"CH4"	"BT_4"	40	726.8	"mg O2"	14.12675	0.97799716745968	1.56836215459203	5.5243224226687	138.108060566717
"CH4"	"BT_4"	40	726.8	"mg O2"	14.1135833333333	0.974238515140168	1.67387227672282	5.25280893228016	131.320223307004
"CH4"	"BT_4"	40	726.8	"mg O2"	14.1088333333333	0.984115727450903	1.56522172688673	5.71170155764599	142.79253894115
"CH4"	"BT_4"	40	726.8	"mg O2"	14.0994166666667	0.980774712727499	1.61066184731305	5.63353577300893	140.838394325223
"CH4"	"BT_4"	40	726.8	"mg O2"	14.0909166666667	0.977387043545806	1.77110838522528	5.192493293456	129.8123323364
"CH4"	"BT_4"	40	726.8	"mg O2"	13.9505833333333	0.983033216899851	2.0105287414473	5.72317274130457	143.079318532614
"CH4"	"BT_4"	40	726.8	"mg O2"	13.93225	0.974038661524171	2.28933346510347	5.1911700900452	129.77925225113
"CH4"	"BT_4"	40	726.8	"mg O2"	13.925	0.980792976465071	2.1433773226954	5.61688060951209	140.422015237802
"CH4"	"BT_4"	40	726.8	"mg O2"	13.8466666666667	0.975945197275316	0.0724006923909819	5.53109492737381	138.277373184345
"CH4"	"BT_4"	40	726.8	"mg O2"	14.177	0.9840571692325	0.0943202376908713	5.72792494840637	143.198123710159
"CH4"	"BT_4"	40	726.8	"mg O2"	14.1758333333333	0.983947631626982	0.0940351702366633	5.74530553630449	143.632638407612
"CH4"	"BT_4"	40	726.8	"mg O2"	14.1745833333333	0.986805465529167	0.0936807791615269	5.76706028119195	144.176507029799
"CH4"	"BT_4"	40	726.8	"mg O2"	14.0399166666667	0.988055492366592	0.144472708948953	5.67326211160924	141.831552790231
