"Chamber.No"	"Ind"	"Mass"	"Volume"	"DO.unit"	"Temp"	"R2"	"BR"	"MR.abs"	"MR.mass"
"CH1"	"BT_1"	204.9	4012	"mg O2"	15.0596153846154	0.943818825743048	-0.998105616780905	27.1002479611282	132.260849005018
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9713076923077	0.910843855082638	-0.500690587367706	28.3782542377695	138.498068510344
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9598461538462	0.977558249408006	-0.538718164467638	23.7632258256366	115.974747806914
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9562307692308	0.955269762444612	-0.485114360299739	24.9199439281883	121.620028932105
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9481538461538	0.936688064628254	-0.419415501644172	27.1228573320381	132.371192445281
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9437692307692	0.976352332014711	-0.420678583841739	22.0114551271422	107.425354451646
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9161538461538	0.91384440162501	-0.20403329736809	28.0369743136192	136.832475908342
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9233076923077	0.93833597843206	-0.252071781228985	19.9110838820973	97.1746407130176
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.9052307692308	0.959216882527594	-0.119044397036928	24.3823036371521	118.996113407282
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.8507692307692	0.966844040534224	0.167411362209595	24.5994427279029	120.055845426564
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.845	0.919195358946201	0.23196181579032	23.7847604197102	116.079845874623
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.8366923076923	0.95048181891476	0.30383269673309	20.4503116003449	99.8063035643966
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.8173846153846	0.924749324599433	0.292561534555795	28.4223555942453	138.713302070499
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.8160769230769	0.951716057267287	0.318447789498566	28.303911436241	138.135243710303
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.8183076923077	0.94218776598296	0.485544953639344	22.8511373034856	111.52336409705
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.7966153846154	0.936683458470479	0.468165999706055	26.6902477534753	130.259871905687
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.7822307692308	0.953032483966327	0.923214473148895	19.5034480380888	95.185202723713
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.7446923076923	0.920151904945973	0.716662101716286	28.0963354449368	137.122183723459
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.7463076923077	0.950094458624088	0.770695283703385	27.016686120033	131.853031332518
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.6981538461538	0.905919684569881	1.05137533699401	28.3421757678781	138.321990082373
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.672	0.974391696680554	1.18917336423195	26.1903883885649	127.820343526427
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.642	0.907291963533652	1.32962817074994	27.0393218217812	131.963503278581
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.5989230769231	0.93746591747269	-0.746570295949196	27.6096114766497	134.746761721082
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.5822307692308	0.963782486625907	-0.97710253820292	21.1438220331859	103.190932323992
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.568	0.949494147856366	-0.751910172481383	27.4149879760173	133.796915451524
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.5457692307692	0.935155832156233	-0.815471677016659	24.4256907977472	119.207861384808
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.4167692307692	0.927008118264826	-0.788926814616349	24.3435091088727	118.80677944789
"CH1"	"BT_1"	204.9	4012	"mg O2"	14.3991538461538	0.907714468437164	-0.729249229132712	25.3498072478152	123.717946548635
"CH1"	"BT_1"	204.9	4012	"mg O2"	15.1975384615385	0.956046818524654	-0.670848973481531	26.4865449956503	129.26571496169
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.9443846153846	0.939184276367295	-0.553867732263667	17.5922432276277	149.721218958534
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.9437692307692	0.94821364143054	-0.489813152278064	18.2763558761333	155.543454264964
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.8698461538462	0.930962789117461	0.193728325225493	18.5440477918874	157.821683335212
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.86	0.904594930775598	0.277738846154745	18.5376362241591	157.767116801354
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.8492307692308	0.923685435622323	0.342215245989115	19.5883237884555	166.709138625153
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.845	0.921709188248706	0.417125392123255	17.924738974581	152.550969996434
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.7748461538462	0.9109824327724	1.0929783575638	18.8205494541004	160.174888971067
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.7822307692308	0.916525431029813	1.25821329092235	16.9351195059754	144.128676646599
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.7596153846154	0.910548808241752	1.30748234268648	17.4689922425594	148.67227440476
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.6056153846154	0.918561864808424	-1.41538931163053	15.3451304137712	130.596854585287
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5989230769231	0.917838681668453	-1.3003227698342	16.6840812014414	141.992180437799
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5822307692308	0.952676306271386	-1.32138105940241	16.4216070854457	139.758358174006
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5755384615385	0.932808299299107	-1.37923558880524	15.7417565149078	133.972395871556
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5715384615385	0.942318264124261	-1.14816469607317	18.8667220480089	160.567847217097
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5455384615385	0.942657425481687	-1.145874354856	18.2139651494128	155.012469356705
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5549230769231	0.93399959134184	-1.41690274218868	14.7694264499356	125.69724638243
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5455384615385	0.903745642530511	-1.2459985050858	16.7669347658387	142.697317156074
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5431538461538	0.91877243664792	-1.15859212393811	18.0162970021701	153.330187252512
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.5633076923077	0.926364384432473	-1.2432221723316	16.803917462665	143.012063512043
"CH2"	"BT_2"	117.5	4012	"mg O2"	14.7176923076923	0.929706053486003	-0.993025840718973	19.3956378745622	165.069258506912
"CH3"	"BT_3"	209.8	4012	"mg O2"	15.0396923076923	0.923225994097701	-1.25006387548489	25.7513818055612	122.742525288662
"CH3"	"BT_3"	209.8	4012	"mg O2"	15.0393076923077	0.968630654348906	-1.24061085088954	25.4322330388998	121.221320490466
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9994615384615	0.944787984104947	-1.14988809559302	24.6495897018417	117.490894670361
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9940769230769	0.951196881634787	-1.12308997552873	24.0991492231013	114.867250825078
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9817692307692	0.932522750063377	-0.944240948197854	25.9252110955301	123.571072905291
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9630769230769	0.956154298401161	-0.805697855842336	26.4092854915197	125.878386518206
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9598461538462	0.947296767423835	-0.807655180482759	25.5612510392199	121.836277593994
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9481538461538	0.926649151604323	-0.804941845919449	24.0723889731404	114.739699585988
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9435384615385	0.940520256491128	-0.79181419067554	23.6681895422572	112.813105539834
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9443846153846	0.962962140321064	-0.77836666617577	23.2600544606055	110.867752433772
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9336923076923	0.94944995418084	-0.715300850279793	22.6398999901607	107.911820734798
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.9136153846154	0.953098171156294	-0.511237329566103	24.197882062273	115.337855396916
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.893	0.95127280139856	-0.394026986181679	26.5548083992848	126.572013342635
"CH3"	"BT_3"	209.8	4012	"mg O2"	14.8839230769231	0.950083889791732	-0.378508466071252	25.9723389736391	123.795705308099
