TimePeriod,Ch1_MMR,Ch2_MMR,Ch3_MMR,Ch4_MMR,Ch5_MMR,Ch6_MMR,Ch7_MMR,Ch8_MMR
1 minute,3055.87915332262,685.850863675654,534.165227385174,862.786039506023,764.588302929787,832.730760051977,622.472925951546,794.132743020749
2 minute,1862.22193891461,607.982600395001,478.533102947327,796.215834386254,691.72704004705,706.717084336213,552.472489510261,757.318176786855
3 minute,1402.60053290934,580.129995310116,463.442646403555,774.490966354888,636.524561399445,677.260741653621,530.999931295082,749.519779721977
5 minute,1013.44428346649,550.48378949218,457.00931245348,744.550882817048,613.90077365571,664.711313641707,513.897489600049,734.63910762115
