"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days","condition3","Date","condition4","Days_in_Exp"
"648","00186D1697",151,"SGR_4",2.44973211146466,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"649","00186D1697",151,"SGR_5",2.26630409081756,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"650","00186D1697",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"651","00186D1697",151,"SGR_7",1.82497671881092,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"652","00186D1698",152,"SGR_1",2.65439656524664,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"653","00186D1698",152,"SGR_2",3.31705596271683,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"654","00186D1698",152,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"655","00186D1698",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"656","00186D1698",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"657","00186D1698",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"658","00186D1698",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"659","00186D1699",152,"SGR_1",2.2648854627046,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"660","00186D1699",152,"SGR_2",2.73674122572782,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"661","00186D1699",152,"SGR_3",2.58452304179064,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"662","00186D1699",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"663","00186D1699",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"664","00186D1699",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"665","00186D1699",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"666","00186D169A",152,"SGR_1",2.90479818648632,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"667","00186D169A",152,"SGR_2",3.15835270102758,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"668","00186D169A",152,"SGR_3",2.85304379046376,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"669","00186D169A",152,"SGR_4",2.4854851189724,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"670","00186D169A",152,"SGR_5",2.30463881689786,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"671","00186D169A",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"672","00186D169A",152,"SGR_7",1.91738043236367,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"673","00186D169B",151,"SGR_1",3.55213757890365,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"674","00186D169B",151,"SGR_2",3.39919407521758,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"675","00186D169B",151,"SGR_3",2.76629371484935,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"676","00186D169B",151,"SGR_4",2.68306724242848,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"677","00186D169B",151,"SGR_5",2.39412825779557,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"678","00186D169B",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"679","00186D169B",151,"SGR_7",2.01223341791834,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"680","00186D169C",152,"SGR_1",2.90479818648632,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"681","00186D169C",152,"SGR_2",3.20018352828537,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"682","00186D169C",152,"SGR_3",2.78777047674232,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"683","00186D169C",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"684","00186D169C",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"685","00186D169C",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"686","00186D169C",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"687","00186D169D",151,"SGR_1",3.83408992430587,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"688","00186D169D",151,"SGR_2",3.21974517335128,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"689","00186D169D",151,"SGR_3",2.7042448938569,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"690","00186D169D",151,"SGR_4",2.44147178904799,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"691","00186D169D",151,"SGR_5",2.28731265645188,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"692","00186D169D",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"693","00186D169D",151,"SGR_7",1.95757526546454,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"694","00186D169E",152,"SGR_1",3.36083645926688,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"695","00186D169E",152,"SGR_2",3.24445856052067,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"696","00186D169E",152,"SGR_3",2.88520295541967,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"697","00186D169E",152,"SGR_4",2.63328257251274,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"698","00186D169E",152,"SGR_5",2.41587324415766,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"699","00186D169E",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"700","00186D169E",152,"SGR_7",1.91633425919173,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"701","00186D169F",151,"SGR_1",2.54271178937517,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"702","00186D169F",151,"SGR_2",2.69479706308235,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"703","00186D169F",151,"SGR_3",2.39123442449694,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"704","00186D169F",151,"SGR_4",2.14399782296266,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"705","00186D169F",151,"SGR_5",2.00229607612286,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"706","00186D169F",151,"SGR_6",1.85622030130164,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"707","00186D169F",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"708","00186D16A0",201,"SGR_1",2.56653964664324,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"709","00186D16A0",201,"SGR_2",2.37729367879087,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"710","00186D16A0",201,"SGR_3",2.10020116571663,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"711","00186D16A0",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"712","00186D16A0",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"713","00186D16A0",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"714","00186D16A0",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"715","00186D16A1",202,"SGR_1",2.37779066107073,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"716","00186D16A1",202,"SGR_2",0.797479977603688,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"717","00186D16A1",202,"SGR_3",0.465094710418978,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"718","00186D16A1",202,"SGR_4",0.881252496480656,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"719","00186D16A1",202,"SGR_5",1.04871689620925,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"720","00186D16A1",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"721","00186D16A1",202,"SGR_7",1.1708664242664,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"722","00186D16A2",151,"SGR_1",2.38349877167774,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"723","00186D16A2",151,"SGR_2",2.99989322024201,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"724","00186D16A2",151,"SGR_3",2.82205364547916,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"725","00186D16A2",151,"SGR_4",2.56523086682079,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"726","00186D16A2",151,"SGR_5",2.37100147101013,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"727","00186D16A2",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"728","00186D16A2",151,"SGR_7",1.89364270233428,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"729","00186D16A3",152,"SGR_1",3.05450487885108,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"730","00186D16A3",152,"SGR_2",3.07114896816871,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"731","00186D16A3",152,"SGR_3",2.82490866545957,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"732","00186D16A3",152,"SGR_4",2.60362323380803,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"733","00186D16A3",152,"SGR_5",2.42150696326693,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"734","00186D16A3",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"735","00186D16A3",152,"SGR_7",1.97071088920031,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"736","00186D16A4",151,"SGR_1",2.9654928777854,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"737","00186D16A4",151,"SGR_2",3.05897060108491,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"738","00186D16A4",151,"SGR_3",2.80351401059626,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"739","00186D16A4",151,"SGR_4",2.51714575686941,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"740","00186D16A4",151,"SGR_5",2.31388571149447,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"741","00186D16A4",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"742","00186D16A4",151,"SGR_7",1.78335194634847,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"743","00186D16A5",202,"SGR_1",1.96962839859378,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"744","00186D16A5",202,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"745","00186D16A5",202,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"746","00186D16A5",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"747","00186D16A5",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"748","00186D16A5",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"749","00186D16A5",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"750","00186D16A6",152,"SGR_1",1.72904650693906,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"751","00186D16A6",152,"SGR_2",2.2452087040586,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"752","00186D16A6",152,"SGR_3",2.17905666866762,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"753","00186D16A6",152,"SGR_4",2.0207456008309,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"754","00186D16A6",152,"SGR_5",1.8865839936554,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"755","00186D16A6",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"756","00186D16A6",152,"SGR_7",1.59820830676971,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"757","00186D16A7",201,"SGR_1",3.15700432333301,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"758","00186D16A7",201,"SGR_2",2.70186071838752,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"759","00186D16A7",201,"SGR_3",2.49447154751741,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"760","00186D16A7",201,"SGR_4",2.27370494329453,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"761","00186D16A7",201,"SGR_5",1.96250710766379,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"762","00186D16A7",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"763","00186D16A7",201,"SGR_7",1.56438536166523,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"764","00186D16A8",151,"SGR_1",2.59875808618619,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"765","00186D16A8",151,"SGR_2",2.70346196987785,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"766","00186D16A8",151,"SGR_3",2.17949744047052,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"767","00186D16A8",151,"SGR_4",2.01642202328078,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"768","00186D16A8",151,"SGR_5",2.05526285310071,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"769","00186D16A8",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"770","00186D16A8",151,"SGR_7",1.6902690182657,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"771","00186D16A9",201,"SGR_1",1.8538068771883,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"772","00186D16A9",201,"SGR_2",2.26114356012683,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"773","00186D16A9",201,"SGR_3",2.23201742374142,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"774","00186D16A9",201,"SGR_4",2.15983466277547,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"775","00186D16A9",201,"SGR_5",1.92536637296818,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"776","00186D16A9",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"777","00186D16A9",201,"SGR_7",1.50198206112278,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"778","00186D16AA",152,"SGR_1",3.42875186768685,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"779","00186D16AA",152,"SGR_2",3.1953156080327,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"780","00186D16AA",152,"SGR_3",2.75775116605455,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"781","00186D16AA",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"782","00186D16AA",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"783","00186D16AA",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"784","00186D16AA",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"785","00186D16AB",151,"SGR_1",3.33035002536772,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"786","00186D16AB",151,"SGR_2",3.21608021855624,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"787","00186D16AB",151,"SGR_3",2.8618268180002,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"788","00186D16AB",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"789","00186D16AB",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"790","00186D16AB",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"791","00186D16AB",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"792","00186D16AC",201,"SGR_1",1.39030341330622,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"793","00186D16AC",201,"SGR_2",0.772198567328863,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"794","00186D16AC",201,"SGR_3",3.27138451224349,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"795","00186D16AC",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"796","00186D16AC",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"797","00186D16AC",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"798","00186D16AC",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"799","00186D16AD",151,"SGR_1",3.13080711036935,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"800","00186D16AD",151,"SGR_2",3.13341836290217,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"801","00186D16AD",151,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"802","00186D16AD",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"803","00186D16AD",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"804","00186D16AD",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"805","00186D16AD",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"806","00186D16AE",152,"SGR_1",3.49277670798647,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"807","00186D16AE",152,"SGR_2",3.85537437901835,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"808","00186D16AE",152,"SGR_3",3.43965617242099,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"809","00186D16AE",152,"SGR_4",3.03564708937172,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"810","00186D16AE",152,"SGR_5",2.68242661554967,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"811","00186D16AE",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"812","00186D16AE",152,"SGR_7",2.12047383927785,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"813","00186D16AF",151,"SGR_1",4.31424825709195,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"814","00186D16AF",151,"SGR_2",3.78367193526972,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"815","00186D16AF",151,"SGR_3",3.15996272178574,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"816","00186D16AF",151,"SGR_4",2.88771606461111,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"817","00186D16AF",151,"SGR_5",2.65545752365399,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"818","00186D16AF",151,"SGR_6",2.39111704603292,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"819","00186D16AF",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"820","00186D16B0",152,"SGR_1",1.2751399143162,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"821","00186D16B0",152,"SGR_2",1.54734743088145,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"822","00186D16B0",152,"SGR_3",1.76330316058395,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"823","00186D16B0",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"824","00186D16B0",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"825","00186D16B0",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"826","00186D16B0",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"827","00186D16B1",202,"SGR_1",1.74018209343303,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"828","00186D16B1",202,"SGR_2",1.20794790930432,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"829","00186D16B1",202,"SGR_3",1.18028406968835,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"830","00186D16B1",202,"SGR_4",1.73006415249606,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"831","00186D16B1",202,"SGR_5",1.72016805298876,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"832","00186D16B1",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"833","00186D16B1",202,"SGR_7",1.4813131845534,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"834","00186D16B2",202,"SGR_1",2.53903068359895,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"835","00186D16B2",202,"SGR_2",1.98597988585385,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"836","00186D16B2",202,"SGR_3",2.0054672154046,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"837","00186D16B2",202,"SGR_4",1.98702823670147,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"838","00186D16B2",202,"SGR_5",1.90667769167661,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"839","00186D16B2",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"840","00186D16B2",202,"SGR_7",1.56732974321716,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"841","00186D16B3",151,"SGR_1",2.7337181795458,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"842","00186D16B3",151,"SGR_2",2.84805427810941,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"843","00186D16B3",151,"SGR_3",2.54518199178273,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"844","00186D16B3",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"845","00186D16B3",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"846","00186D16B3",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"847","00186D16B3",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"848","00186D16B4",151,"SGR_1",NA,"T2minusT1",NA,"T2",NA,"Day_in_Exp_T2",NA
"849","00186D16B4",151,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"850","00186D16B4",151,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"851","00186D16B4",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"852","00186D16B4",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"853","00186D16B4",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"854","00186D16B4",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"855","00186D16B5",201,"SGR_1",1.7092059977676,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"856","00186D16B5",201,"SGR_2",1.33818990603938,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"857","00186D16B5",201,"SGR_3",1.9505258577041,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"858","00186D16B5",201,"SGR_4",2.10461216901263,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"859","00186D16B5",201,"SGR_5",2.00817053267033,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"860","00186D16B5",201,"SGR_6",1.8611892122546,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"861","00186D16B5",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"862","00186D16B6",152,"SGR_1",3.75197080318777,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"863","00186D16B6",152,"SGR_2",3.22196645788773,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"864","00186D16B6",152,"SGR_3",2.76111538714126,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"865","00186D16B6",152,"SGR_4",2.45412138395906,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"866","00186D16B6",152,"SGR_5",2.22895438786122,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"867","00186D16B6",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"868","00186D16B6",152,"SGR_7",1.88323964943795,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"869","00186D16B7",151,"SGR_1",3.03100049706526,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"870","00186D16B7",151,"SGR_2",3.21194763349679,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"871","00186D16B7",151,"SGR_3",2.95463732204262,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"872","00186D16B7",151,"SGR_4",2.78887271964556,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"873","00186D16B7",151,"SGR_5",2.5825482741435,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"874","00186D16B7",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"875","00186D16B7",151,"SGR_7",2.08195858189832,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"876","00186D16B8",152,"SGR_1",2.90479818648632,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"877","00186D16B8",152,"SGR_2",2.98167210535554,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
