"","TAGNUMBER","SEX","TANK_Real","condition1","SGR","condition2","Interval_Days"
"88","00186D1663","F",202,"SGR_1",2.29448048961669,"T2minusT1",32
"85","00186D1663","F",202,"SGR_2",1.59456226004924,"T3minusT1",62
"86","00186D1663","F",202,"SGR_3",1.62781009020267,"T4minusT1",98
"90","00186D1663","F",202,"SGR_4",1.61304556554565,"T5minusT1",133
"87","00186D1663","F",202,"SGR_5",1.45293074669892,"T6minusT1",161
"89","00186D1663","F",202,"SGR_6",1.35786022774216,"T7minusT1",244
"94","00186D1667","F",152,"SGR_1",2.77360753628788,"T2minusT1",32
"91","00186D1667","F",152,"SGR_2",3.15956233696126,"T3minusT1",62
"95","00186D1667","F",152,"SGR_3",2.66466124041904,"T4minusT1",98
"92","00186D1667","F",152,"SGR_4",NA,"T5minusT1",NA
"93","00186D1667","F",152,"SGR_5",NA,"T6minusT1",NA
"96","00186D1667","F",152,"SGR_6",NA,"T7minusT1",NA
"100","00186D166A","F",152,"SGR_1",2.18971486541166,"T2minusT1",32
"97","00186D166A","F",152,"SGR_2",2.33136434970509,"T3minusT1",62
"99","00186D166A","F",152,"SGR_3",1.93874361425279,"T4minusT1",98
"102","00186D166A","F",152,"SGR_4",1.67676974346369,"T5minusT1",133
"101","00186D166A","F",152,"SGR_5",1.55539252488439,"T6minusT1",161
"98","00186D166A","F",152,"SGR_6",1.51583033968339,"T7minusT1",190
"104","00186D166B","F",201,"SGR_1",3.08877103879339,"T2minusT1",32
"107","00186D166B","F",201,"SGR_2",2.48768999664895,"T3minusT1",62
"106","00186D166B","F",201,"SGR_3",2.53679955747399,"T4minusT1",98
"103","00186D166B","F",201,"SGR_4",2.24329696337842,"T5minusT1",133
"108","00186D166B","F",201,"SGR_5",2.08858900901829,"T6minusT1",161
"105","00186D166B","F",201,"SGR_6",1.85057334881726,"T7minusT1",190
"113","00186D166C","M",152,"SGR_1",3.29689324257061,"T2minusT1",32
"114","00186D166C","M",152,"SGR_2",3.10226782999736,"T3minusT1",62
"110","00186D166C","M",152,"SGR_3",2.76203105084241,"T4minusT1",98
"111","00186D166C","M",152,"SGR_4",2.47820300086139,"T5minusT1",133
"112","00186D166C","M",152,"SGR_5",2.23018033974569,"T6minusT1",161
"109","00186D166C","M",152,"SGR_6",1.88127452905014,"T7minusT1",244
"119","00186D166E","F",202,"SGR_1",1.50995218371923,"T2minusT1",32
"118","00186D166E","F",202,"SGR_2",0.993783739030007,"T3minusT1",62
"116","00186D166E","F",202,"SGR_3",1.03035703525709,"T4minusT1",98
"117","00186D166E","F",202,"SGR_4",1.10409752781881,"T5minusT1",133
"115","00186D166E","F",202,"SGR_5",1.14668212398314,"T6minusT1",161
"120","00186D166E","F",202,"SGR_6",1.0964582252833,"T7minusT1",244
"125","00186D166F","M",202,"SGR_1",2.77360753628788,"T2minusT1",32
"121","00186D166F","M",202,"SGR_2",1.72075061608705,"T3minusT1",62
"123","00186D166F","M",202,"SGR_3",1.89255332122658,"T4minusT1",98
"124","00186D166F","M",202,"SGR_4",1.81088256562913,"T5minusT1",133
"126","00186D166F","M",202,"SGR_5",1.66694422802529,"T6minusT1",161
"122","00186D166F","M",202,"SGR_6",1.55951951673041,"T7minusT1",190
"129","00186D1670","F",201,"SGR_1",2.58198760778205,"T2minusT1",32
"131","00186D1670","F",201,"SGR_2",2.5105690188576,"T3minusT1",62
"128","00186D1670","F",201,"SGR_3",2.34042007715025,"T4minusT1",98
"132","00186D1670","F",201,"SGR_4",2.16284713318879,"T5minusT1",133
"130","00186D1670","F",201,"SGR_5",1.98430970192558,"T6minusT1",161
"127","00186D1670","F",201,"SGR_6",1.57951846459132,"T7minusT1",244
"138","00186D1675","M",152,"SGR_1",3.26988383078417,"T2minusT1",32
"135","00186D1675","M",152,"SGR_2",3.38278751089707,"T3minusT1",62
"136","00186D1675","M",152,"SGR_3",3.02774958419976,"T4minusT1",98
"137","00186D1675","M",152,"SGR_4",2.78354284590121,"T5minusT1",133
"133","00186D1675","M",152,"SGR_5",2.57850846427783,"T6minusT1",161
"134","00186D1675","M",152,"SGR_6",2.38570105709484,"T7minusT1",190
"143","00186D167A","F",201,"SGR_1",3.21175116862575,"T2minusT1",32
"139","00186D167A","F",201,"SGR_2",1.96907146833234,"T3minusT1",62
"141","00186D167A","F",201,"SGR_3",1.37156683329671,"T4minusT1",98
"142","00186D167A","F",201,"SGR_4",NA,"T5minusT1",NA
"144","00186D167A","F",201,"SGR_5",NA,"T6minusT1",NA
"140","00186D167A","F",201,"SGR_6",NA,"T7minusT1",NA
"150","00186D167B","F",201,"SGR_1",2.7857507075342,"T2minusT1",32
"146","00186D167B","F",201,"SGR_2",1.97575278960194,"T3minusT1",62
"149","00186D167B","F",201,"SGR_3",1.97807794082663,"T4minusT1",98
"145","00186D167B","F",201,"SGR_4",1.88881004733656,"T5minusT1",133
"147","00186D167B","F",201,"SGR_5",1.83035350856475,"T6minusT1",161
"148","00186D167B","F",201,"SGR_6",1.71245633151353,"T7minusT1",190
"154","00186D1680","F",202,"SGR_1",2.24431930119804,"T2minusT1",32
"152","00186D1680","F",202,"SGR_2",0.67467510844399,"T3minusT1",62
"155","00186D1680","F",202,"SGR_3",1.27114837018349,"T4minusT1",98
"153","00186D1680","F",202,"SGR_4",0.98643729493122,"T5minusT1",133
"156","00186D1680","F",202,"SGR_5",1.08955245906743,"T6minusT1",161
"151","00186D1680","F",202,"SGR_6",1.04787047479358,"T7minusT1",244
"158","00186D1683","F",152,"SGR_1",3.16959751571222,"T2minusT1",32
"157","00186D1683","F",152,"SGR_2",2.89209956301837,"T3minusT1",62
"160","00186D1683","F",152,"SGR_3",2.42837881355307,"T4minusT1",98
"162","00186D1683","F",152,"SGR_4",2.12348336854551,"T5minusT1",133
"159","00186D1683","F",152,"SGR_5",1.97635891623837,"T6minusT1",161
"161","00186D1683","F",152,"SGR_6",1.77515821525223,"T7minusT1",244
"165","00186D1684","M",202,"SGR_1",1.73375280867012,"T2minusT1",32
"168","00186D1684","M",202,"SGR_2",0.691807841163405,"T3minusT1",62
"164","00186D1684","M",202,"SGR_3",0.953018655214932,"T4minusT1",98
"167","00186D1684","M",202,"SGR_4",0.878384837574697,"T5minusT1",133
"166","00186D1684","M",202,"SGR_5",0.737970609995608,"T6minusT1",161
"163","00186D1684","M",202,"SGR_6",0.615263055502768,"T7minusT1",244
