Temp,Replicate,Chamber,time_month,weight_g,MMR_mass_specific,MMR_absolute,LN(Weight),LN(MMR) - MS,LN(MMR) - Absolute,MMR (mass corrected),ln(Residual)
20,1,6,0 month,6.7,832.7307587,5.579296083,1.902107526,6.724710371,1.719062618,728.1743887,0.261788486
20,1,7,0 month,4.9,622.4729241,3.050117328,1.589235205,6.433700132,1.115180058,524.5870552,-0.066015538
20,1,8,0 month,6.8,794.1327399,5.400102631,1.916922612,6.677250626,1.686417959,695.6377144,0.216070995
20,2,1,0 month,6.6,685.864573,4.526706182,1.887069649,6.530680193,1.509994563,598.6851996,0.065989853
20,2,2,0 month,4.1,806.863239,3.30813928,1.410986974,6.693154186,1.19638588,665.8285159,0.172476523
20,2,3,0 month,4.9,813.208672,3.984722493,1.589235205,6.700987746,1.382467672,685.3289934,0.201272076
20,2,4,0 month,5.2,776.847094,4.039604889,1.648658626,6.655243541,1.396146887,659.2921529,0.162516065
20,2,5,0 month,5.3,1057.0344,5.60228232,1.667706821,6.96322253,1.723174072,899.0992604,0.472735122
20,2,6,0 month,5.9,550.265894,3.246568775,1.774952351,6.310401605,1.177598677,474.0095588,-0.167473729
20,2,7,0 month,7,335.936824,2.351557768,1.945910149,5.816923118,0.855077989,295.2793984,-0.640847578
20,2,8,0 month,8.7,665.429817,5.789239408,2.163323026,6.500433173,1.75600092,600.0942916,0.068230231
20,1,1,3 month,17.4,526.8838079,9.167778257,2.856470206,6.266980046,2.215694973,515.6483472,-0.083708788
20,1,2,3 month,26.7,585.8432689,15.64201528,3.284663565,6.373052295,2.749960581,603.0644665,0.072719
20,1,3,3 month,32.3,428.6205279,13.84444305,3.47506723,6.060571977,2.627883928,451.2454451,-0.217369847
20,1,4,3 month,22.4,432.6873378,9.692196367,3.109060959,6.070015384,2.271321063,436.2720785,-0.250968778
20,1,5,3 month,38.6,480.8865485,18.56222077,3.653252276,6.175631376,2.921128374,517.0278029,-0.081355886
20,1,6,3 month,20,530.2090918,10.60418184,2.995732274,6.273271442,2.361248436,527.5002584,-0.061040173
20,1,7,3 month,15.2,504.7864271,7.672753692,2.721295428,6.224135423,2.037675572,486.2047293,-0.142449965
20,1,8,3 month,21.7,451.9629507,9.807596029,3.077312261,6.113600209,2.28315719,454.0033428,-0.2111176
20,2,1,3 month,18.4,535.9300858,9.861113578,2.912350665,6.284003716,2.288599101,527.9716554,-0.060113577
20,2,2,3 month,26.8,447.5814218,11.9951821,3.288401888,6.103858469,2.484505078,460.9416201,-0.196035199
20,2,3,3 month,16.4,554.9711128,9.10152625,2.797281335,6.318916063,2.208442119,539.3565021,-0.038733382
20,2,4,3 month,27.7,449.6077231,12.45413393,3.321432413,6.108375476,2.52205261,464.836628,-0.187633802
20,2,5,3 month,28.5,422.0628168,12.02879028,3.349904087,6.045154158,2.487302966,437.8272148,-0.247506852
20,2,6,3 month,16.9,474.8457564,8.024893284,2.827313622,6.162990028,2.082548371,463.1238629,-0.19112762
20,2,7,3 month,26.8,430.4160934,11.5351513,3.288401888,6.0647524,2.445399009,443.2639108,-0.235141268
20,2,8,3 month,10.8,622.1114689,6.718803864,2.379546134,6.433119287,1.904910142,575.5276293,0.026344182
20,1,1,6 month,96.3,312.0803996,30.05334248,4.567468319,5.743260846,3.402973885,373.7561624,-0.40621461
20,1,2,6 month,104.4,674.3695889,70.40418509,4.648229675,6.513778312,4.254252709,815.3772742,0.373800392
20,1,3,6 month,94.1,672.4783808,63.28021564,4.544358047,6.510969964,4.147572731,803.185518,0.358776739
20,1,4,6 month,118.4,470.7533296,55.73719423,4.774068722,6.154334241,4.020647684,577.7006657,0.029154992
20,1,5,6 month,96.1,560.0215156,53.81806765,4.565389316,6.327975204,3.985609241,670.5328188,0.178255257
20,1,6,6 month,141.3,612.675934,86.57110947,4.95088529,6.41783614,4.460966151,767.7177172,0.31345052
20,2,1,6 month,161.2,455.6033438,73.44325902,5.08264583,6.121622571,4.296513122,579.8423662,0.03273199
20,2,2,6 month,102.9,474.7033557,48.8469753,4.633757643,6.162690095,3.888692459,572.9824007,0.021010263
20,2,3,6 month,108.1,535.511254,57.88876656,4.683056725,6.283221906,4.058523351,650.1506495,0.147339646
20,2,4,6 month,113.9,512.7810468,58.40576122,4.73532087,6.239848945,4.067414536,626.4057428,0.110112949
20,2,5,6 month,90.5,580.720869,52.55523865,4.505349851,6.364270209,3.961864781,690.4081864,0.207489622
20,2,6,6 month,116.6,357.1223435,41.64046525,4.758749274,5.878078422,3.729072417,437.4630922,-0.248902394
