"","TAGNUMBER","SEX","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"58","00186D1654","F",152,"WEIGHT_1",2.8,"LENGTH_1",62,"T1",2021-07-29
"61","00186D1654","F",152,"WEIGHT_2",7.9,"LENGTH_2",88,"T2",2021-08-30
"63","00186D1654","F",152,"WEIGHT_3",18.7,"LENGTH_3",118,"T3",2021-09-29
"62","00186D1654","F",152,"WEIGHT_4",36.5,"LENGTH_4",147,"T4",2021-11-04
"59","00186D1654","F",152,"WEIGHT_5",66,"LENGTH_5",180,"T5",2021-12-09
"60","00186D1654","F",152,"WEIGHT_6",91.6,"LENGTH_6",204,"T6",2022-01-06
"57","00186D1654","F",152,"WEIGHT_7",207.7,"LENGTH_7",265,"T7",2022-03-30
"69","00186D1655","M",202,"WEIGHT_1",3.7,"LENGTH_1",71,"T1",2021-07-29
"68","00186D1655","M",202,"WEIGHT_2",8.3,"LENGTH_2",90,"T2",2021-08-30
"67","00186D1655","M",202,"WEIGHT_3",14.7,"LENGTH_3",111,"T3",2021-09-29
"65","00186D1655","M",202,"WEIGHT_4",28.8,"LENGTH_4",135,"T4",2021-11-04
"66","00186D1655","M",202,"WEIGHT_5",58.5,"LENGTH_5",169,"T5",2021-12-09
"70","00186D1655","M",202,"WEIGHT_6",71.8,"LENGTH_6",186,"T6",2022-01-06
"64","00186D1655","M",202,"WEIGHT_7",140.2,"LENGTH_7",225,"T7",2022-03-30
"72","00186D1656","M",202,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"77","00186D1656","M",202,"WEIGHT_2",5.6,"LENGTH_2",79,"T2",2021-08-30
"74","00186D1656","M",202,"WEIGHT_3",9.9,"LENGTH_3",95,"T3",2021-09-29
"71","00186D1656","M",202,"WEIGHT_4",25.9,"LENGTH_4",129,"T4",2021-11-04
"73","00186D1656","M",202,"WEIGHT_5",51,"LENGTH_5",160,"T5",2021-12-09
"75","00186D1656","M",202,"WEIGHT_6",74.7,"LENGTH_6",180,"T6",2022-01-06
"76","00186D1656","M",202,"WEIGHT_7",96.1,"LENGTH_7",192,"T7",2022-02-04
"84","00186D1659","M",202,"WEIGHT_1",2.1,"LENGTH_1",57,"T1",2021-07-29
"82","00186D1659","M",202,"WEIGHT_2",4.9,"LENGTH_2",77,"T2",2021-08-30
