"","TAGNUMBER","SEX","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"284","00186D16A0","M",201,"WEIGHT_4",18.4,"LENGTH_4",117,"T4",2021-11-04
"286","00186D16A0","M",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"287","00186D16A0","M",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"282","00186D16A0","M",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"290","00186D16A1","M",202,"WEIGHT_1",3.3,"LENGTH_1",66,"T1",2021-07-29
"292","00186D16A1","M",202,"WEIGHT_2",7,"LENGTH_2",84,"T2",2021-08-30
"293","00186D16A1","M",202,"WEIGHT_3",5.4,"LENGTH_3",83,"T3",2021-09-29
"289","00186D16A1","M",202,"WEIGHT_4",5.2,"LENGTH_4",82,"T4",2021-11-04
"291","00186D16A1","M",202,"WEIGHT_5",10.6,"LENGTH_5",96,"T5",2021-12-09
"288","00186D16A1","M",202,"WEIGHT_6",17.7,"LENGTH_6",116,"T6",2022-01-06
"294","00186D16A1","M",202,"WEIGHT_7",56.5,"LENGTH_7",268,"T7",2022-03-30
"299","00186D16A3","F",152,"WEIGHT_1",2.1,"LENGTH_1",58,"T1",2021-07-29
"298","00186D16A3","F",152,"WEIGHT_2",5.5,"LENGTH_2",80,"T2",2021-08-30
"295","00186D16A3","F",152,"WEIGHT_3",13.7,"LENGTH_3",110,"T3",2021-09-29
"296","00186D16A3","F",152,"WEIGHT_4",32.2,"LENGTH_4",144,"T4",2021-11-04
"300","00186D16A3","F",152,"WEIGHT_5",64.1,"LENGTH_5",180,"T5",2021-12-09
"301","00186D16A3","F",152,"WEIGHT_6",98.9,"LENGTH_6",208,"T6",2022-01-06
"297","00186D16A3","F",152,"WEIGHT_7",245.6,"LENGTH_7",275,"T7",2022-03-30
"302","00186D16A6","F",152,"WEIGHT_1",2.6,"LENGTH_1",62,"T1",2021-07-29
"303","00186D16A6","F",152,"WEIGHT_2",4.5,"LENGTH_2",79,"T2",2021-08-30
"304","00186D16A6","F",152,"WEIGHT_3",10.3,"LENGTH_3",100,"T3",2021-09-29
"305","00186D16A6","F",152,"WEIGHT_4",21.5,"LENGTH_4",124,"T4",2021-11-04
"307","00186D16A6","F",152,"WEIGHT_5",37.2,"LENGTH_5",149,"T5",2021-12-09
"306","00186D16A6","F",152,"WEIGHT_6",52.7,"LENGTH_6",167,"T6",2022-01-06
"308","00186D16A6","F",152,"WEIGHT_7",124.5,"LENGTH_7",227,"T7",2022-03-30
"315","00186D16A7","F",201,"WEIGHT_1",2.7,"LENGTH_1",63,"T1",2021-07-29
"312","00186D16A7","F",201,"WEIGHT_2",7.3,"LENGTH_2",85,"T2",2021-08-30
"314","00186D16A7","F",201,"WEIGHT_3",14.1,"LENGTH_3",108,"T3",2021-09-29
"313","00186D16A7","F",201,"WEIGHT_4",30.2,"LENGTH_4",135,"T4",2021-11-04
"309","00186D16A7","F",201,"WEIGHT_5",53.7,"LENGTH_5",161,"T5",2021-12-09
"311","00186D16A7","F",201,"WEIGHT_6",61.7,"LENGTH_6",171,"T6",2022-01-06
"310","00186D16A7","F",201,"WEIGHT_7",119.2,"LENGTH_7",210,"T7",2022-03-30
"321","00186D16A9","F",201,"WEIGHT_1",2,"LENGTH_1",58,"T1",2021-07-29
"317","00186D16A9","F",201,"WEIGHT_2",3.6,"LENGTH_2",70,"T2",2021-08-30
"319","00186D16A9","F",201,"WEIGHT_3",8,"LENGTH_3",90,"T3",2021-09-29
"320","00186D16A9","F",201,"WEIGHT_4",17.4,"LENGTH_4",115,"T4",2021-11-04
"316","00186D16A9","F",201,"WEIGHT_5",34.3,"LENGTH_5",140,"T5",2021-12-09
"318","00186D16A9","F",201,"WEIGHT_6",43.1,"LENGTH_6",151,"T6",2022-01-06
"322","00186D16A9","F",201,"WEIGHT_7",76,"LENGTH_7",185,"T7",2022-03-30
"328","00186D16AA","M",152,"WEIGHT_1",3.4,"LENGTH_1",69,"T1",2021-07-29
"326","00186D16AA","M",152,"WEIGHT_2",10,"LENGTH_2",100,"T2",2021-08-30
"327","00186D16AA","M",152,"WEIGHT_3",23.9,"LENGTH_3",133,"T3",2021-09-29
"325","00186D16AA","M",152,"WEIGHT_4",48.9,"LENGTH_4",166,"T4",2021-11-04
"323","00186D16AA","M",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"329","00186D16AA","M",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"324","00186D16AA","M",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"333","00186D16AB","M",151,"WEIGHT_1",3.4,"LENGTH_1",66,"T1",2021-07-29
"330","00186D16AB","M",151,"WEIGHT_2",9.7,"LENGTH_2",95,"T2",2021-08-30
"332","00186D16AB","M",151,"WEIGHT_3",24.2,"LENGTH_3",129,"T3",2021-09-29
"334","00186D16AB","M",151,"WEIGHT_4",54,"LENGTH_4",166,"T4",2021-11-04
"335","00186D16AB","M",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"331","00186D16AB","M",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"336","00186D16AB","M",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"337","00186D16AE","M",152,"WEIGHT_1",1.6,"LENGTH_1",55,"T1",2021-07-29
"338","00186D16AE","M",152,"WEIGHT_2",4.8,"LENGTH_2",75,"T2",2021-08-30
"340","00186D16AE","M",152,"WEIGHT_3",16.7,"LENGTH_3",110,"T3",2021-09-29
"343","00186D16AE","M",152,"WEIGHT_4",44,"LENGTH_4",150,"T4",2021-11-04
"341","00186D16AE","M",152,"WEIGHT_5",85.4,"LENGTH_5",185,"T5",2021-12-09
"342","00186D16AE","M",152,"WEIGHT_6",113.5,"LENGTH_6",206,"T6",2022-01-06
"339","00186D16AE","M",152,"WEIGHT_7",267.7,"LENGTH_7",272,"T7",2022-03-30
"350","00186D16B0","M",152,"WEIGHT_1",2.2,"LENGTH_1",59,"T1",2021-07-29
"345","00186D16B0","M",152,"WEIGHT_2",3.3,"LENGTH_2",70,"T2",2021-08-30
"346","00186D16B0","M",152,"WEIGHT_3",5.7,"LENGTH_3",84,"T3",2021-09-29
"349","00186D16B0","M",152,"WEIGHT_4",12.2,"LENGTH_4",105,"T4",2021-11-04
"348","00186D16B0","M",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"344","00186D16B0","M",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"347","00186D16B0","M",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"353","00186D16B1","M",202,"WEIGHT_1",1.9,"LENGTH_1",57,"T1",2021-07-29
"356","00186D16B1","M",202,"WEIGHT_2",3.3,"LENGTH_2",68,"T2",2021-08-30
"352","00186D16B1","M",202,"WEIGHT_3",4,"LENGTH_3",74,"T3",2021-09-29
"355","00186D16B1","M",202,"WEIGHT_4",6,"LENGTH_4",81,"T4",2021-11-04
"351","00186D16B1","M",202,"WEIGHT_5",18.6,"LENGTH_5",117,"T5",2021-12-09
"357","00186D16B1","M",202,"WEIGHT_6",29.6,"LENGTH_6",136,"T6",2022-01-06
"354","00186D16B1","M",202,"WEIGHT_7",68.7,"LENGTH_7",180,"T7",2022-03-30
"358","00186D16B2","F",202,"WEIGHT_1",1.3,"LENGTH_1",51,"T1",2021-07-29
"361","00186D16B2","F",202,"WEIGHT_2",2.9,"LENGTH_2",66,"T2",2021-08-30
"362","00186D16B2","F",202,"WEIGHT_3",4.4,"LENGTH_3",75,"T3",2021-09-29
"360","00186D16B2","F",202,"WEIGHT_4",9.1,"LENGTH_4",91,"T4",2021-11-04
"364","00186D16B2","F",202,"WEIGHT_5",17.8,"LENGTH_5",112,"T5",2021-12-09
"359","00186D16B2","F",202,"WEIGHT_6",27.2,"LENGTH_6",130,"T6",2022-01-06
"363","00186D16B2","F",202,"WEIGHT_7",57.8,"LENGTH_7",170,"T7",2022-03-30
"368","00186D16B3","M",151,"WEIGHT_1",2.7,"LENGTH_1",61,"T1",2021-07-29
"367","00186D16B3","M",151,"WEIGHT_2",6.4,"LENGTH_2",83,"T2",2021-08-30
"365","00186D16B3","M",151,"WEIGHT_3",15.4,"LENGTH_3",110,"T3",2021-09-29
"370","00186D16B3","M",151,"WEIGHT_4",31.7,"LENGTH_4",139,"T4",2021-11-04
"369","00186D16B3","M",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"366","00186D16B3","M",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"371","00186D16B3","M",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"375","00186D16B5","F",201,"WEIGHT_1",2.5,"LENGTH_1",60,"T1",2021-07-29
"372","00186D16B5","F",201,"WEIGHT_2",4.3,"LENGTH_2",71,"T2",2021-08-30
"378","00186D16B5","F",201,"WEIGHT_3",5.7,"LENGTH_3",79,"T3",2021-09-29
"376","00186D16B5","F",201,"WEIGHT_4",16.6,"LENGTH_4",108,"T4",2021-11-04
"374","00186D16B5","F",201,"WEIGHT_5",39.9,"LENGTH_5",142,"T5",2021-12-09
"377","00186D16B5","F",201,"WEIGHT_6",61.4,"LENGTH_6",170,"T6",2022-01-06
"373","00186D16B5","F",201,"WEIGHT_7",83.1,"LENGTH_7",173,"T7",2022-02-04
"383","00186D16B8","F",152,"WEIGHT_1",2.2,"LENGTH_1",57,"T1",2021-07-29
"379","00186D16B8","F",152,"WEIGHT_2",5.5,"LENGTH_2",80,"T2",2021-08-30
"385","00186D16B8","F",152,"WEIGHT_3",13.6,"LENGTH_3",105,"T3",2021-09-29
"382","00186D16B8","F",152,"WEIGHT_4",20.2,"LENGTH_4",121,"T4",2021-11-04
"380","00186D16B8","F",152,"WEIGHT_5",33.9,"LENGTH_5",143,"T5",2021-12-09
"384","00186D16B8","F",152,"WEIGHT_6",29.8,"LENGTH_6",145,"T6",2022-01-06
"381","00186D16B8","F",152,"WEIGHT_7",114.8,"LENGTH_7",205,"T7",2022-03-30
"387","00186D16B9","M",202,"WEIGHT_1",2.9,"LENGTH_1",65,"T1",2021-07-29
"386","00186D16B9","M",202,"WEIGHT_2",7,"LENGTH_2",85,"T2",2021-08-30
"392","00186D16B9","M",202,"WEIGHT_3",11.1,"LENGTH_3",101,"T3",2021-09-29
"389","00186D16B9","M",202,"WEIGHT_4",22.8,"LENGTH_4",128,"T4",2021-11-04
"388","00186D16B9","M",202,"WEIGHT_5",44.1,"LENGTH_5",158,"T5",2021-12-09
"391","00186D16B9","M",202,"WEIGHT_6",62.3,"LENGTH_6",176,"T6",2022-01-06
"390","00186D16B9","M",202,"WEIGHT_7",89.7,"LENGTH_7",201,"T7",2022-02-04
"399","00186D16BB","F",202,"WEIGHT_1",1.8,"LENGTH_1",58,"T1",2021-07-29
"397","00186D16BB","F",202,"WEIGHT_2",5.6,"LENGTH_2",78,"T2",2021-08-30
"395","00186D16BB","F",202,"WEIGHT_3",12.4,"LENGTH_3",102,"T3",2021-09-29
"396","00186D16BB","F",202,"WEIGHT_4",22.2,"LENGTH_4",119,"T4",2021-11-04
"394","00186D16BB","F",202,"WEIGHT_5",39.7,"LENGTH_5",146,"T5",2021-12-09
"393","00186D16BB","F",202,"WEIGHT_6",52.3,"LENGTH_6",166,"T6",2022-01-06
"398","00186D16BB","F",202,"WEIGHT_7",69.4,"LENGTH_7",177,"T7",2022-02-04
"403","00186D16BD","M",201,"WEIGHT_1",2.3,"LENGTH_1",60,"T1",2021-07-29
"402","00186D16BD","M",201,"WEIGHT_2",5.2,"LENGTH_2",76,"T2",2021-08-30
"404","00186D16BD","M",201,"WEIGHT_3",5.1,"LENGTH_3",79,"T3",2021-09-29
"406","00186D16BD","M",201,"WEIGHT_4",8,"LENGTH_4",88,"T4",2021-11-04
"400","00186D16BD","M",201,"WEIGHT_5",19.2,"LENGTH_5",120,"T5",2021-12-09
"401","00186D16BD","M",201,"WEIGHT_6",32.1,"LENGTH_6",142,"T6",2022-01-06
"405","00186D16BD","M",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"411","00186D16C5","F",202,"WEIGHT_1",2.2,"LENGTH_1",57,"T1",2021-07-29
"410","00186D16C5","F",202,"WEIGHT_2",4.6,"LENGTH_2",74,"T2",2021-08-30
"408","00186D16C5","F",202,"WEIGHT_3",5.4,"LENGTH_3",79,"T3",2021-09-29
"413","00186D16C5","F",202,"WEIGHT_4",13.5,"LENGTH_4",105,"T4",2021-11-04
"409","00186D16C5","F",202,"WEIGHT_5",22.8,"LENGTH_5",125,"T5",2021-12-09
"407","00186D16C5","F",202,"WEIGHT_6",32.4,"LENGTH_6",137,"T6",2022-01-06
"412","00186D16C5","F",202,"WEIGHT_7",80.3,"LENGTH_7",185,"T7",2022-03-30
"415","00186D16C8","F",152,"WEIGHT_1",1.3,"LENGTH_1",52,"T1",2021-07-29
"420","00186D16C8","F",152,"WEIGHT_2",2.5,"LENGTH_2",60,"T2",2021-08-30
"419","00186D16C8","F",152,"WEIGHT_3",3.7,"LENGTH_3",70,"T3",2021-09-29
"418","00186D16C8","F",152,"WEIGHT_4",5.2,"LENGTH_4",79,"T4",2021-11-04
"416","00186D16C8","F",152,"WEIGHT_5",6.6,"LENGTH_5",85,"T5",2021-12-09
"417","00186D16C8","F",152,"WEIGHT_6",8.1,"LENGTH_6",94,"T6",2022-01-06
"414","00186D16C8","F",152,"WEIGHT_7",8.5,"LENGTH_7",95,"T7",2022-02-04
"423","00186D16CA","M",152,"WEIGHT_1",2.7,"LENGTH_1",65,"T1",2021-07-29
"421","00186D16CA","M",152,"WEIGHT_2",6.5,"LENGTH_2",85,"T2",2021-08-30
"422","00186D16CA","M",152,"WEIGHT_3",16.3,"LENGTH_3",115,"T3",2021-09-29
"426","00186D16CA","M",152,"WEIGHT_4",31.3,"LENGTH_4",144,"T4",2021-11-04
"427","00186D16CA","M",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"424","00186D16CA","M",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"425","00186D16CA","M",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"430","00186D16CC","M",151,"WEIGHT_1",1.5,"LENGTH_1",51,"T1",2021-07-29
"429","00186D16CC","M",151,"WEIGHT_2",3.8,"LENGTH_2",70,"T2",2021-08-30
"428","00186D16CC","M",151,"WEIGHT_3",10.2,"LENGTH_3",94,"T3",2021-09-29
"431","00186D16CC","M",151,"WEIGHT_4",18.5,"LENGTH_4",115,"T4",2021-11-04
"432","00186D16CC","M",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"434","00186D16CC","M",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"433","00186D16CC","M",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"440","00186D16CD","M",152,"WEIGHT_1",3.8,"LENGTH_1",67,"T1",2021-07-29
"441","00186D16CD","M",152,"WEIGHT_2",8.7,"LENGTH_2",92,"T2",2021-08-30
"437","00186D16CD","M",152,"WEIGHT_3",22.1,"LENGTH_3",125,"T3",2021-09-29
"436","00186D16CD","M",152,"WEIGHT_4",51.7,"LENGTH_4",160,"T4",2021-11-04
"439","00186D16CD","M",152,"WEIGHT_5",96.8,"LENGTH_5",200,"T5",2021-12-09
"438","00186D16CD","M",152,"WEIGHT_6",122.3,"LENGTH_6",219,"T6",2022-01-06
"435","00186D16CD","M",152,"WEIGHT_7",224.9,"LENGTH_7",260,"T7",2022-03-30
"444","00186D16D7","M",202,"WEIGHT_1",2.3,"LENGTH_1",59,"T1",2021-07-29
"445","00186D16D7","M",202,"WEIGHT_2",5.3,"LENGTH_2",75,"T2",2021-08-30
"446","00186D16D7","M",202,"WEIGHT_3",7.4,"LENGTH_3",85,"T3",2021-09-29
"448","00186D16D7","M",202,"WEIGHT_4",19.9,"LENGTH_4",112,"T4",2021-11-04
"447","00186D16D7","M",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"443","00186D16D7","M",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"442","00186D16D7","M",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"454","00186D16D9","F",202,"WEIGHT_1",2.3,"LENGTH_1",60,"T1",2021-07-29
"452","00186D16D9","F",202,"WEIGHT_2",5.6,"LENGTH_2",80,"T2",2021-08-30
"455","00186D16D9","F",202,"WEIGHT_3",8.8,"LENGTH_3",92,"T3",2021-09-29
"449","00186D16D9","F",202,"WEIGHT_4",19.2,"LENGTH_4",115,"T4",2021-11-04
"450","00186D16D9","F",202,"WEIGHT_5",33.2,"LENGTH_5",135,"T5",2021-12-09
"453","00186D16D9","F",202,"WEIGHT_6",41.6,"LENGTH_6",149,"T6",2022-01-06
"451","00186D16D9","F",202,"WEIGHT_7",55,"LENGTH_7",170,"T7",2022-03-30
"459","00186D16DB","M",152,"WEIGHT_1",1.6,"LENGTH_1",53,"T1",2021-07-29
"457","00186D16DB","M",152,"WEIGHT_2",4.8,"LENGTH_2",76,"T2",2021-08-30
"458","00186D16DB","M",152,"WEIGHT_3",14.4,"LENGTH_3",99,"T3",2021-09-29
"462","00186D16DB","M",152,"WEIGHT_4",29.6,"LENGTH_4",140,"T4",2021-11-04
"461","00186D16DB","M",152,"WEIGHT_5",63.4,"LENGTH_5",175,"T5",2021-12-09
"460","00186D16DB","M",152,"WEIGHT_6",92.4,"LENGTH_6",201,"T6",2022-01-06
"456","00186D16DB","M",152,"WEIGHT_7",122,"LENGTH_7",216,"T7",2022-02-04
"467","00186D16DE","M",201,"WEIGHT_1",2.3,"LENGTH_1",59,"T1",2021-07-29
"465","00186D16DE","M",201,"WEIGHT_2",4.9,"LENGTH_2",72,"T2",2021-08-30
"464","00186D16DE","M",201,"WEIGHT_3",7.3,"LENGTH_3",85,"T3",2021-09-29
"468","00186D16DE","M",201,"WEIGHT_4",11.5,"LENGTH_4",95,"T4",2021-11-04
"469","00186D16DE","M",201,"WEIGHT_5",27.5,"LENGTH_5",125,"T5",2021-12-09
"466","00186D16DE","M",201,"WEIGHT_6",32.7,"LENGTH_6",137,"T6",2022-01-06
"463","00186D16DE","M",201,"WEIGHT_7",66.5,"LENGTH_7",170,"T7",2022-03-30
"474","00186D16E3","M",201,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"472","00186D16E3","M",201,"WEIGHT_2",4.5,"LENGTH_2",73,"T2",2021-08-30
"475","00186D16E3","M",201,"WEIGHT_3",6.5,"LENGTH_3",82,"T3",2021-09-29
"471","00186D16E3","M",201,"WEIGHT_4",8.8,"LENGTH_4",90,"T4",2021-11-04
"476","00186D16E3","M",201,"WEIGHT_5",26.6,"LENGTH_5",130,"T5",2021-12-09
"473","00186D16E3","M",201,"WEIGHT_6",46.6,"LENGTH_6",159,"T6",2022-01-06
"470","00186D16E3","M",201,"WEIGHT_7",89,"LENGTH_7",195,"T7",2022-03-30
"481","00186D16E5","F",201,"WEIGHT_1",2.6,"LENGTH_1",64,"T1",2021-07-29
"477","00186D16E5","F",201,"WEIGHT_2",4.3,"LENGTH_2",76,"T2",2021-08-30
"478","00186D16E5","F",201,"WEIGHT_3",8.1,"LENGTH_3",93,"T3",2021-09-29
"482","00186D16E5","F",201,"WEIGHT_4",14.3,"LENGTH_4",110,"T4",2021-11-04
"479","00186D16E5","F",201,"WEIGHT_5",28.7,"LENGTH_5",135,"T5",2021-12-09
"480","00186D16E5","F",201,"WEIGHT_6",41.9,"LENGTH_6",154,"T6",2022-01-06
"483","00186D16E5","F",201,"WEIGHT_7",80.7,"LENGTH_7",193,"T7",2022-03-30
"487","00186D16E6","M",151,"WEIGHT_1",2.6,"LENGTH_1",60,"T1",2021-07-29
"485","00186D16E6","M",151,"WEIGHT_2",7.5,"LENGTH_2",88,"T2",2021-08-30
"484","00186D16E6","M",151,"WEIGHT_3",22.1,"LENGTH_3",125,"T3",2021-09-29
"488","00186D16E6","M",151,"WEIGHT_4",54.4,"LENGTH_4",165,"T4",2021-11-04
"486","00186D16E6","M",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"489","00186D16E6","M",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"490","00186D16E6","M",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"494","00186D16E7","F",201,"WEIGHT_1",2.4,"LENGTH_1",59,"T1",2021-07-29
"496","00186D16E7","F",201,"WEIGHT_2",5,"LENGTH_2",75,"T2",2021-08-30
"492","00186D16E7","F",201,"WEIGHT_3",NA,"LENGTH_3",79,"T3",2021-09-29
"493","00186D16E7","F",201,"WEIGHT_4",11.6,"LENGTH_4",97,"T4",2021-11-04
"491","00186D16E7","F",201,"WEIGHT_5",20.6,"LENGTH_5",120,"T5",2021-12-09
"495","00186D16E7","F",201,"WEIGHT_6",28.8,"LENGTH_6",130,"T6",2022-01-06
"497","00186D16E7","F",201,"WEIGHT_7",51.2,"LENGTH_7",155,"T7",2022-03-30
"504","00186D16EA","M",201,"WEIGHT_1",2.2,"LENGTH_1",59,"T1",2021-07-29
"501","00186D16EA","M",201,"WEIGHT_2",4.2,"LENGTH_2",73,"T2",2021-08-30
"500","00186D16EA","M",201,"WEIGHT_3",6.3,"LENGTH_3",84,"T3",2021-09-29
"498","00186D16EA","M",201,"WEIGHT_4",14.7,"LENGTH_4",109,"T4",2021-11-04
"503","00186D16EA","M",201,"WEIGHT_5",32.5,"LENGTH_5",141,"T5",2021-12-09
"502","00186D16EA","M",201,"WEIGHT_6",51.3,"LENGTH_6",164,"T6",2022-01-06
"499","00186D16EA","M",201,"WEIGHT_7",106.1,"LENGTH_7",205,"T7",2022-03-30
"511","00186D16EB","M",201,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29
"508","00186D16EB","M",201,"WEIGHT_2",4.4,"LENGTH_2",71,"T2",2021-08-30
"510","00186D16EB","M",201,"WEIGHT_3",7,"LENGTH_3",85,"T3",2021-09-29
"506","00186D16EB","M",201,"WEIGHT_4",15.1,"LENGTH_4",106,"T4",2021-11-04
"505","00186D16EB","M",201,"WEIGHT_5",28,"LENGTH_5",132,"T5",2021-12-09
"507","00186D16EB","M",201,"WEIGHT_6",38.3,"LENGTH_6",150,"T6",2022-01-06
"509","00186D16EB","M",201,"WEIGHT_7",55.6,"LENGTH_7",166,"T7",2022-03-30
"517","00186D16EF","M",152,"WEIGHT_1",1.2,"LENGTH_1",51,"T1",2021-07-29
"518","00186D16EF","M",152,"WEIGHT_2",3.2,"LENGTH_2",67,"T2",2021-08-30
"512","00186D16EF","M",152,"WEIGHT_3",8.3,"LENGTH_3",91,"T3",2021-09-29
"516","00186D16EF","M",152,"WEIGHT_4",15.1,"LENGTH_4",114,"T4",2021-11-04
"513","00186D16EF","M",152,"WEIGHT_5",25.7,"LENGTH_5",136,"T5",2021-12-09
"514","00186D16EF","M",152,"WEIGHT_6",41.5,"LENGTH_6",163,"T6",2022-01-06
"515","00186D16EF","M",152,"WEIGHT_7",141.1,"LENGTH_7",233,"T7",2022-03-30
"524","00186D16F3","F",152,"WEIGHT_1",2.2,"LENGTH_1",58,"T1",2021-07-29
"520","00186D16F3","F",152,"WEIGHT_2",4.1,"LENGTH_2",72,"T2",2021-08-30
"523","00186D16F3","F",152,"WEIGHT_3",10.3,"LENGTH_3",97,"T3",2021-09-29
"519","00186D16F3","F",152,"WEIGHT_4",26.6,"LENGTH_4",131,"T4",2021-11-04
"522","00186D16F3","F",152,"WEIGHT_5",62.3,"LENGTH_5",172,"T5",2021-12-09
"525","00186D16F3","F",152,"WEIGHT_6",96.7,"LENGTH_6",198,"T6",2022-01-06
"521","00186D16F3","F",152,"WEIGHT_7",234.8,"LENGTH_7",260,"T7",2022-03-30
"531","00186D16F5","F",151,"WEIGHT_1",1.8,"LENGTH_1",58,"T1",2021-07-29
"529","00186D16F5","F",151,"WEIGHT_2",5,"LENGTH_2",76,"T2",2021-08-30
"527","00186D16F5","F",151,"WEIGHT_3",11.7,"LENGTH_3",101,"T3",2021-09-29
"526","00186D16F5","F",151,"WEIGHT_4",21.1,"LENGTH_4",119,"T4",2021-11-04
"530","00186D16F5","F",151,"WEIGHT_5",33.3,"LENGTH_5",143,"T5",2021-12-09
"528","00186D16F5","F",151,"WEIGHT_6",47.6,"LENGTH_6",155,"T6",2022-01-06
"532","00186D16F5","F",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"538","00186D16F6","F",151,"WEIGHT_1",1.9,"LENGTH_1",55,"T1",2021-07-29
"533","00186D16F6","F",151,"WEIGHT_2",4.7,"LENGTH_2",75,"T2",2021-08-30
"535","00186D16F6","F",151,"WEIGHT_3",13,"LENGTH_3",104,"T3",2021-09-29
"536","00186D16F6","F",151,"WEIGHT_4",32,"LENGTH_4",136,"T4",2021-11-04
"537","00186D16F6","F",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"534","00186D16F6","F",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"539","00186D16F6","F",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"543","00186D16FA","F",152,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"541","00186D16FA","F",152,"WEIGHT_2",5.4,"LENGTH_2",79,"T2",2021-08-30
"546","00186D16FA","F",152,"WEIGHT_3",13.3,"LENGTH_3",105,"T3",2021-09-29
"544","00186D16FA","F",152,"WEIGHT_4",26.9,"LENGTH_4",132,"T4",2021-11-04
"540","00186D16FA","F",152,"WEIGHT_5",49,"LENGTH_5",160,"T5",2021-12-09
"545","00186D16FA","F",152,"WEIGHT_6",72.5,"LENGTH_6",181,"T6",2022-01-06
"542","00186D16FA","F",152,"WEIGHT_7",169.9,"LENGTH_7",243,"T7",2022-03-30
"550","00186D16FE","M",152,"WEIGHT_1",1.7,"LENGTH_1",55,"T1",2021-07-29
"553","00186D16FE","M",152,"WEIGHT_2",3.3,"LENGTH_2",70,"T2",2021-08-30
"551","00186D16FE","M",152,"WEIGHT_3",8.3,"LENGTH_3",91,"T3",2021-09-29
"547","00186D16FE","M",152,"WEIGHT_4",15.8,"LENGTH_4",114,"T4",2021-11-04
"548","00186D16FE","M",152,"WEIGHT_5",28,"LENGTH_5",135,"T5",2021-12-09
"549","00186D16FE","M",152,"WEIGHT_6",42.9,"LENGTH_6",157,"T6",2022-01-06
"552","00186D16FE","M",152,"WEIGHT_7",130.6,"LENGTH_7",226,"T7",2022-03-30
"554","00186D16FF","F",201,"WEIGHT_1",1.8,"LENGTH_1",57,"T1",2021-07-29
"557","00186D16FF","F",201,"WEIGHT_2",3.9,"LENGTH_2",71,"T2",2021-08-30
"560","00186D16FF","F",201,"WEIGHT_3",7,"LENGTH_3",85,"T3",2021-09-29
"559","00186D16FF","F",201,"WEIGHT_4",16.1,"LENGTH_4",105,"T4",2021-11-04
"558","00186D16FF","F",201,"WEIGHT_5",29.6,"LENGTH_5",129,"T5",2021-12-09
"555","00186D16FF","F",201,"WEIGHT_6",41.6,"LENGTH_6",145,"T6",2022-01-06
"556","00186D16FF","F",201,"WEIGHT_7",101.9,"LENGTH_7",190,"T7",2022-03-30
"561","00186D1703","M",202,"WEIGHT_1",2.1,"LENGTH_1",58,"T1",2021-07-29
"565","00186D1703","M",202,"WEIGHT_2",4.9,"LENGTH_2",74,"T2",2021-08-30
"562","00186D1703","M",202,"WEIGHT_3",3.8,"LENGTH_3",74,"T3",2021-09-29
"567","00186D1703","M",202,"WEIGHT_4",4.8,"LENGTH_4",76,"T4",2021-11-04
"566","00186D1703","M",202,"WEIGHT_5",12.4,"LENGTH_5",105,"T5",2021-12-09
