"","TAGNUMBER","TANK_Real","T1","LENGTH_1","WEIGHT_1","T2","LENGTH_2","WEIGHT_2","T3","LENGTH_3","WEIGHT_3","T4","LENGTH_4","WEIGHT_4","T5","LENGTH_5","WEIGHT_5","T6","LENGTH_6","WEIGHT_6","T7","LENGTH_7","WEIGHT_7","DATE"
"76","00186D167C",151,2021-07-29,55,1.9,2021-08-30,80,5.5,2021-09-29,108,14.5,2021-11-04,133,26.6,2021-12-09,153,39.4,2022-01-06,168,51.3,2022-03-30,218,125.1,2022-03-30
"77","00186D167D",152,2021-07-29,69,3.4,2021-08-30,94,9,2021-09-29,120,19.8,2021-11-04,150,38.8,2021-12-09,178,70.7,2022-01-06,203,101.5,NA,NA,NA,NA
"78","00186D167E",201,2021-07-29,63,2.8,2021-08-30,81,6.1,2021-09-29,100,11.6,2021-11-04,127,25,2021-12-09,160,48.2,2022-01-06,175,64,2022-03-30,215,116.1,2022-03-30
"79","00186D167F",151,2021-07-29,62,2.2,2021-08-30,85,5.9,2021-09-29,107,12.9,2021-11-04,136,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","00186D1680",202,2021-07-29,62,2.9,2021-08-30,79,5.9,2021-09-29,77,4.4,2021-11-04,82,10,2021-12-09,96,10.7,2022-01-06,110,16.6,2022-03-30,140,36.9,2022-03-30
"81","00186D1681",201,2021-07-29,69,3.6,2021-08-30,80,6,2021-09-29,94,9.5,2021-11-04,112,17.1,2021-12-09,140,31.2,2022-01-06,152,41.5,2022-03-30,176,67.2,2022-03-30
"82","00186D1682",152,2021-07-29,56,1.8,2021-08-30,73,4.1,2021-09-29,101,11.1,2021-11-04,134,26,2021-12-09,165,49.6,2022-01-06,184,64.5,2022-03-30,251,172.9,2022-03-30
"83","00186D1683",152,2021-07-29,51,1.4,2021-08-30,71,3.8,2021-09-29,91,8.2,2021-11-04,112,14.7,2021-12-09,130,22.9,2022-01-06,147,32.7,2022-03-30,216,102.5,2022-03-30
"84","00186D1684",202,2021-07-29,53,1.5,2021-08-30,80,6.3,2021-09-29,63,2.3,2021-11-04,70,3.8,2021-12-09,78,4.8,2022-01-06,79,4.9,2022-03-30,90,6.7,2022-03-30
"85","00186D1684",202,2021-07-29,53,1.5,2021-08-30,63,2.6,2021-09-29,63,2.3,2021-11-04,70,3.8,2021-12-09,78,4.8,2022-01-06,79,4.9,2022-03-30,90,6.7,2022-03-30
"86","00186D1685",201,2021-07-29,56,1.9,2021-08-30,72,4.1,2021-09-29,79,5.5,2021-11-04,105,12.5,2021-12-09,128,22.2,2022-01-06,142,32.3,2022-03-30,165,49.9,2022-03-30
"87","00186D1686",202,2021-07-29,54,1.7,2021-08-30,73,5,2021-09-29,84,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","00186D1687",202,2021-07-29,57,1.8,2021-08-30,67,3.2,2021-09-29,81,5.9,2021-11-04,101,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","00186D1687",202,2021-07-29,57,1.8,2021-08-30,67,3.2,2021-09-29,81,5.9,2021-11-04,105,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","00186D1688",151,2021-07-29,59,2.2,2021-08-30,75,4.1,2021-09-29,99,9.9,2021-11-04,122,25.5,2021-12-09,153,42.8,2022-01-06,184,70.9,2022-03-30,240,182.3,2022-03-30
"91","00186D1689",202,2021-07-29,58,2.2,2021-08-30,73,4.6,2021-09-29,86,7.6,2021-11-04,116,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","00186D1689",202,2021-07-29,58,2.2,2021-08-30,73,4.6,2021-09-29,86,7.6,2021-11-04,110,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","00186D168A",202,2021-07-29,53,1.6,2021-08-30,65,3.1,2021-09-29,71,4,2021-11-04,98,10.7,2021-12-09,129,24.4,2022-01-06,154,39.5,2022-03-30,203,98.7,2022-03-30
"94","00186D168B",152,2021-07-29,58,2.1,2021-08-30,78,5,2021-09-29,98,10.5,2021-11-04,120,18.2,2021-12-09,145,32.4,2022-01-06,169,50.6,2022-03-30,238,140.1,2022-03-30
"95","00186D168C",151,2021-07-29,66,3.1,2021-08-30,91,7.8,2021-09-29,124,20.4,2021-11-04,158,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","00186D168D",201,2021-07-29,62,2.7,2021-08-30,83,6.5,2021-09-29,96,9.9,2021-11-04,1222,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","00186D168D",201,2021-07-29,62,2.7,2021-08-30,83,6.5,2021-09-29,96,9.9,2021-11-04,121,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","00186D168E",151,2021-07-29,64,2.8,2021-08-30,88,7.3,2021-09-29,112,15.9,2021-11-04,146,35.6,2021-12-09,181,67.6,2022-01-06,211,106.8,NA,NA,NA,NA
"99","00186D168F",152,2021-07-29,57,1.9,2021-08-30,71,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","00186D1690",151,2021-07-29,57,2,2021-08-30,77,5.1,2021-09-29,107,13.8,2021-11-04,130,24.1,2021-12-09,160,45.4,2022-01-06,188,76.2,2022-03-30,255,209.6,2022-03-30
"101","00186D1691",152,2021-07-29,63,2.8,2021-08-30,84,6.3,2021-09-29,112,15.2,2021-11-04,141,31.7,2021-12-09,171,58,2022-01-06,190,76.7,2022-03-30,248,162.2,2022-03-30
"102","00186D1692",151,2021-07-29,60,2.6,2021-08-30,78,5.5,2021-09-29,105,12.9,2021-11-04,123,20.9,NA,NA,NA,NA,NA,NA,2022-03-30,251,192.5,2022-03-30
"103","00186D1693",201,2021-07-29,60,2.3,2021-08-30,76,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","00186D1694",202,2021-07-29,63,2.8,2021-08-30,88,7.8,2021-09-29,112,15.9,2021-11-04,140,33.1,2021-12-09,164,56.4,2022-01-06,181,78.6,NA,NA,NA,NA
"105","00186D1695",151,2021-07-29,57,2,2021-08-30,75,4.4,2021-09-29,96,9.4,2021-11-04,114,15.5,2021-12-09,138,26.6,2022-01-06,159,46,2022-03-30,222,124.9,2022-03-30
"106","00186D1696",201,2021-07-29,54,1.6,2021-08-30,71,3.9,2021-09-29,79,5.3,2021-11-04,95,9.9,2021-12-09,115,16.3,2022-01-06,130,25.4,2022-03-30,155,42.8,2022-03-30
"107","00186D1697",151,2021-07-29,62,2.8,2021-08-30,85,6.6,2021-09-29,114,17.6,2021-11-04,148,37.8,2021-12-09,180,70,2022-01-06,208,103.3,2022-03-30,270,231,2022-03-30
"108","00186D1698",152,2021-07-29,53,1.6,2021-08-30,70,3.7,2021-09-29,104,12.1,2021-11-04,150,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","00186D1699",152,2021-07-29,57,2.1,2021-08-30,73,4.3,2021-09-29,100,11.2,2021-11-04,130,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","00186D1699",152,2021-07-29,57,2.1,2021-08-30,73,4.3,2021-09-29,100,11.2,2021-11-04,129,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","00186D169A",152,2021-07-29,54,1.6,2021-08-30,73,4,2021-09-29,100,11,2021-11-04,131,25.2,2021-12-09,153,41.9,2022-01-06,171,62.7,2022-03-30,250,164.7,2022-03-30
"112","00186D169B",151,2021-07-29,55,1.8,2021-08-30,80,5.5,2021-09-29,110,14.3,2021-11-04,132,26.1,2021-12-09,152,60.9,2022-01-06,189,81.2,2022-03-30,265,232.5,2022-03-30
"113","00186D169C",152,2021-07-29,57,2,2021-08-30,76,5,2021-09-29,107,14.1,2021-11-04,135,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","00186D169C",152,2021-07-29,57,2,2021-08-30,76,5,2021-09-29,107,14.1,2021-11-04,138,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","00186D169D",151,2021-07-29,51,1.5,2021-08-30,76,5,2021-09-29,96,10.7,2021-11-04,121,20.5,2021-12-09,147,37.1,2022-01-06,117,57.2,2022-03-30,245,170,2022-03-30
"116","00186D169E",152,2021-07-29,61,2.5,2021-08-30,85,7.2,2021-09-29,118,18.1,2021-11-04,154,40.6,2021-12-09,190,79.3,2022-01-06,216,116.7,2022-03-30,275,256.7,2022-03-30
"117","00186D169F",151,2021-07-29,65,3,2021-08-30,87,6.7,2021-09-29,114,15.6,2021-11-04,139,30.4,2021-12-09,166,50.4,2022-01-06,187,73,NA,NA,NA,NA
"118","00186D16A0",201,2021-07-29,61,2.4,2021-08-30,76,5.4,2021-09-29,98,10.3,2021-11-04,118,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","00186D16A0",201,2021-07-29,61,2.4,2021-08-30,76,5.4,2021-09-29,98,10.3,2021-11-04,117,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","00186D16A1",202,2021-07-29,66,3.3,2021-08-30,84,7,2021-09-29,83,5.4,2021-11-04,82,5.2,2021-12-09,96,10.6,2022-01-06,116,17.7,2022-03-30,268,56.5,2022-03-30
"121","00186D16A2",151,2021-07-29,60,2.4,2021-08-30,79,5.1,2021-09-29,110,15,2021-11-04,145,36.7,2021-12-09,181,69.7,2022-01-06,209,104.4,2022-03-30,275,233.4,2022-03-30
"122","00186D16A3",152,2021-07-29,58,2.1,2021-08-30,80,5.5,2021-09-29,110,13.7,2021-11-04,144,32.2,2021-12-09,180,64.1,2022-01-06,208,98.9,2022-03-30,275,245.6,2022-03-30
"123","00186D16A4",151,2021-07-29,70,4.2,2021-08-30,98,10.7,2021-09-29,135,27.2,2021-11-04,172,63.1,2021-12-09,213,114.6,2022-01-06,244,167,2022-03-30,300,313.6,2022-03-30
"124","00186D16A5",202,2021-07-29,55,1.5,2021-08-30,64,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","00186D16A6",152,2021-07-29,62,2.6,2021-08-30,79,4.5,2021-09-29,100,10.3,2021-11-04,124,21.5,2021-12-09,149,37.2,2022-01-06,167,52.7,2022-03-30,227,124.5,2022-03-30
"126","00186D16A7",201,2021-07-29,63,2.7,2021-08-30,85,7.3,2021-09-29,108,14.1,2021-11-04,135,30.2,2021-12-09,161,53.7,2022-01-06,171,61.7,2022-03-30,210,119.2,2022-03-30
"127","00186D16A8",151,2021-07-29,60,2.2,2021-08-30,79,5,2021-09-29,101,11.5,2021-11-04,120,18.2,2021-12-09,145,31.3,2022-01-06,173,58.2,2022-03-30,233,131.4,2022-03-30
"128","00186D16A9",201,2021-07-29,58,2,2021-08-30,70,3.6,2021-09-29,90,8,2021-11-04,115,17.4,2021-12-09,140,34.3,2022-01-06,151,43.1,2022-03-30,185,76,2022-03-30
"129","00186D16AA",152,2021-07-29,69,3.4,2021-08-30,100,10,2021-09-29,133,23.9,2021-11-04,170,52.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","00186D16AA",152,2021-07-29,69,3.4,2021-08-30,100,10,2021-09-29,133,23.9,2021-11-04,166,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","00186D16AB",151,2021-07-29,66,3.4,2021-08-30,95,9.7,2021-09-29,129,24.2,2021-11-04,165,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","00186D16AB",151,2021-07-29,66,3.4,2021-08-30,95,9.7,2021-09-29,129,24.2,2021-11-04,166,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","00186D16AC",201,2021-07-29,55,1.8,2021-08-30,65,2.8,2021-09-29,65,2.9,2021-11-04,146,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","00186D16AD",151,2021-07-29,57,2.2,2021-08-30,80,5.9,2021-09-29,105,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","00186D16AE",152,2021-07-29,55,1.6,2021-08-30,75,4.8,2021-09-29,110,16.7,2021-11-04,150,44,2021-12-09,185,85.4,2022-01-06,206,113.5,2022-03-30,272,267.7,2022-03-30
