Temp,Replicate,Time,ID,Weight,GSA,OLD_GSA,total_filament_length_mm,GSA_length,Lamallae Density,Lamallae Area,Filament_count,Filament_count_over_ln_weight,GSA_over_g,Second_filament_posterior_length,Length_ratio,Ln_weight,Ln_GSA,LN_filament_length,RMR,MMR,SRMR,SMMR,ln_SRMR,ln_SMMR
20,1,0,38,6.7,2445,2445,681,3.58815366,47.18,0.038022991,477,250.7744664,364.8873789,104.029,0.152683396,1.902107526,7.801696281,6.524058512,1.213872861,5.579296083,2014.004528,438.1816993,7.607880322,6.082633663
20,1,0,40,6.8,3053,3053,747,4.086746476,44.03,0.046404443,480,250.4013448,448.9182826,116.855,0.156440354,1.916922612,8.023763485,6.616014314,1.534381574,5.400102631,1989.494904,565.2937601,7.595636068,6.337345525
20,2,0,41,6.6,2681,2681,733,3.660317846,46.07,0.039729061,460,243.7641876,406.2742063,111.521,0.152234214,1.887069649,7.894097966,6.596547979,1.033903334,4.526706182,2593.482073,592.3533921,7.860756681,6.384103403
20,2,0,43,4.9,1422,1422,655,2.169629587,44.17,0.024561659,451,283.7842999,290.1764449,95.299,0.145417175,1.589235205,7.259724374,6.485167918,0.918883658,3.984722493,1547.382596,356.8290095,7.344320135,5.877256702
20,2,0,44,5.2,1670,1670,632,2.643714299,43.55,0.030354724,436,264.457416,321.2112873,101.578,0.160775562,1.648658626,7.420757748,6.448572888,1.050785517,4.039604889,1589.571484,413.4807091,7.371219752,6.024610861
20,1,6,111,94.1,34441,34441,2465,13.97275278,38.88,0.179695373,556,122.3495143,366.0035633,339.116,0.137580004,4.544358047,10.44700112,7.809891913,12.55085622,63.28021564,2744.110417,544.2607133,7.917212228,6.299428385
20,1,6,112,118.4,39415,39415,2723,14.47277305,38.05,0.190165993,569,119.1855487,332.8972496,427.307,0.156902495,4.774068722,10.5819026,7.909633441,10.33894196,55.73719423,3812.288966,707.1585661,8.245985066,6.561254921
20,1,6,113,96.1,30175,30175,2510,12.02180905,39.17,0.153441173,588,128.7951496,314.0007705,364.548,0.145234717,4.565389316,10.31478476,7.828062335,12.86586032,53.81806765,2345.391081,560.6941194,7.760207439,6.329175515
20,2,6,115,161.2,55062,55062,2881,19.11408724,40.23,0.237589649,601,118.2455005,341.5773949,424.647,0.147410176,5.08264583,10.91622012,7.9657945,15.70678754,73.44325902,3505.635759,749.7253906,8.162127169,6.619706994
20,2,6,117,108.1,39761,39761,2418,16.4464769,38.26,0.214941671,522,111.4656582,367.8142735,332.826,0.137668903,4.683056725,10.59063484,7.79052356,9.29645003,57.88876656,4276.979151,686.8469536,8.361002234,6.532111492
20,2,6,120,116.6,36156,36156,2756,13.12130622,38.40,0.170836995,617,129.6559168,310.0838113,411.888,0.149478443,4.758749274,10.49559189,7.921354556,12.66870211,41.64046525,2853.944476,868.2845444,7.956457343,6.766519477
