"","TAGNUMBER","TANK_Real","condition1","ConditionFactor","condition3","Date","condition4","Days_in_Exp"
"69","00186D1643",152,"K6",1.13010713996797,"T5",NA,"Day_in_Exp_T5",NA
"70","00186D1643",152,"K7",NA,"T6",NA,"Day_in_Exp_T6",NA
"71","00186D1644",152,"K1",0.96168294515402,"T7",NA,"Day_in_Exp_T7",NA
"72","00186D1644",152,"K2",1.06171646023732,"T8",NA,"Day_in_Exp_T8",NA
"73","00186D1644",152,"K3",1.04089854745347,"T1",2021-07-29,"Day_in_Exp_T1",0
"74","00186D1644",152,"K4",1.12128,"T2",2021-08-30,"Day_in_Exp_T2",20
"75","00186D1644",152,"K5",1.13080544013248,"T3",2021-09-29,"Day_in_Exp_T3",62
"76","00186D1644",152,"K6",1.18297376093294,"T4",2021-11-04,"Day_in_Exp_T4",98
"77","00186D1644",152,"K7",NA,"T5",2021-12-09,"Day_in_Exp_T5",133
"78","00186D1645",202,"K1",0.9918212890625,"T6",2022-01-06,"Day_in_Exp_T6",161
"79","00186D1645",202,"K2",1.29835673197966,"T7",NA,"Day_in_Exp_T7",NA
"80","00186D1645",202,"K3",0.990478825763769,"T8",NA,"Day_in_Exp_T8",NA
"81","00186D1645",202,"K4",1.20758362516604,"T1",2021-07-29,"Day_in_Exp_T1",0
"82","00186D1645",202,"K5",1.17205108940646,"T2",2021-08-30,"Day_in_Exp_T2",20
"83","00186D1645",202,"K6",1.17371888969282,"T3",2021-09-29,"Day_in_Exp_T3",62
"84","00186D1645",202,"K7",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"85","00186D1646",201,"K1",1.05598543468366,"T5",2021-12-09,"Day_in_Exp_T5",133
"86","00186D1646",201,"K2",1.23329609262779,"T6",2022-01-06,"Day_in_Exp_T6",161
"87","00186D1646",201,"K3",1.15288628472222,"T7",NA,"Day_in_Exp_T7",NA
"88","00186D1646",201,"K4",1.1901043807019,"T8",2022-03-30,"Day_in_Exp_T8",244
"89","00186D1646",201,"K5",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"90","00186D1646",201,"K6",NA,"T2",2021-08-30,"Day_in_Exp_T2",20
"91","00186D1646",201,"K7",NA,"T3",2021-09-29,"Day_in_Exp_T3",62
"92","00186D1647",202,"K1",0.971958983330903,"T4",2021-11-04,"Day_in_Exp_T4",98
"93","00186D1647",202,"K2",1.06541982107035,"T5",2021-12-09,"Day_in_Exp_T5",133
"94","00186D1647",202,"K3",1.04789327890363,"T6",2022-01-06,"Day_in_Exp_T6",161
"95","00186D1647",202,"K4",1.18868308569102,"T7",NA,"Day_in_Exp_T7",NA
"96","00186D1647",202,"K5",1.05790566681839,"T8",2022-03-30,"Day_in_Exp_T8",244
"97","00186D1647",202,"K6",1.10193119849112,"T1",2021-07-29,"Day_in_Exp_T1",0
"98","00186D1647",202,"K7",NA,"T2",2021-08-30,"Day_in_Exp_T2",20
"99","00186D1648",202,"K1",1.06481481481481,"T3",2021-09-29,"Day_in_Exp_T3",62
"100","00186D1648",202,"K2",1.13702623906706,"T4",2021-11-04,"Day_in_Exp_T4",98
"101","00186D1648",202,"K3",0.951115246891524,"T5",NA,"Day_in_Exp_T5",NA
"102","00186D1648",202,"K4",1.16635077999708,"T6",NA,"Day_in_Exp_T6",NA
"103","00186D1648",202,"K5",NA,"T7",NA,"Day_in_Exp_T7",NA
"104","00186D1648",202,"K6",NA,"T8",NA,"Day_in_Exp_T8",NA
"105","00186D1648",202,"K7",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"106","00186D1649",151,"K1",1.07961184778743,"T2",2021-08-30,"Day_in_Exp_T2",20
"107","00186D1649",151,"K2",1.02949841522957,"T3",2021-09-29,"Day_in_Exp_T3",62
"108","00186D1649",151,"K3",1.18679470486111,"T4",2021-11-04,"Day_in_Exp_T4",98
"109","00186D1649",151,"K4",1.02505227766616,"T5",2021-12-09,"Day_in_Exp_T5",133
"110","00186D1649",151,"K5",1.0972094306813,"T6",2022-01-06,"Day_in_Exp_T6",161
"111","00186D1649",151,"K6",1.20618546416526,"T7",NA,"Day_in_Exp_T7",NA
"112","00186D1649",151,"K7",NA,"T8",NA,"Day_in_Exp_T8",NA
"113","00186D164A",201,"K1",1.068115234375,"T1",2021-07-29,"Day_in_Exp_T1",0
"114","00186D164A",201,"K2",1.10857505584637,"T2",2021-08-30,"Day_in_Exp_T2",20
"115","00186D164A",201,"K3",1.1143505021056,"T3",2021-09-29,"Day_in_Exp_T3",62
"116","00186D164A",201,"K4",1.18272,"T4",2021-11-04,"Day_in_Exp_T4",98
"117","00186D164A",201,"K5",NA,"T5",NA,"Day_in_Exp_T5",NA
"118","00186D164A",201,"K6",NA,"T6",NA,"Day_in_Exp_T6",NA
"119","00186D164A",201,"K7",NA,"T7",NA,"Day_in_Exp_T7",NA
"120","00186D164B",201,"K1",1.05598543468366,"T8",NA,"Day_in_Exp_T8",NA
"121","00186D164B",201,"K2",1.17392937640871,"T1",2021-07-29,"Day_in_Exp_T1",0
"122","00186D164B",201,"K3",1.14890400604686,"T2",2021-08-30,"Day_in_Exp_T2",20
"123","00186D164B",201,"K4",1.24928,"T3",2021-09-29,"Day_in_Exp_T3",62
"124","00186D164B",201,"K5",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"125","00186D164B",201,"K6",NA,"T5",2021-12-09,"Day_in_Exp_T5",133
"126","00186D164B",201,"K7",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"127","00186D164C",151,"K1",1.08190597667638,"T7",NA,"Day_in_Exp_T7",NA
"128","00186D164C",151,"K2",1.00956645634032,"T8",2022-03-30,"Day_in_Exp_T8",244
"129","00186D164C",151,"K3",1.10193119849112,"T1",2021-07-29,"Day_in_Exp_T1",0
"130","00186D164C",151,"K4",1.19664787561601,"T2",2021-08-30,"Day_in_Exp_T2",20
"131","00186D164C",151,"K5",1.16965426024678,"T3",2021-09-29,"Day_in_Exp_T3",62
"132","00186D164C",151,"K6",1.13716468526139,"T4",2021-11-04,"Day_in_Exp_T4",98
"133","00186D164C",151,"K7",NA,"T5",NA,"Day_in_Exp_T5",NA
"134","00186D164D",152,"K1",1.12755750543278,"T6",NA,"Day_in_Exp_T6",NA
"135","00186D164D",152,"K2",1.09375,"T7",NA,"Day_in_Exp_T7",NA
"136","00186D164D",152,"K3",1.18363192149174,"T8",NA,"Day_in_Exp_T8",NA
"137","00186D164D",152,"K4",1.23045190193951,"T1",2021-07-29,"Day_in_Exp_T1",0
"138","00186D164D",152,"K5",1.18408203125,"T2",2021-08-30,"Day_in_Exp_T2",20
"139","00186D164D",152,"K6",1.13340192043896,"T3",2021-09-29,"Day_in_Exp_T3",62
"140","00186D164D",152,"K7",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"141","00186D164E",151,"K1",1.08190597667638,"T5",NA,"Day_in_Exp_T5",NA
"142","00186D164E",151,"K2",1.1328125,"T6",NA,"Day_in_Exp_T6",NA
"143","00186D164E",151,"K3",1.25033726202463,"T7",NA,"Day_in_Exp_T7",NA
"144","00186D164E",151,"K4",1.41622797489031,"T8",NA,"Day_in_Exp_T8",NA
"145","00186D164E",151,"K5",1.34225760281658,"T1",2021-07-29,"Day_in_Exp_T1",0
"146","00186D164E",151,"K6",1.28301349881276,"T2",2021-08-30,"Day_in_Exp_T2",20
"147","00186D164E",151,"K7",NA,"T3",2021-09-29,"Day_in_Exp_T3",62
"148","00186D164F",151,"K1",1.02496355685131,"T4",2021-11-04,"Day_in_Exp_T4",98
"149","00186D164F",151,"K2",1.00759419362894,"T5",2021-12-09,"Day_in_Exp_T5",133
"150","00186D164F",151,"K3",1.06156432484966,"T6",2022-01-06,"Day_in_Exp_T6",161
"151","00186D164F",151,"K4",1.06349173807864,"T7",NA,"Day_in_Exp_T7",NA
"152","00186D164F",151,"K5",1.03809153826973,"T8",2022-03-30,"Day_in_Exp_T8",244
"153","00186D164F",151,"K6",1.05419610858809,"T1",2021-07-29,"Day_in_Exp_T1",0
"154","00186D164F",151,"K7",1.14383860159938,"T2",2021-08-30,"Day_in_Exp_T2",20
"155","00186D1650",151,"K1",1.00754313963876,"T3",2021-09-29,"Day_in_Exp_T3",62
"156","00186D1650",151,"K2",0.983158852981338,"T4",2021-11-04,"Day_in_Exp_T4",98
"157","00186D1650",151,"K3",1.09224660942538,"T5",2021-12-09,"Day_in_Exp_T5",133
"158","00186D1650",151,"K4",1.11141089957744,"T6",2022-01-06,"Day_in_Exp_T6",161
"159","00186D1650",151,"K5",1.09885604165812,"T7",NA,"Day_in_Exp_T7",NA
"160","00186D1650",151,"K6",1.06712302061454,"T8",2022-03-30,"Day_in_Exp_T8",244
"161","00186D1650",151,"K7",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"162","00186D1651",202,"K1",1.10626220703125,"T2",2021-08-30,"Day_in_Exp_T2",20
"163","00186D1651",202,"K2",1.1398330958681,"T3",2021-09-29,"Day_in_Exp_T3",62
"164","00186D1651",202,"K3",1.11945905334335,"T4",2021-11-04,"Day_in_Exp_T4",98
"165","00186D1651",202,"K4",1.14616674287456,"T5",2021-12-09,"Day_in_Exp_T5",133
"166","00186D1651",202,"K5",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"167","00186D1651",202,"K6",NA,"T7",NA,"Day_in_Exp_T7",NA
"168","00186D1651",202,"K7",NA,"T8",2022-03-30,"Day_in_Exp_T8",244
"169","00186D1652",201,"K1",1.00754313963876,"T1",2021-07-29,"Day_in_Exp_T1",0
"170","00186D1652",201,"K2",1.068115234375,"T2",2021-08-30,"Day_in_Exp_T2",20
"171","00186D1652",201,"K3",NA,"T3",2021-09-29,"Day_in_Exp_T3",62
"172","00186D1652",201,"K4",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"173","00186D1652",201,"K5",NA,"T5",2021-12-09,"Day_in_Exp_T5",133
"174","00186D1652",201,"K6",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"175","00186D1652",201,"K7",NA,"T7",2022-02-04,"Day_in_Exp_T7",190
"176","00186D1653",201,"K1",1.12881201638598,"T8",NA,"Day_in_Exp_T8",NA
"177","00186D1653",201,"K2",1.06908825637994,"T1",2021-07-29,"Day_in_Exp_T1",0
"178","00186D1653",201,"K3",NA,"T2",2021-08-30,"Day_in_Exp_T2",20
"179","00186D1653",201,"K4",NA,"T3",2021-09-29,"Day_in_Exp_T3",62
"180","00186D1653",201,"K5",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"181","00186D1653",201,"K6",NA,"T5",2021-12-09,"Day_in_Exp_T5",133
"182","00186D1653",201,"K7",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"183","00186D1654",152,"K1",1.17485146520761,"T7",NA,"Day_in_Exp_T7",NA
"184","00186D1654",152,"K2",1.15925525920361,"T8",2022-03-30,"Day_in_Exp_T8",244
"185","00186D1654",152,"K3",1.13813973191027,"T1",2021-07-29,"Day_in_Exp_T1",0
"186","00186D1654",152,"K4",1.14905511466468,"T2",2021-08-30,"Day_in_Exp_T2",20
"187","00186D1654",152,"K5",1.13168724279835,"T3",2021-09-29,"Day_in_Exp_T3",62
"188","00186D1654",152,"K6",1.07895907305637,"T4",2021-11-04,"Day_in_Exp_T4",98
"189","00186D1654",152,"K7",NA,"T5",NA,"Day_in_Exp_T5",NA
"190","00186D1655",202,"K1",1.03377655338897,"T6",NA,"Day_in_Exp_T6",NA
"191","00186D1655",202,"K2",1.13854595336077,"T7",NA,"Day_in_Exp_T7",NA
"192","00186D1655",202,"K3",1.0748513305124,"T8",NA,"Day_in_Exp_T8",NA
"193","00186D1655",202,"K4",1.1705532693187,"T1",2021-07-29,"Day_in_Exp_T1",0
"194","00186D1655",202,"K5",1.21198083454307,"T2",2021-08-30,"Day_in_Exp_T2",20
"195","00186D1655",202,"K6",1.1157980846813,"T3",NA,"Day_in_Exp_T3",NA
"196","00186D1655",202,"K7",NA,"T4",NA,"Day_in_Exp_T4",NA
"197","00186D1656",202,"K1",1.07995442592323,"T5",NA,"Day_in_Exp_T5",NA
"198","00186D1656",202,"K2",1.13581278560114,"T6",NA,"Day_in_Exp_T6",NA
"199","00186D1656",202,"K3",1.15468727219711,"T7",NA,"Day_in_Exp_T7",NA
"200","00186D1656",202,"K4",1.20650918693858,"T8",NA,"Day_in_Exp_T8",NA
"201","00186D1656",202,"K5",1.2451171875,"T1",2021-07-29,"Day_in_Exp_T1",0
"202","00186D1656",202,"K6",1.28086419753086,"T2",2021-08-25,"Day_in_Exp_T2",20
"203","00186D1656",202,"K7",1.35774965639468,"T3",NA,"Day_in_Exp_T3",NA
"204","00186D1657",152,"K1",1.09586038738665,"T4",NA,"Day_in_Exp_T4",NA
"205","00186D1657",152,"K2",1.11726391057779,"T5",NA,"Day_in_Exp_T5",NA
"206","00186D1657",152,"K3",NA,"T6",NA,"Day_in_Exp_T6",NA
"207","00186D1657",152,"K4",NA,"T7",NA,"Day_in_Exp_T7",NA
"208","00186D1657",152,"K5",NA,"T8",NA,"Day_in_Exp_T8",NA
"209","00186D1657",152,"K6",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"210","00186D1657",152,"K7",NA,"T2",2021-08-30,"Day_in_Exp_T2",20
"211","00186D1658",152,"K1",0.973799663782853,"T3",2021-09-29,"Day_in_Exp_T3",62
"212","00186D1658",152,"K2",1.00252688185863,"T4",2021-11-04,"Day_in_Exp_T4",98
"213","00186D1658",152,"K3",NA,"T5",2021-12-09,"Day_in_Exp_T5",133
"214","00186D1658",152,"K4",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"215","00186D1658",152,"K5",NA,"T7",NA,"Day_in_Exp_T7",NA
"216","00186D1658",152,"K6",NA,"T8",2022-03-30,"Day_in_Exp_T8",244
"217","00186D1658",152,"K7",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"218","00186D1659",202,"K1",1.13395214721939,"T2",2021-08-30,"Day_in_Exp_T2",20
"219","00186D1659",202,"K2",1.07330685843083,"T3",2021-09-29,"Day_in_Exp_T3",62
"220","00186D1659",202,"K3",0.911211546872722,"T4",2021-11-04,"Day_in_Exp_T4",98
"221","00186D1659",202,"K4",1.22124974557297,"T5",2021-12-09,"Day_in_Exp_T5",133
"222","00186D1659",202,"K5",1.26736111111111,"T6",2022-01-06,"Day_in_Exp_T6",161
"223","00186D1659",202,"K6",1.27398673326358,"T7",NA,"Day_in_Exp_T7",NA
"224","00186D1659",202,"K7",1.60093294460641,"T8",2022-03-30,"Day_in_Exp_T8",244
"225","00186D165A",152,"K1",1.13884839650146,"T1",2021-07-29,"Day_in_Exp_T1",0
"226","00186D165A",152,"K2",1.09375,"T2",2021-08-30,"Day_in_Exp_T2",20
"227","00186D165A",152,"K3",1.18053274056558,"T3",2021-09-29,"Day_in_Exp_T3",62
"228","00186D165A",152,"K4",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"229","00186D165A",152,"K5",NA,"T5",2021-12-09,"Day_in_Exp_T5",133
"230","00186D165A",152,"K6",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"231","00186D165A",152,"K7",NA,"T7",2022-02-04,"Day_in_Exp_T7",190
"232","00186D165B",202,"K1",1.14188222492393,"T8",NA,"Day_in_Exp_T8",NA
"233","00186D165B",202,"K2",1.15978196099133,"T1",2021-07-29,"Day_in_Exp_T1",0
"234","00186D165B",202,"K3",1.06666666666667,"T2",2021-08-24,"Day_in_Exp_T2",20
"235","00186D165B",202,"K4",1.14890400604686,"T3",NA,"Day_in_Exp_T3",NA
"236","00186D165B",202,"K5",1.22976880346495,"T4",NA,"Day_in_Exp_T4",NA
"237","00186D165B",202,"K6",NA,"T5",NA,"Day_in_Exp_T5",NA
"238","00186D165B",202,"K7",NA,"T6",NA,"Day_in_Exp_T6",NA
"239","00186D165C",201,"K1",1.18794986851555,"T7",NA,"Day_in_Exp_T7",NA
"240","00186D165C",201,"K2",1.25729580817578,"T8",NA,"Day_in_Exp_T8",NA
"241","00186D165C",201,"K3",1.20327761081893,"T1",2021-07-29,"Day_in_Exp_T1",0
"242","00186D165C",201,"K4",1.36333315480161,"T2",2021-08-24,"Day_in_Exp_T2",20
"243","00186D165C",201,"K5",1.34955541788662,"T3",NA,"Day_in_Exp_T3",NA
"244","00186D165C",201,"K6",1.43673223006424,"T4",NA,"Day_in_Exp_T4",NA
"245","00186D165C",201,"K7",NA,"T5",NA,"Day_in_Exp_T5",NA
"246","00186D165E",201,"K1",1.07630489154947,"T6",NA,"Day_in_Exp_T6",NA
"247","00186D165E",201,"K2",1.11759627393402,"T7",NA,"Day_in_Exp_T7",NA
"248","00186D165E",201,"K3",1.11328125,"T8",NA,"Day_in_Exp_T8",NA
"249","00186D165E",201,"K4",1.28943758573388,"T1",2021-07-29,"Day_in_Exp_T1",0
"250","00186D165E",201,"K5",NA,"T2",2021-08-30,"Day_in_Exp_T2",20
"251","00186D165E",201,"K6",NA,"T3",2021-09-29,"Day_in_Exp_T3",62
"252","00186D165E",201,"K7",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"253","00186D165F",201,"K1",1.09093350340707,"T5",2021-12-09,"Day_in_Exp_T5",133
"254","00186D165F",201,"K2",1.1542759803913,"T6",2022-01-06,"Day_in_Exp_T6",161
"255","00186D165F",201,"K3",1.05184072126221,"T7",2022-02-04,"Day_in_Exp_T7",190
"256","00186D165F",201,"K4",1.22610401536021,"T8",NA,"Day_in_Exp_T8",NA
"257","00186D165F",201,"K5",1.49169921875,"T1",2021-07-29,"Day_in_Exp_T1",0
"258","00186D165F",201,"K6",1.24344645054704,"T2",2021-08-30,"Day_in_Exp_T2",20
"259","00186D165F",201,"K7",1.34163142381135,"T3",2021-09-29,"Day_in_Exp_T3",62
"260","00186D1660",201,"K1",1.19977444240483,"T4",NA,"Day_in_Exp_T4",NA
"261","00186D1660",201,"K2",1.11623414491908,"T5",NA,"Day_in_Exp_T5",NA
"262","00186D1660",201,"K3",NA,"T6",NA,"Day_in_Exp_T6",NA
"263","00186D1660",201,"K4",NA,"T7",NA,"Day_in_Exp_T7",NA
"264","00186D1660",201,"K5",NA,"T8",NA,"Day_in_Exp_T8",NA
"265","00186D1660",201,"K6",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"266","00186D1660",201,"K7",NA,"T2",2021-08-30,"Day_in_Exp_T2",20
"267","00186D1661",202,"K1",1.03980451675085,"T3",2021-09-29,"Day_in_Exp_T3",62
"268","00186D1661",202,"K2",1.15898784537838,"T4",2021-11-04,"Day_in_Exp_T4",98
"269","00186D1661",202,"K3",1.19341563786008,"T5",2021-12-09,"Day_in_Exp_T5",133
"270","00186D1661",202,"K4",1.11966604608854,"T6",NA,"Day_in_Exp_T6",NA
"271","00186D1661",202,"K5",1.05744241480718,"T7",NA,"Day_in_Exp_T7",NA
"272","00186D1661",202,"K6",1.05123899516919,"T8",NA,"Day_in_Exp_T8",NA
"273","00186D1661",202,"K7",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"274","00186D1662",201,"K1",1.02505227766616,"T2",2021-08-30,"Day_in_Exp_T2",20
"275","00186D1662",201,"K2",1.16618075801749,"T3",2021-09-29,"Day_in_Exp_T3",62
"276","00186D1662",201,"K3",0.962099125364431,"T4",2021-11-04,"Day_in_Exp_T4",98
"277","00186D1662",201,"K4",1.02511299023181,"T5",2021-12-09,"Day_in_Exp_T5",133
"278","00186D1662",201,"K5",1.20593219180041,"T6",2022-01-06,"Day_in_Exp_T6",161
"279","00186D1662",201,"K6",1.11137959045038,"T7",NA,"Day_in_Exp_T7",NA
"280","00186D1662",201,"K7",NA,"T8",2022-03-30,"Day_in_Exp_T8",244
"281","00186D1663",202,"K1",1.0667956304051,"T1",2021-07-29,"Day_in_Exp_T1",0
"282","00186D1663",202,"K2",1.12881201638598,"T2",2021-08-30,"Day_in_Exp_T2",20
