Metric,Temp,Replicate,Chamber,time_month,weight_g,MR_mass_specific,Metric_absolute,ID
MMR,15,2,2,0 month,5.5,678.2593125,3.730426219,
MMR,15,2,3,0 month,4.8,805.5369175,3.866577204,
MMR,15,2,4,0 month,6.5,618.0142342,4.017092522,
MMR,15,2,5,0 month,8.2,688.9714419,5.649565823,
MMR,15,2,6,0 month,5,844.9605836,4.224802918,
MMR,15,2,7,0 month,7.4,496.9098864,3.677133159,
MMR,15,2,8,0 month,8.3,711.8086431,5.908011738,
MMR,15,1,1,3 month,25.9,547.51797,14.18071542,
MMR,15,1,2,3 month,32.5,397.5526927,12.92046251,
MMR,15,1,3,3 month,23.7,538.3642371,12.75923242,
MMR,15,1,4,3 month,40,463.0085846,18.52034339,
MMR,15,1,5,3 month,20.9,447.3101365,9.348781853,
MMR,15,1,6,3 month,49.8,355.3907435,17.69845903,
MMR,15,1,7,3 month,31.2,465.41854,14.52105845,
MMR,15,1,8,3 month,37.6,465.7682632,17.51288669,
MMR,15,2,1,3 month,47.7,,,
MMR,15,2,2,3 month,35.9,1010.523381,36.27778937,
MMR,15,2,3,3 month,41.5,424.0637621,17.59864613,
MMR,15,2,4,3 month,22.7,740.2335008,16.80330047,
MMR,15,2,5,3 month,44.2,364.9141172,16.12920398,
MMR,15,2,6,3 month,25.2,437.7314102,11.03083154,
MMR,15,2,7,3 month,33.4,412.7311928,13.78522184,
MMR,15,2,8,3 month,41.8,396.5877836,16.57736935,
MMR,15,1,1,6 month,204.9,608.8997113,124.7635508,
MMR,15,1,2,6 month,117.5,967.6376096,113.6974191,
MMR,15,1,3,6 month,209.8,615.6823301,129.1701529,
MMR,15,1,4,6 month,159.9,638.0158495,102.0187343,
MMR,15,1,5,6 month,207.2,468.9560974,97.16770339,
MMR,15,1,6,6 month,140.2,649.4450336,91.0521937,
MMR,15,2,1,6 month,172.2,586.2235376,100.9476932,
MMR,15,2,2,6 month,122.2,501.0440799,61.22758656,
MMR,15,2,3,6 month,95.3,765.2834518,72.93151296,
MMR,15,2,4,6 month,124,534.3461414,66.25892154,
MMR,15,2,5,6 month,221,548.7068656,121.2642173,
MMR,15,2,6,6 month,176.8,747.1086237,132.0888047,
MMR,20,1,1,0 month,6,,,
MMR,20,1,2,0 month,7,685.8508636,4.800956045,
MMR,20,1,3,0 month,6.3,534.1652271,3.365240931,
MMR,20,1,4,0 month,3.8,862.786039,3.278586948,
MMR,20,1,5,0 month,4.6,764.5883018,3.517106188,
MMR,20,1,6,0 month,6.7,832.7307587,5.579296083,
MMR,20,1,7,0 month,4.9,622.4729241,3.050117328,
MMR,20,1,8,0 month,6.8,794.1327399,5.400102631,
MMR,20,2,1,0 month,6.6,685.864573,4.526706182,
MMR,20,2,2,0 month,4.1,806.863239,3.30813928,
MMR,20,2,3,0 month,4.9,813.208672,3.984722493,
MMR,20,2,4,0 month,5.2,776.847094,4.039604889,
MMR,20,2,5,0 month,5.3,1057.0344,5.60228232,
MMR,20,2,6,0 month,5.9,550.265894,3.246568775,
MMR,20,2,7,0 month,7,335.936824,2.351557768,
MMR,20,2,8,0 month,8.7,665.429817,5.789239408,
MMR,20,1,1,3 month,17.4,526.8838079,9.167778257,
MMR,20,1,2,3 month,26.7,585.8432689,15.64201528,
MMR,20,1,3,3 month,32.3,428.6205279,13.84444305,
MMR,20,1,4,3 month,22.4,432.6873378,9.692196367,
MMR,20,1,5,3 month,38.6,480.8865485,18.56222077,
MMR,20,1,6,3 month,20,530.2090918,10.60418184,
MMR,20,1,7,3 month,15.2,504.7864271,7.672753692,
MMR,20,1,8,3 month,21.7,451.9629507,9.807596029,
MMR,20,2,1,3 month,18.4,535.9300858,9.861113578,
MMR,20,2,2,3 month,26.8,447.5814218,11.9951821,
MMR,20,2,3,3 month,16.4,554.9711128,9.10152625,
MMR,20,2,4,3 month,27.7,449.6077231,12.45413393,
MMR,20,2,5,3 month,28.5,422.0628168,12.02879028,
MMR,20,2,6,3 month,16.9,474.8457564,8.024893284,
MMR,20,2,7,3 month,26.8,430.4160934,11.5351513,
MMR,20,2,8,3 month,10.8,622.1114689,6.718803864,
MMR,20,1,1,6 month,96.3,312.0803996,30.05334248,
MMR,20,1,2,6 month,104.4,674.3695889,70.40418509,
MMR,20,1,3,6 month,94.1,672.4783808,63.28021564,
MMR,20,1,4,6 month,118.4,470.7533296,55.73719423,
MMR,20,1,5,6 month,96.1,560.0215156,53.81806765,
MMR,20,1,6,6 month,141.3,612.675934,86.57110947,
MMR,20,2,1,6 month,161.2,455.6033438,73.44325902,
MMR,20,2,2,6 month,102.9,474.7033557,48.8469753,
MMR,20,2,3,6 month,108.1,535.511254,57.88876656,
MMR,20,2,4,6 month,113.9,512.7810468,58.40576122,
MMR,20,2,5,6 month,90.5,580.720869,52.55523865,
MMR,20,2,6,6 month,116.6,357.1223435,41.64046525,
GSA,15,1,,3 month,40,,15151,68
GSA,15,1,,3 month,23.7,,9559,67
GSA,15,1,,3 month,20.9,,7255,69
GSA,15,2,,3 month,47.7,,18030,73
GSA,15,2,,3 month,41.5,,16297,75
GSA,15,2,,3 month,25.2,,8680,78
GSA,15,2,,0 month,8.2,,2558,29
GSA,15,2,,0 month,7.4,,2395,31
GSA,15,2,,0 month,8.3,,3190,32
GSA,15,1,,0 month,4.5,,1642,21
GSA,15,1,,0 month,3.6,,1616,22
GSA,15,1,,0 month,5.4,,1881,17
GSA,15,1,,6 month,209.8,,65541,99
GSA,15,1,,6 month,159.9,,46121,100
GSA,15,1,,6 month,140.2,,43985,102
GSA,15,2,,6 month,122.2,,41256,104
GSA,15,2,,6 month,95.3,,35763,105
GSA,15,2,,6 month,221,,79593,107
GSA,20,1,,3 month,26.7,,11101,82
GSA,20,1,,3 month,38.6,,19587,85
GSA,20,1,,3 month,21.7,,9087,88
GSA,20,2,,3 month,26.8,,10806,92
GSA,20,2,,3 month,28.5,,8833,91
GSA,20,2,,3 month,10.8,,5802,96
GSA,20,1,,0 month,6,,2029,33
GSA,20,1,,0 month,6.7,,2445,38
GSA,20,1,,0 month,6.8,,3053,40
GSA,20,2,,0 month,6.6,,2681,41
GSA,20,2,,0 month,4.9,,1422,43
GSA,20,2,,0 month,5.2,,1670,44
GSA,20,1,,6 month,94.1,,34441,111
GSA,20,1,,6 month,118.4,,39415,112
GSA,20,1,,6 month,96.1,,30175,113
GSA,20,2,,6 month,161.2,,55062,115
GSA,20,2,,6 month,108.1,,39761,117
GSA,20,2,,6 month,116.6,,36156,120
