"","TAGNUMBER","TANK_Real","T2minusT1","SGR_1","T3minusT1","SGR_2","T4minusT1","SGR_3","T5minusT1","SGR_4","T6minusT1","SGR_5","T7minusT1","SGR_6"
"1","00186D163A",151,32,1.95333017266976,62,2.42915909096499,98,2.13832858847827,133,2.02719923193904,161,1.9466210036563,244,1.74023732864959
"2","00186D163B",201,32,2.59382177411069,62,1.61024418293345,98,1.47324825011856,133,1.456891919114,161,1.48490134782751,244,1.27050215488711
"3","00186D163C",152,32,2.38832101778064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","00186D163D",201,32,1.8284478966855,62,1.15312484074162,98,1.49606768468771,NA,NA,NA,NA,NA,NA
"5","00186D163D",201,32,1.8284478966855,62,1.15312484074162,98,1.44295844503284,NA,NA,NA,NA,NA,NA
"6","00186D163E",152,32,2.35364768828812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","00186D163F",151,32,3.68087618966881,62,3.40009094868343,98,3.03439541144286,133,2.66621025530009,161,2.36402986348416,NA,NA
"8","00186D1640",202,32,4.07741549665499,62,2.9726009656261,98,2.89359755600371,133,2.65159053312549,161,2.35704529598604,NA,NA
"9","00186D1641",202,32,2.27059746944409,62,1.3025170192974,98,1.57284842378522,NA,NA,NA,NA,NA,NA
"10","00186D1641",202,32,2.27059746944409,62,1.3025170192974,98,1.59563118420758,NA,NA,NA,NA,NA,NA
"11","00186D1642",202,32,2.1300403039735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","00186D1643",152,32,3.01972362892933,62,2.94462902399051,98,2.51936240540453,133,2.37015854729157,161,2.20676401709445,NA,NA
"13","00186D1644",152,32,2.73998262362902,62,2.91471549410447,98,2.70584125462798,133,2.47437157376909,161,2.31169389514627,244,1.86590740516601
"14","00186D1645",202,32,3.09702111500663,62,1.43771811146356,98,1.28653511942485,133,1.35630303072138,161,1.10279670120081,244,1.13575314598136
"15","00186D1646",201,32,2.6989411841974,62,2.04922537874768,98,1.87458853987541,NA,NA,NA,NA,NA,NA
"16","00186D1646",201,32,2.6989411841974,62,2.04922537874768,98,1.88613972039609,NA,NA,NA,NA,NA,NA
"17","00186D1647",202,32,2.09979276832637,62,1.52484707131808,98,1.43891503520679,133,1.43024560964122,161,1.41181283493783,NA,NA
"18","00186D1648",202,32,1.66390190392012,62,0.769759949654514,98,1.51097082230383,NA,NA,NA,NA,NA,NA
"19","00186D1648",202,32,1.66390190392012,62,0.769759949654514,98,1.69131623336207,NA,NA,NA,NA,NA,NA
"20","00186D1649",151,32,3.22895460151202,62,2.9802346469197,98,2.31408365851955,133,2.08361775564665,161,1.9794279007519,244,1.62445707989731
"21","00186D164A",201,32,3.03983412891338,62,2.494488150498,98,2.17662912147112,NA,NA,NA,NA,NA,NA
"22","00186D164A",201,32,3.03983412891338,62,2.494488150498,98,2.11146501871859,NA,NA,NA,NA,NA,NA
"23","00186D164B",201,32,3.2218467166619,62,2.48695905639238,98,2.19712822109794,NA,NA,NA,NA,NA,NA
"24","00186D164C",151,32,3.76507164437967,62,3.61719999635901,98,3.18916983190165,133,2.86644101981937,161,2.57902757580459,244,2.02080509430791
"25","00186D164D",152,32,2.96275796141234,62,3.0881617680681,98,2.64080235572055,133,2.35289790329665,161,2.13597761202602,244,1.78343658570321
"26","00186D164E",151,32,3.54903948781835,62,3.60745555722939,98,3.15012636478709,133,2.80935836318572,161,2.57456434945293,244,2.04997900471309
"27","00186D164F",151,32,2.97550168223879,62,3.05080264563227,98,2.29284583437437,133,2.11448986099114,161,2.04020140226517,NA,NA
"28","00186D1650",151,32,1.8538068771883,62,2.67342650405369,98,2.39123442449694,133,2.3628827178098,161,2.2542622500954,244,1.90221417611247
"29","00186D1651",202,32,2.79201425045448,62,2.67490907797934,98,2.34817743559406,NA,NA,NA,NA,NA,NA
"30","00186D1651",202,32,2.79201425045448,62,2.67490907797934,98,2.29501187707015,NA,NA,NA,NA,NA,NA
"31","00186D1652",201,32,1.96962839859378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","00186D1653",201,32,2.48512864218302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
