"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"195","00186D1655",202,"WEIGHT_6",71.8,"LENGTH_6",186,"T6",2022-01-06
"196","00186D1655",202,"WEIGHT_7",140.2,"LENGTH_7",225,"T7",2022-03-30
"197","00186D1656",202,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"198","00186D1656",202,"WEIGHT_2",5.6,"LENGTH_2",79,"T2",2021-08-30
"199","00186D1656",202,"WEIGHT_3",9.9,"LENGTH_3",95,"T3",2021-09-29
"200","00186D1656",202,"WEIGHT_4",25.9,"LENGTH_4",129,"T4",2021-11-04
"201","00186D1656",202,"WEIGHT_5",51,"LENGTH_5",160,"T5",2021-12-09
"202","00186D1656",202,"WEIGHT_6",74.7,"LENGTH_6",180,"T6",2022-01-06
"203","00186D1656",202,"WEIGHT_7",96.1,"LENGTH_7",192,"T7",2022-02-04
"204","00186D1657",152,"WEIGHT_1",3.6,"LENGTH_1",69,"T1",2021-07-29
"205","00186D1657",152,"WEIGHT_2",8.7,"LENGTH_2",92,"T2",2021-08-24
"206","00186D1657",152,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"207","00186D1657",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"208","00186D1657",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"209","00186D1657",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"210","00186D1657",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"211","00186D1658",152,"WEIGHT_1",1.9,"LENGTH_1",58,"T1",2021-07-29
"212","00186D1658",152,"WEIGHT_2",3.9,"LENGTH_2",73,"T2",2021-08-24
"213","00186D1658",152,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"214","00186D1658",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"215","00186D1658",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"216","00186D1658",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"217","00186D1658",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"218","00186D1659",202,"WEIGHT_1",2.1,"LENGTH_1",57,"T1",2021-07-29
"219","00186D1659",202,"WEIGHT_2",4.9,"LENGTH_2",77,"T2",2021-08-30
"220","00186D1659",202,"WEIGHT_3",4,"LENGTH_3",76,"T3",2021-09-29
"221","00186D1659",202,"WEIGHT_4",7.5,"LENGTH_4",85,"T4",2021-11-04
"222","00186D1659",202,"WEIGHT_5",21.9,"LENGTH_5",120,"T5",2021-12-09
"223","00186D1659",202,"WEIGHT_6",41.3,"LENGTH_6",148,"T6",2022-01-06
"224","00186D1659",202,"WEIGHT_7",85.8,"LENGTH_7",175,"T7",2022-02-04
"225","00186D165A",152,"WEIGHT_1",2,"LENGTH_1",56,"T1",2021-07-29
"226","00186D165A",152,"WEIGHT_2",5.6,"LENGTH_2",80,"T2",2021-08-30
"227","00186D165A",152,"WEIGHT_3",12.9,"LENGTH_3",103,"T3",2021-09-29
"228","00186D165A",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"229","00186D165A",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"230","00186D165A",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"231","00186D165A",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"232","00186D165B",202,"WEIGHT_1",1.7,"LENGTH_1",53,"T1",2021-07-29
"233","00186D165B",202,"WEIGHT_2",2.9,"LENGTH_2",63,"T2",2021-08-30
"234","00186D165B",202,"WEIGHT_3",4.5,"LENGTH_3",75,"T3",2021-09-29
"235","00186D165B",202,"WEIGHT_4",13.3,"LENGTH_4",105,"T4",2021-11-04
"236","00186D165B",202,"WEIGHT_5",24.6,"LENGTH_5",126,"T5",2021-12-09
"237","00186D165B",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"238","00186D165B",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"239","00186D165C",201,"WEIGHT_1",2.2,"LENGTH_1",57,"T1",2021-07-29
"240","00186D165C",201,"WEIGHT_2",4.5,"LENGTH_2",71,"T2",2021-08-30
"241","00186D165C",201,"WEIGHT_3",8.2,"LENGTH_3",88,"T3",2021-09-29
"242","00186D165C",201,"WEIGHT_4",22.4,"LENGTH_4",118,"T4",2021-11-04
"243","00186D165C",201,"WEIGHT_5",42,"LENGTH_5",146,"T5",2021-12-09
"244","00186D165C",201,"WEIGHT_6",55.6,"LENGTH_6",157,"T6",2022-01-06
"245","00186D165C",201,"WEIGHT_7",94.2,"LENGTH_7",193,"T7",2022-03-30
"246","00186D165E",201,"WEIGHT_1",2.1,"LENGTH_1",58,"T1",2021-07-29
"247","00186D165E",201,"WEIGHT_2",4,"LENGTH_2",71,"T2",2021-08-30
"248","00186D165E",201,"WEIGHT_3",5.7,"LENGTH_3",80,"T3",2021-09-29
"249","00186D165E",201,"WEIGHT_4",9.4,"LENGTH_4",90,"T4",2021-11-04
"250","00186D165E",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"251","00186D165E",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"252","00186D165E",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"253","00186D165F",201,"WEIGHT_1",2.6,"LENGTH_1",62,"T1",2021-07-29
"254","00186D165F",201,"WEIGHT_2",6.6,"LENGTH_2",83,"T2",2021-08-30
"255","00186D165F",201,"WEIGHT_3",14,"LENGTH_3",110,"T3",2021-09-29
"256","00186D165F",201,"WEIGHT_4",28.2,"LENGTH_4",132,"T4",2021-11-04
"257","00186D165F",201,"WEIGHT_5",61.1,"LENGTH_5",160,"T5",2021-12-09
"258","00186D165F",201,"WEIGHT_6",92.2,"LENGTH_6",195,"T6",2022-01-06
"259","00186D165F",201,"WEIGHT_7",113.9,"LENGTH_7",204,"T7",2022-02-16
"260","00186D1660",201,"WEIGHT_1",3,"LENGTH_1",63,"T1",2021-07-29
"261","00186D1660",201,"WEIGHT_2",4.9,"LENGTH_2",76,"T2",2021-08-25
"262","00186D1660",201,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"263","00186D1660",201,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"264","00186D1660",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"265","00186D1660",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"266","00186D1660",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"267","00186D1661",202,"WEIGHT_1",2.6,"LENGTH_1",63,"T1",2021-07-29
"268","00186D1661",202,"WEIGHT_2",5.5,"LENGTH_2",78,"T2",2021-08-30
"269","00186D1661",202,"WEIGHT_3",8.7,"LENGTH_3",90,"T3",2021-09-29
"270","00186D1661",202,"WEIGHT_4",14.5,"LENGTH_4",109,"T4",2021-11-04
"271","00186D1661",202,"WEIGHT_5",22.7,"LENGTH_5",129,"T5",2021-12-09
"272","00186D1661",202,"WEIGHT_6",30.1,"LENGTH_6",142,"T6",2022-01-06
"273","00186D1661",202,"WEIGHT_7",65.4,"LENGTH_7",180,"T7",2022-03-30
"274","00186D1662",201,"WEIGHT_1",2,"LENGTH_1",58,"T1",2021-07-29
"275","00186D1662",201,"WEIGHT_2",4,"LENGTH_2",70,"T2",2021-08-30
"276","00186D1662",201,"WEIGHT_3",3.3,"LENGTH_3",70,"T3",2021-09-29
"277","00186D1662",201,"WEIGHT_4",4.5,"LENGTH_4",76,"T4",2021-11-04
"278","00186D1662",201,"WEIGHT_5",9.7,"LENGTH_5",93,"T5",2021-12-09
"279","00186D1662",201,"WEIGHT_6",17.8,"LENGTH_6",117,"T6",2022-01-06
"280","00186D1662",201,"WEIGHT_7",60.6,"LENGTH_7",172,"T7",2022-03-30
"281","00186D1663",202,"WEIGHT_1",1.5,"LENGTH_1",52,"T1",2021-07-29
"282","00186D1663",202,"WEIGHT_2",3.1,"LENGTH_2",65,"T2",2021-08-30
"283","00186D1663",202,"WEIGHT_3",4,"LENGTH_3",71,"T3",2021-09-29
"284","00186D1663",202,"WEIGHT_4",7.3,"LENGTH_4",84,"T4",2021-11-04
"285","00186D1663",202,"WEIGHT_5",12.6,"LENGTH_5",103,"T5",2021-12-09
"286","00186D1663",202,"WEIGHT_6",15.3,"LENGTH_6",112,"T6",2022-01-06
"287","00186D1663",202,"WEIGHT_7",40.3,"LENGTH_7",150,"T7",2022-03-30
"288","00186D1664",151,"WEIGHT_1",1.5,"LENGTH_1",50,"T1",2021-07-29
"289","00186D1664",151,"WEIGHT_2",3.3,"LENGTH_2",68,"T2",2021-08-30
"290","00186D1664",151,"WEIGHT_3",9.2,"LENGTH_3",93,"T3",2021-09-29
"291","00186D1664",151,"WEIGHT_4",18.4,"LENGTH_4",116,"T4",2021-11-04
"292","00186D1664",151,"WEIGHT_5",34.9,"LENGTH_5",141,"T5",2021-12-09
"293","00186D1664",151,"WEIGHT_6",66.8,"LENGTH_6",172,"T6",2022-01-06
"294","00186D1664",151,"WEIGHT_7",178.8,"LENGTH_7",240,"T7",2022-03-30
"295","00186D1665",151,"WEIGHT_1",3,"LENGTH_1",65,"T1",2021-07-29
"296","00186D1665",151,"WEIGHT_2",7.4,"LENGTH_2",89,"T2",2021-08-30
"297","00186D1665",151,"WEIGHT_3",18.8,"LENGTH_3",120,"T3",2021-09-29
"298","00186D1665",151,"WEIGHT_4",37.1,"LENGTH_4",150,"T4",2021-11-04
"299","00186D1665",151,"WEIGHT_5",72.5,"LENGTH_5",185,"T5",2021-12-09
"300","00186D1665",151,"WEIGHT_6",109.3,"LENGTH_6",212,"T6",2022-01-06
