"","TAGNUMBER","TANK_Real","LAST4","condition1","ConditionFactor","condition2","Date"
"192","00186D1655",202,"1655","K3",1.0748513305124,"T3",2021-09-29
"193","00186D1655",202,"1655","K4",1.1705532693187,"T4",2021-11-04
"194","00186D1655",202,"1655","K5",1.21198083454307,"T5",2021-12-09
"195","00186D1655",202,"1655","K6",1.1157980846813,"T6",2022-01-06
"196","00186D1655",202,"1655","K7",1.23083676268861,"T7",2022-03-30
"197","00186D1656",202,"1656","K1",1.07995442592323,"T1",2021-07-29
"198","00186D1656",202,"1656","K2",1.13581278560114,"T2",2021-08-30
"199","00186D1656",202,"1656","K3",1.15468727219711,"T3",2021-09-29
"200","00186D1656",202,"1656","K4",1.20650918693858,"T4",2021-11-04
"201","00186D1656",202,"1656","K5",1.2451171875,"T5",2021-12-09
"202","00186D1656",202,"1656","K6",1.28086419753086,"T6",2022-01-06
"203","00186D1656",202,"1656","K7",1.35774965639468,"T7",2022-02-04
"204","00186D1657",152,"1657","K1",1.09586038738665,"T1",2021-07-29
"205","00186D1657",152,"1657","K2",1.11726391057779,"T2",2021-08-24
"206","00186D1657",152,"1657","K3",NA,"T3",NA
"207","00186D1657",152,"1657","K4",NA,"T4",NA
"208","00186D1657",152,"1657","K5",NA,"T5",NA
"209","00186D1657",152,"1657","K6",NA,"T6",NA
"210","00186D1657",152,"1657","K7",NA,"T7",NA
"211","00186D1658",152,"1658","K1",0.973799663782853,"T1",2021-07-29
"212","00186D1658",152,"1658","K2",1.00252688185863,"T2",2021-08-24
"213","00186D1658",152,"1658","K3",NA,"T3",NA
"214","00186D1658",152,"1658","K4",NA,"T4",NA
"215","00186D1658",152,"1658","K5",NA,"T5",NA
"216","00186D1658",152,"1658","K6",NA,"T6",NA
"217","00186D1658",152,"1658","K7",NA,"T7",NA
"218","00186D1659",202,"1659","K1",1.13395214721939,"T1",2021-07-29
"219","00186D1659",202,"1659","K2",1.07330685843083,"T2",2021-08-30
"220","00186D1659",202,"1659","K3",0.911211546872722,"T3",2021-09-29
"221","00186D1659",202,"1659","K4",1.22124974557297,"T4",2021-11-04
"222","00186D1659",202,"1659","K5",1.26736111111111,"T5",2021-12-09
"223","00186D1659",202,"1659","K6",1.27398673326358,"T6",2022-01-06
"224","00186D1659",202,"1659","K7",1.60093294460641,"T7",2022-02-04
"225","00186D165A",152,"165A","K1",1.13884839650146,"T1",2021-07-29
"226","00186D165A",152,"165A","K2",1.09375,"T2",2021-08-30
"227","00186D165A",152,"165A","K3",1.18053274056558,"T3",2021-09-29
"228","00186D165A",152,"165A","K4",NA,"T4",NA
"229","00186D165A",152,"165A","K5",NA,"T5",NA
"230","00186D165A",152,"165A","K6",NA,"T6",NA
"231","00186D165A",152,"165A","K7",NA,"T7",NA
"232","00186D165B",202,"165B","K1",1.14188222492393,"T1",2021-07-29
"233","00186D165B",202,"165B","K2",1.15978196099133,"T2",2021-08-30
"234","00186D165B",202,"165B","K3",1.06666666666667,"T3",2021-09-29
"235","00186D165B",202,"165B","K4",1.14890400604686,"T4",2021-11-04
"236","00186D165B",202,"165B","K5",1.22976880346495,"T5",2021-12-09
"237","00186D165B",202,"165B","K6",NA,"T6",NA
"238","00186D165B",202,"165B","K7",NA,"T7",NA
"239","00186D165C",201,"165C","K1",1.18794986851555,"T1",2021-07-29
"240","00186D165C",201,"165C","K2",1.25729580817578,"T2",2021-08-30
"241","00186D165C",201,"165C","K3",1.20327761081893,"T3",2021-09-29
"242","00186D165C",201,"165C","K4",1.36333315480161,"T4",2021-11-04
"243","00186D165C",201,"165C","K5",1.34955541788662,"T5",2021-12-09
"244","00186D165C",201,"165C","K6",1.43673223006424,"T6",2022-01-06
"245","00186D165C",201,"165C","K7",1.31032484510834,"T7",2022-03-30
"246","00186D165E",201,"165E","K1",1.07630489154947,"T1",2021-07-29
"247","00186D165E",201,"165E","K2",1.11759627393402,"T2",2021-08-30
"248","00186D165E",201,"165E","K3",1.11328125,"T3",2021-09-29
"249","00186D165E",201,"165E","K4",1.28943758573388,"T4",2021-11-04
"250","00186D165E",201,"165E","K5",NA,"T5",NA
"251","00186D165E",201,"165E","K6",NA,"T6",NA
"252","00186D165E",201,"165E","K7",NA,"T7",NA
"253","00186D165F",201,"165F","K1",1.09093350340707,"T1",2021-07-29
"254","00186D165F",201,"165F","K2",1.1542759803913,"T2",2021-08-30
"255","00186D165F",201,"165F","K3",1.05184072126221,"T3",2021-09-29
"256","00186D165F",201,"165F","K4",1.22610401536021,"T4",2021-11-04
"257","00186D165F",201,"165F","K5",1.49169921875,"T5",2021-12-09
"258","00186D165F",201,"165F","K6",1.24344645054704,"T6",2022-01-06
"259","00186D165F",201,"165F","K7",1.34163142381135,"T7",2022-02-16
"260","00186D1660",201,"1660","K1",1.19977444240483,"T1",2021-07-29
"261","00186D1660",201,"1660","K2",1.11623414491908,"T2",2021-08-25
"262","00186D1660",201,"1660","K3",NA,"T3",NA
"263","00186D1660",201,"1660","K4",NA,"T4",NA
"264","00186D1660",201,"1660","K5",NA,"T5",NA
"265","00186D1660",201,"1660","K6",NA,"T6",NA
"266","00186D1660",201,"1660","K7",NA,"T7",NA
"267","00186D1661",202,"1661","K1",1.03980451675085,"T1",2021-07-29
"268","00186D1661",202,"1661","K2",1.15898784537838,"T2",2021-08-30
"269","00186D1661",202,"1661","K3",1.19341563786008,"T3",2021-09-29
"270","00186D1661",202,"1661","K4",1.11966604608854,"T4",2021-11-04
"271","00186D1661",202,"1661","K5",1.05744241480718,"T5",2021-12-09
"272","00186D1661",202,"1661","K6",1.05123899516919,"T6",2022-01-06
"273","00186D1661",202,"1661","K7",1.12139917695473,"T7",2022-03-30
"274","00186D1662",201,"1662","K1",1.02505227766616,"T1",2021-07-29
"275","00186D1662",201,"1662","K2",1.16618075801749,"T2",2021-08-30
"276","00186D1662",201,"1662","K3",0.962099125364431,"T3",2021-09-29
"277","00186D1662",201,"1662","K4",1.02511299023181,"T4",2021-11-04
"278","00186D1662",201,"1662","K5",1.20593219180041,"T5",2021-12-09
"279","00186D1662",201,"1662","K6",1.11137959045038,"T6",2022-01-06
"280","00186D1662",201,"1662","K7",1.19093287383501,"T7",2022-03-30
"281","00186D1663",202,"1663","K1",1.0667956304051,"T1",2021-07-29
"282","00186D1663",202,"1663","K2",1.12881201638598,"T2",2021-08-30
"283","00186D1663",202,"1663","K3",1.11759627393402,"T3",2021-09-29
"284","00186D1663",202,"1663","K4",1.23164345103121,"T4",2021-11-04
"285","00186D1663",202,"1663","K5",1.15307849078498,"T5",2021-12-09
"286","00186D1663",202,"1663","K6",1.08902377915452,"T6",2022-01-06
"287","00186D1663",202,"1663","K7",1.19407407407407,"T7",2022-03-30
"288","00186D1664",151,"1664","K1",1.2,"T1",2021-07-29
"289","00186D1664",151,"1664","K2",1.04951150010177,"T2",2021-08-30
"290","00186D1664",151,"1664","K3",1.14377073861482,"T3",2021-09-29
"291","00186D1664",151,"1664","K4",1.17881011931609,"T4",2021-11-04
"292","00186D1664",151,"1664","K5",1.24499638094892,"T5",2021-12-09
"293","00186D1664",151,"1664","K6",1.31277749129008,"T6",2022-01-06
"294","00186D1664",151,"1664","K7",1.29340277777778,"T7",2022-03-30
"295","00186D1665",151,"1665","K1",1.09239872553482,"T1",2021-07-29
"296","00186D1665",151,"1665","K2",1.04969154672049,"T2",2021-08-30
"297","00186D1665",151,"1665","K3",1.08796296296296,"T3",2021-09-29
"298","00186D1665",151,"1665","K4",1.09925925925926,"T4",2021-11-04
"299","00186D1665",151,"1665","K5",1.14504570311729,"T5",2021-12-09
"300","00186D1665",151,"1665","K6",1.14712984544288,"T6",2022-01-06
"301","00186D1665",151,"1665","K7",1.09805210816142,"T7",2022-02-04
"302","00186D1666",151,"1666","K1",1.12881201638598,"T1",2021-07-29
"303","00186D1666",151,"1666","K2",1.1522633744856,"T2",2021-08-30
"304","00186D1666",151,"1666","K3",1.19296,"T3",2021-09-29
"305","00186D1666",151,"1666","K4",NA,"T4",NA
"306","00186D1666",151,"1666","K5",NA,"T5",NA
"307","00186D1666",151,"1666","K6",NA,"T6",NA
"308","00186D1666",151,"1666","K7",NA,"T7",NA
"309","00186D1667",152,"1667","K1",1.10141377472123,"T1",2021-07-29
"310","00186D1667",152,"1667","K2",0.976999796458376,"T2",2021-08-30
"311","00186D1667",152,"1667","K3",1.10193119849112,"T3",2021-09-29
"312","00186D1667",152,"1667","K4",1.07917503792693,"T4",2021-11-04
"313","00186D1667",152,"1667","K5",NA,"T5",NA
"314","00186D1667",152,"1667","K6",NA,"T6",NA
"315","00186D1667",152,"1667","K7",NA,"T7",NA
"316","00186D1668",201,"1668","K1",0.904629441165163,"T1",2021-07-29
"317","00186D1668",201,"1668","K2",1.0489745225068,"T2",2021-08-30
"318","00186D1668",201,"1668","K3",1.07871720116618,"T3",2021-09-29
"319","00186D1668",201,"1668","K4",1.18006035165798,"T4",2021-11-04
"320","00186D1668",201,"1668","K5",1.04971570199738,"T5",2021-12-09
"321","00186D1668",201,"1668","K6",NA,"T6",NA
"322","00186D1668",201,"1668","K7",NA,"T7",NA
"323","00186D1669",201,"1669","K1",1.12,"T1",2021-07-29
"324","00186D1669",201,"1669","K2",1.13289248430734,"T2",2021-08-30
"325","00186D1669",201,"1669","K3",0.881131019776986,"T3",2021-09-29
"326","00186D1669",201,"1669","K4",NA,"T4",NA
"327","00186D1669",201,"1669","K5",NA,"T5",NA
"328","00186D1669",201,"1669","K6",NA,"T6",NA
"329","00186D1669",201,"1669","K7",NA,"T7",NA
"330","00186D166A",152,"166A","K1",1.11988080572989,"T1",2021-07-29
"331","00186D166A",152,"166A","K2",1.09037037037037,"T2",2021-08-30
"332","00186D166A",152,"166A","K3",1.1196967487972,"T3",2021-09-29
"333","00186D166A",152,"166A","K4",1.07478817419825,"T4",2021-11-04
"334","00186D166A",152,"166A","K5",1.0752,"T5",2021-12-09
"335","00186D166A",152,"166A","K6",1.12178021643042,"T6",2022-01-06
"336","00186D166A",152,"166A","K7",1.16469853913111,"T7",2022-02-04
"337","00186D166B",201,"166B","K1",0.968021137026239,"T1",2021-07-29
"338","00186D166B",201,"166B","K2",1.06666666666667,"T2",2021-08-30
"339","00186D166B",201,"166B","K3",1.1445811419985,"T3",2021-09-29
"340","00186D166B",201,"166B","K4",1.30188214021534,"T4",2021-11-04
"341","00186D166B",201,"166B","K5",1.26392603427067,"T5",2021-12-09
"342","00186D166B",201,"166B","K6",1.32343936763052,"T6",2022-01-06
"343","00186D166B",201,"166B","K7",1.37821950459228,"T7",2022-02-04
"344","00186D166C",152,"166C","K1",1.08131487889273,"T1",2021-07-29
"345","00186D166C",152,"166C","K2",1.08506944444444,"T2",2021-08-30
"346","00186D166C",152,"166C","K3",1.07765197753906,"T3",2021-09-29
"347","00186D166C",152,"166C","K4",1.03550844941151,"T4",2021-11-04
"348","00186D166C",152,"166C","K5",1.07007563809023,"T5",2021-12-09
"349","00186D166C",152,"166C","K6",1.2436860629916,"T6",2022-01-06
"350","00186D166C",152,"166C","K7",1.1539238425362,"T7",2022-03-30
"351","00186D166D",152,"166D","K1",1.07979699816435,"T1",2021-07-29
"352","00186D166D",152,"166D","K2",1.12061665122864,"T2",2021-08-30
"353","00186D166D",152,"166D","K3",1.22106481481481,"T3",2021-09-29
"354","00186D166D",152,"166D","K4",1.2016602274384,"T4",2021-11-04
"355","00186D166D",152,"166D","K5",1.2887686810258,"T5",2021-12-09
"356","00186D166D",152,"166D","K6",1.25070748487555,"T6",2022-01-06
"357","00186D166D",152,"166D","K7",1.28795601679361,"T7",2022-03-30
"358","00186D166E",202,"166E","K1",1.14547032571008,"T1",2021-07-29
"359","00186D166E",202,"166E","K2",1.17347608763072,"T2",2021-08-30
"360","00186D166E",202,"166E","K3",1.01148030142113,"T3",2021-09-29
"361","00186D166E",202,"166E","K4",1.11625391474964,"T4",2021-11-04
"362","00186D166E",202,"166E","K5",1.05540101469269,"T5",2021-12-09
"363","00186D166E",202,"166E","K6",1.07175145886414,"T6",2022-01-06
"364","00186D166E",202,"166E","K7",1.10222222222222,"T7",2022-03-30
"365","00186D166F",202,"166F","K1",1.15740740740741,"T1",2021-07-29
"366","00186D166F",202,"166F","K2",1.04934180035573,"T2",2021-08-30
"367","00186D166F",202,"166F","K3",1.05653643876784,"T3",2021-09-29
"368","00186D166F",202,"166F","K4",1.11749498906706,"T4",2021-11-04
"369","00186D166F",202,"166F","K5",1.10552253213433,"T5",2021-12-09
"370","00186D166F",202,"166F","K6",1.10432748307109,"T6",2022-01-06
"371","00186D166F",202,"166F","K7",1.07233281583262,"T7",2022-02-04
"372","00186D1670",201,"1670","K1",1.11988080572989,"T1",2021-07-29
"373","00186D1670",201,"1670","K2",1.23259259259259,"T2",2021-08-30
"374","00186D1670",201,"1670","K3",1.24799533459688,"T3",2021-09-29
"375","00186D1670",201,"1670","K4",1.28472222222222,"T4",2021-11-04
"376","00186D1670",201,"1670","K5",1.2215466013859,"T5",2021-12-09
"377","00186D1670",201,"1670","K6",1.40572362078228,"T6",2022-01-06
"378","00186D1670",201,"1670","K7",1.27753928220976,"T7",2022-03-30
"379","00186D1671",201,"1671","K1",1.07995442592323,"T1",2021-07-29
"380","00186D1671",201,"1671","K2",1.18545614659012,"T2",2021-08-30
"381","00186D1671",201,"1671","K3",1.15905647149287,"T3",2021-09-29
"382","00186D1671",201,"1671","K4",1.26088710799455,"T4",2021-11-04
"383","00186D1671",201,"1671","K5",1.20376692122254,"T5",2021-12-09
"384","00186D1671",201,"1671","K6",1.27994598627938,"T6",2022-01-06
"385","00186D1671",201,"1671","K7",1.31204401398179,"T7",2022-03-30
"386","00186D1672",151,"1672","K1",1.0782758716643,"T1",2021-07-29
"387","00186D1672",151,"1672","K2",1.19140625,"T2",2021-08-24
"388","00186D1672",151,"1672","K3",NA,"T3",NA
"389","00186D1672",151,"1672","K4",NA,"T4",NA
"390","00186D1672",151,"1672","K5",NA,"T5",NA
"391","00186D1672",151,"1672","K6",NA,"T6",NA
"392","00186D1672",151,"1672","K7",NA,"T7",NA
"393","00186D1673",151,"1673","K1",1.05540101469269,"T1",2021-07-29
"394","00186D1673",151,"1673","K2",1.05393851682574,"T2",2021-08-30
"395","00186D1673",151,"1673","K3",1.05185764434887,"T3",2021-09-29
"396","00186D1673",151,"1673","K4",1.15716083764203,"T4",2021-11-04
"397","00186D1673",151,"1673","K5",1.05188735119341,"T5",2021-12-09
"398","00186D1673",151,"1673","K6",1.0062349873506,"T6",2022-01-06
