"","TAGNUMBER","SEX","TANK_Real","LAST4","condition1","ConditionFactor","condition2","Date"
"497","00186D16E7","F",201,"16E7","K7",1.37491188614011,"T7",2022-03-30
"504","00186D16EA","M",201,"16EA","K1",1.07119033591555,"T1",2021-07-29
"501","00186D16EA","M",201,"16EA","K2",1.0796443343093,"T2",2021-08-30
"500","00186D16EA","M",201,"16EA","K3",1.06292517006803,"T3",2021-09-29
"498","00186D16EA","M",201,"16EA","K4",1.13510971568976,"T4",2021-11-04
"503","00186D16EA","M",201,"16EA","K5",1.15938058397822,"T5",2021-12-09
"502","00186D16EA","M",201,"16EA","K6",1.16301635205525,"T6",2022-01-06
"499","00186D16EA","M",201,"16EA","K7",1.23155496873232,"T7",2022-03-30
"511","00186D16EB","M",201,"16EB","K1",1.08190597667638,"T1",2021-07-29
"508","00186D16EB","M",201,"16EB","K2",1.22935590132743,"T2",2021-08-30
"510","00186D16EB","M",201,"16EB","K3",1.1398330958681,"T3",2021-09-29
"506","00186D16EB","M",201,"16EB","K4",1.26782511737878,"T4",2021-11-04
"505","00186D16EB","M",201,"16EB","K5",1.21740824220163,"T5",2021-12-09
"507","00186D16EB","M",201,"16EB","K6",1.13481481481481,"T6",2022-01-06
"509","00186D16EB","M",201,"16EB","K7",1.21548758541205,"T7",2022-03-30
"517","00186D16EF","M",152,"16EF","K1",0.904629441165163,"T1",2021-07-29
"518","00186D16EF","M",152,"16EF","K2",1.06396066005459,"T2",2021-08-30
"512","00186D16EF","M",152,"16EF","K3",1.10142242734925,"T3",2021-09-29
"516","00186D16EF","M",152,"16EF","K4",1.01920698946504,"T4",2021-11-04
"513","00186D16EF","M",152,"16EF","K5",1.02168354365968,"T5",2021-12-09
"514","00186D16EF","M",152,"16EF","K6",0.95826424402072,"T6",2022-01-06
"515","00186D16EF","M",152,"16EF","K7",1.11547348291851,"T7",2022-03-30
"524","00186D16F3","F",152,"16F3","K1",1.12755750543278,"T1",2021-07-29
"520","00186D16F3","F",152,"16F3","K2",1.09846536351166,"T2",2021-08-30
"523","00186D16F3","F",152,"16F3","K3",1.12855316197587,"T3",2021-09-29
"519","00186D16F3","F",152,"16F3","K4",1.18322612385353,"T4",2021-11-04
"522","00186D16F3","F",152,"16F3","K5",1.22434188184688,"T5",2021-12-09
"525","00186D16F3","F",152,"16F3","K6",1.24575002138516,"T6",2022-01-06
"521","00186D16F3","F",152,"16F3","K7",1.33591260810196,"T7",2022-03-30
"531","00186D16F5","F",151,"16F5","K1",0.922547049899545,"T1",2021-07-29
"529","00186D16F5","F",151,"16F5","K2",1.1390144335909,"T2",2021-08-30
"527","00186D16F5","F",151,"16F5","K3",1.13559047307534,"T3",2021-09-29
"526","00186D16F5","F",151,"16F5","K4",1.25210736791009,"T4",2021-11-04
"530","00186D16F5","F",151,"16F5","K5",1.13877027173521,"T5",2021-12-09
"528","00186D16F5","F",151,"16F5","K6",1.27823839414588,"T6",2022-01-06
"532","00186D16F5","F",151,"16F5","K7",NA,"T7",NA
"538","00186D16F6","F",151,"16F6","K1",1.1419984973704,"T1",2021-07-29
"533","00186D16F6","F",151,"16F6","K2",1.11407407407407,"T2",2021-08-30
"535","00186D16F6","F",151,"16F6","K3",1.15569526627219,"T3",2021-09-29
"536","00186D16F6","F",151,"16F6","K4",1.27213515163851,"T4",2021-11-04
"537","00186D16F6","F",151,"16F6","K5",NA,"T5",NA
"534","00186D16F6","F",151,"16F6","K6",NA,"T6",NA
"539","00186D16F6","F",151,"16F6","K7",NA,"T7",NA
"543","00186D16FA","F",152,"16FA","K1",1.07995442592323,"T1",2021-07-29
"541","00186D16FA","F",152,"16FA","K2",1.09524804325824,"T2",2021-08-30
"546","00186D16FA","F",152,"16FA","K3",1.14890400604686,"T3",2021-09-29
"544","00186D16FA","F",152,"16FA","K4",1.16958148982942,"T4",2021-11-04
"540","00186D16FA","F",152,"16FA","K5",1.1962890625,"T5",2021-12-09
"545","00186D16FA","F",152,"16FA","K6",1.22265036533636,"T6",2022-01-06
"542","00186D16FA","F",152,"16FA","K7",1.18406231220259,"T7",2022-03-30
"550","00186D16FE","M",152,"16FE","K1",1.02178812922615,"T1",2021-07-29
"553","00186D16FE","M",152,"16FE","K2",0.962099125364431,"T2",2021-08-30
"551","00186D16FE","M",152,"16FE","K3",1.10142242734925,"T3",2021-09-29
"547","00186D16FE","M",152,"16FE","K4",1.06645499559919,"T4",2021-11-04
"548","00186D16FE","M",152,"16FE","K5",1.13803790072652,"T5",2021-12-09
"549","00186D16FE","M",152,"16FE","K6",1.10855778183014,"T6",2022-01-06
"552","00186D16FE","M",152,"16FE","K7",1.13140438991834,"T7",2022-03-30
"554","00186D16FF","F",201,"16FF","K1",0.971958983330903,"T1",2021-07-29
"557","00186D16FF","F",201,"16FF","K2",1.08965636708567,"T2",2021-08-30
"560","00186D16FF","F",201,"16FF","K3",1.1398330958681,"T3",2021-09-29
"559","00186D16FF","F",201,"16FF","K4",1.39077853363568,"T4",2021-11-04
"558","00186D16FF","F",201,"16FF","K5",1.37886764221552,"T5",2021-12-09
"555","00186D16FF","F",201,"16FF","K6",1.36454959202919,"T6",2022-01-06
"556","00186D16FF","F",201,"16FF","K7",1.48563930602129,"T7",2022-03-30
"561","00186D1703","M",202,"1703","K1",1.07630489154947,"T1",2021-07-29
"565","00186D1703","M",202,"1703","K2",1.20920774682645,"T2",2021-08-30
"562","00186D1703","M",202,"1703","K3",0.937752946518469,"T3",2021-09-29
"567","00186D1703","M",202,"1703","K4",1.09345385624727,"T4",2021-11-04
"566","00186D1703","M",202,"1703","K5",1.07115862217903,"T5",2021-12-09
"563","00186D1703","M",202,"1703","K6",0.958859734369938,"T6",2022-01-06
"564","00186D1703","M",202,"1703","K7",1.26777327324391,"T7",2022-03-30
"572","001872939D","F",202,"939D","K1",0.973809396286865,"T1",2021-07-29
"571","001872939D","F",202,"939D","K2",1.08131487889273,"T2",2021-08-30
"569","001872939D","F",202,"939D","K3",1.11623414491908,"T3",2021-09-29
"570","001872939D","F",202,"939D","K4",1.10633914191611,"T4",2021-11-04
"574","001872939D","F",202,"939D","K5",1.10571212612029,"T5",2021-12-09
"573","001872939D","F",202,"939D","K6",1.02996826171875,"T6",2022-01-06
"568","001872939D","F",202,"939D","K7",1.17539026629936,"T7",2022-03-30
"577","00187293A2","F",202,"93A2","K1",1.02505227766616,"T1",2021-07-29
"579","00187293A2","F",202,"93A2","K2",1.23242455418381,"T2",2021-08-30
"580","00187293A2","F",202,"93A2","K3",1.21058523148905,"T3",2021-09-29
"576","00187293A2","F",202,"93A2","K4",1.338728518101,"T4",2021-11-04
"578","00187293A2","F",202,"93A2","K5",1.30208333333333,"T5",2021-12-09
"575","00187293A2","F",202,"93A2","K6",1.26809937509526,"T6",2022-01-06
"581","00187293A2","F",202,"93A2","K7",0.725794745246044,"T7",2022-03-30
"584","00187293A4","M",152,"93A4","K1",1.10626220703125,"T1",2021-07-29
"586","00187293A4","M",152,"93A4","K2",1.17239975575005,"T2",2021-08-30
"585","00187293A4","M",152,"93A4","K3",1.16731960641399,"T3",2021-09-29
"582","00187293A4","M",152,"93A4","K4",1.15057273574546,"T4",2021-11-04
"583","00187293A4","M",152,"93A4","K5",NA,"T5",NA
"587","00187293A4","M",152,"93A4","K6",NA,"T6",NA
"588","00187293A4","M",152,"93A4","K7",NA,"T7",NA
"590","00187293A7","F",152,"93A7","K1",1.1131182576837,"T1",2021-07-29
"592","00187293A7","F",152,"93A7","K2",1.06995884773663,"T2",2021-08-30
"591","00187293A7","F",152,"93A7","K3",1.09614158163265,"T3",2021-09-29
"593","00187293A7","F",152,"93A7","K4",1.07336487833448,"T4",2021-11-04
"594","00187293A7","F",152,"93A7","K5",1.064453125,"T5",2021-12-09
"589","00187293A7","F",152,"93A7","K6",1.06481481481481,"T6",2022-01-06
"595","00187293A7","F",152,"93A7","K7",1.15943642114441,"T7",2022-02-04
"601","00187293A8","M",201,"93A8","K1",1.03071188942789,"T1",2021-07-29
"600","00187293A8","M",201,"93A8","K2",1.18860349361382,"T2",2021-08-30
"598","00187293A8","M",201,"93A8","K3",1.21456332876086,"T3",2021-09-29
"597","00187293A8","M",201,"93A8","K4",1.26991351843423,"T4",2021-11-04
"599","00187293A8","M",201,"93A8","K5",1.13791533909877,"T5",2021-12-09
"602","00187293A8","M",201,"93A8","K6",1.01918915136531,"T6",2022-01-06
"596","00187293A8","M",201,"93A8","K7",1.17881011931609,"T7",2022-02-04
"607","00187293B2","F",152,"93B2","K1",1.02249986610121,"T1",2021-07-29
"608","00187293B2","F",152,"93B2","K2",1.03255280770074,"T2",2021-08-30
"604","00187293B2","F",152,"93B2","K3",1.09309390807457,"T3",2021-09-29
"605","00187293B2","F",152,"93B2","K4",1.13299536942805,"T4",2021-11-04
"606","00187293B2","F",152,"93B2","K5",1.2158203125,"T5",2021-12-09
"609","00187293B2","F",152,"93B2","K6",1.23358342768778,"T6",2022-01-06
"603","00187293B2","F",152,"93B2","K7",1.22855274366571,"T7",2022-02-04
"616","00187293BA","M",152,"93BA","K1",0.962099125364431,"T1",2021-07-29
"610","00187293BA","M",152,"93BA","K2",1.12061665122864,"T2",2021-08-30
"613","00187293BA","M",152,"93BA","K3",1.16757294052933,"T3",2021-09-29
"615","00187293BA","M",152,"93BA","K4",1.21358012787477,"T4",2021-11-04
"611","00187293BA","M",152,"93BA","K5",1.29847645429363,"T5",2021-12-09
"612","00187293BA","M",152,"93BA","K6",1.25578565409335,"T6",2022-01-06
"614","00187293BA","M",152,"93BA","K7",1.32900446490541,"T7",2022-03-30
"618","00187293BC","F",152,"93BC","K1",1.03071188942789,"T1",2021-07-29
"621","00187293BC","F",152,"93BC","K2",1.1196967487972,"T2",2021-08-30
"623","00187293BC","F",152,"93BC","K3",1.14701866181156,"T3",2021-09-29
"622","00187293BC","F",152,"93BC","K4",1.17208470567752,"T4",2021-11-04
"619","00187293BC","F",152,"93BC","K5",1.18815219406935,"T5",2021-12-09
"617","00187293BC","F",152,"93BC","K6",1.23760790588557,"T6",2022-01-06
"620","00187293BC","F",152,"93BC","K7",1.20617323943099,"T7",2022-03-30
"624","00187293C0","F",202,"93C0","K1",1.10787172011662,"T1",2021-07-29
"630","00187293C0","F",202,"93C0","K2",1.19486334536582,"T2",2021-08-30
"626","00187293C0","F",202,"93C0","K3",1.06137920979735,"T3",2021-09-29
"629","00187293C0","F",202,"93C0","K4",1.1403706589036,"T4",2021-11-04
"625","00187293C0","F",202,"93C0","K5",1.11657268549287,"T5",2021-12-09
"627","00187293C0","F",202,"93C0","K6",1.15102456397973,"T6",2022-01-06
"628","00187293C0","F",202,"93C0","K7",1.1975,"T7",2022-03-30
"632","00187293D0","F",202,"93D0","K1",0.987108364756283,"T1",2021-07-29
"634","00187293D0","F",202,"93D0","K2",1.1398330958681,"T2",2021-08-30
"636","00187293D0","F",202,"93D0","K3",0.96169420149012,"T3",2021-09-29
"637","00187293D0","F",202,"93D0","K4",0.976999796458376,"T4",2021-11-04
"635","00187293D0","F",202,"93D0","K5",1.07979699816435,"T5",2021-12-09
"633","00187293D0","F",202,"93D0","K6",1.12268518518519,"T6",2022-01-06
"631","00187293D0","F",202,"93D0","K7",1.16952409851818,"T7",2022-03-30
"638","00187293DC","F",151,"93DC","K1",1.02496355685131,"T1",2021-07-29
"640","00187293DC","F",151,"93DC","K2",1.09521108003145,"T2",2021-08-30
"642","00187293DC","F",151,"93DC","K3",1.09707375013497,"T3",2021-09-29
"643","00187293DC","F",151,"93DC","K4",1.19657077938571,"T4",2021-11-04
"644","00187293DC","F",151,"93DC","K5",1.17435179408308,"T5",2021-12-09
"641","00187293DC","F",151,"93DC","K6",1.21991851876716,"T6",2022-01-06
"639","00187293DC","F",151,"93DC","K7",1.20858493339666,"T7",2022-03-30
"645","00187293ED","F",201,"93ED","K1",1.0489745225068,"T1",2021-07-29
"649","00187293ED","F",201,"93ED","K2",1.07871720116618,"T2",2021-08-30
"646","00187293ED","F",201,"93ED","K3",1.07496567208679,"T3",2021-09-29
"648","00187293ED","F",201,"93ED","K4",1.15428337038377,"T4",2021-11-04
"651","00187293ED","F",201,"93ED","K5",NA,"T5",NA
"647","00187293ED","F",201,"93ED","K6",NA,"T6",NA
"650","00187293ED","F",201,"93ED","K7",NA,"T7",NA
"653","00187293F6","M",151,"93F6","K1",1.01770812131081,"T1",2021-07-29
"656","00187293F6","M",151,"93F6","K2",1.16598079561043,"T2",2021-08-30
"652","00187293F6","M",151,"93F6","K3",1.20373997711819,"T3",2021-09-29
"654","00187293F6","M",151,"93F6","K4",1.21378939948307,"T4",2021-11-04
"658","00187293F6","M",151,"93F6","K5",1.19084947487314,"T5",2021-12-09
"657","00187293F6","M",151,"93F6","K6",1.10390421219828,"T6",2022-01-06
"655","00187293F6","M",151,"93F6","K7",1.15388771692709,"T7",2022-03-30
"660","001872946B","F",202,"946B","K1",1.07119033591555,"T1",2021-07-29
"662","001872946B","F",202,"946B","K2",1.13777777777778,"T2",2021-08-30
"664","001872946B","F",202,"946B","K3",1.23409681844166,"T3",2021-09-29
"659","001872946B","F",202,"946B","K4",1.16599696584526,"T4",2021-11-04
"661","001872946B","F",202,"946B","K5",NA,"T5",NA
"663","001872946B","F",202,"946B","K6",NA,"T6",NA
"665","001872946B","F",202,"946B","K7",NA,"T7",NA
"667","001872946F","F",151,"946F","K1",1.02249986610121,"T1",2021-07-29
"672","001872946F","F",151,"946F","K2",0.987108364756283,"T2",2021-08-30
"671","001872946F","F",151,"946F","K3",1.01998317027769,"T3",2021-09-29
"670","001872946F","F",151,"946F","K4",1.08640476819307,"T4",2021-11-04
"668","001872946F","F",151,"946F","K5",1.05461222852786,"T5",2021-12-09
"669","001872946F","F",151,"946F","K6",1.05281207133059,"T6",2022-01-06
"666","001872946F","F",151,"946F","K7",1.10707449531797,"T7",2022-03-30
"674","001872948A","F",201,"948A","K1",1.12525720164609,"T1",2021-07-29
"679","001872948A","F",201,"948A","K2",1.09636973319726,"T2",2021-08-30
"673","001872948A","F",201,"948A","K3",1.09345385624727,"T3",2021-09-29
"677","001872948A","F",201,"948A","K4",1.17432862994993,"T4",2021-11-04
"675","001872948A","F",201,"948A","K5",1.16838965656502,"T5",2021-12-09
"678","001872948A","F",201,"948A","K6",1.1291530846031,"T6",2022-01-06
"676","001872948A","F",201,"948A","K7",1.21458647255797,"T7",2022-02-04
"683","001872948B","F",201,"948B","K1",1.10626220703125,"T1",2021-07-29
"686","001872948B","F",201,"948B","K2",1.17176501039723,"T2",2021-08-30
"685","001872948B","F",201,"948B","K3",1.13559047307534,"T3",2021-09-29
"684","001872948B","F",201,"948B","K4",1.1215558887915,"T4",2021-11-04
"682","001872948B","F",201,"948B","K5",1.26222222222222,"T5",2021-12-09
"680","001872948B","F",201,"948B","K6",1.18896484375,"T6",2022-01-06
"681","001872948B","F",201,"948B","K7",1.25107827587166,"T7",2022-02-04
"687","001872948D","M",152,"948D","K1",1.0448816872428,"T1",2021-07-29
"692","001872948D","M",152,"948D","K2",1.04012573964497,"T2",2021-08-30
"688","001872948D","M",152,"948D","K3",1.0594954875124,"T3",2021-09-29
"689","001872948D","M",152,"948D","K4",1.1757846784797,"T4",2021-11-04
"690","001872948D","M",152,"948D","K5",1.16518042436515,"T5",2021-12-09
"691","001872948D","M",152,"948D","K6",1.15394098791814,"T6",2022-01-06
"693","001872948D","M",152,"948D","K7",1.24922614575507,"T7",2022-03-30
"694","001872949A","F",201,"949A","K1",0.837074468788137,"T1",2021-07-29
"696","001872949A","F",201,"949A","K2",1.09846536351166,"T2",2021-08-30
"697","001872949A","F",201,"949A","K3",1.07421875,"T3",2021-09-29
"695","001872949A","F",201,"949A","K4",1.17,"T4",2021-11-04
"700","001872949A","F",201,"949A","K5",1.17301940917969,"T5",2021-12-09
"698","001872949A","F",201,"949A","K6",1.16640146831629,"T6",2022-01-06
"699","001872949A","F",201,"949A","K7",1.10857505584637,"T7",2022-03-30
"701","001872949D","M",201,"949D","K1",0.979552412888176,"T1",2021-07-29
"705","001872949D","M",201,"949D","K2",1.07488212789505,"T2",2021-08-30
"702","001872949D","M",201,"949D","K3",1.04823735976186,"T3",2021-09-29
"706","001872949D","M",201,"949D","K4",1.09953703703704,"T4",2021-11-04
"707","001872949D","M",201,"949D","K5",1.06493139942784,"T5",2021-12-09
"703","001872949D","M",201,"949D","K6",1.06410346713326,"T6",2022-01-06
"704","001872949D","M",201,"949D","K7",1.17751352878936,"T7",2022-03-30
"708","001872949E","F",202,"949E","K1",1.00252688185863,"T1",2021-07-29
"710","001872949E","F",202,"949E","K2",1.17392937640871,"T2",2021-08-30
"712","001872949E","F",202,"949E","K3",1.03660511823777,"T3",2021-09-29
"709","001872949E","F",202,"949E","K4",1.07288360595703,"T4",2021-11-04
"713","001872949E","F",202,"949E","K5",NA,"T5",NA
"714","001872949E","F",202,"949E","K6",NA,"T6",NA
"711","001872949E","F",202,"949E","K7",NA,"T7",NA
"721","00187294A1","F",152,"94A1","K1",1.10787172011662,"T1",2021-07-29
"717","00187294A1","F",152,"94A1","K2",1.1196967487972,"T2",2021-08-30
"715","00187294A1","F",152,"94A1","K3",1.14176,"T3",2021-09-29
"718","00187294A1","F",152,"94A1","K4",1.14175755093279,"T4",2021-11-04
"720","00187294A1","F",152,"94A1","K5",1.19752712254459,"T5",2021-12-09
"716","00187294A1","F",152,"94A1","K6",1.11532889733666,"T6",2022-01-06
"719","00187294A1","F",152,"94A1","K7",1.12361210932515,"T7",2022-03-30
"722","00187294A9","F",152,"94A9","K1",1.20852839405658,"T1",2021-07-29
"723","00187294A9","F",152,"94A9","K2",1.16598079561043,"T2",2021-08-30
"727","00187294A9","F",152,"94A9","K3",1.13635441270769,"T3",2021-09-29
"725","00187294A9","F",152,"94A9","K4",1.22002510683246,"T4",2021-11-04
"728","00187294A9","F",152,"94A9","K5",1.22794818058678,"T5",2021-12-09
"726","00187294A9","F",152,"94A9","K6",1.16718797606791,"T6",2022-01-06
"724","00187294A9","F",152,"94A9","K7",1.18601751814343,"T7",2022-03-30
"735","00187294B5","F",151,"94B5","K1",0.952598689224203,"T1",2021-07-29
"733","00187294B5","F",151,"94B5","K2",0.92229798493792,"T2",2021-08-30
"734","00187294B5","F",151,"94B5","K3",1.00956645634032,"T3",2021-09-29
"729","00187294B5","F",151,"94B5","K4",0.965562175487147,"T4",2021-11-04
"730","00187294B5","F",151,"94B5","K5",1.01740545955422,"T5",2021-12-09
"731","00187294B5","F",151,"94B5","K6",1.01792269409904,"T6",2022-01-06
"732","00187294B5","F",151,"94B5","K7",1.04177301753947,"T7",2022-03-30
"737","00187294B8","M",202,"94B8","K1",1.28279883381924,"T1",2021-07-29
"736","00187294B8","M",202,"94B8","K2",1.19341563786008,"T2",2021-08-30
"739","00187294B8","M",202,"94B8","K3",1.15569526627219,"T3",2021-09-29
"742","00187294B8","M",202,"94B8","K4",1.16960659259508,"T4",2021-11-04
"740","00187294B8","M",202,"94B8","K5",1.22350239862233,"T5",2021-12-09
"738","00187294B8","M",202,"94B8","K6",1.23144161511404,"T6",2022-01-06
"741","00187294B8","M",202,"94B8","K7",1.28495842781557,"T7",2022-03-30
"746","00187294B9","F",151,"94B9","K1",1.04951150010177,"T1",2021-07-29
"747","00187294B9","F",151,"94B9","K2",1.05336637025671,"T2",2021-08-30
"745","00187294B9","F",151,"94B9","K3",1.12298887809092,"T3",2021-09-29
"749","00187294B9","F",151,"94B9","K4",1.08091709810679,"T4",2021-11-04
"744","00187294B9","F",151,"94B9","K5",1.15108565552353,"T5",2021-12-09
"743","00187294B9","F",151,"94B9","K6",1.11206997084548,"T6",2022-01-06
"748","00187294B9","F",151,"94B9","K7",1.1104,"T7",2022-03-30
"752","00187294BD","F",201,"94BD","K1",1.07630489154947,"T1",2021-07-29
"755","00187294BD","F",201,"94BD","K2",1.16370697193471,"T2",2021-08-30
"751","00187294BD","F",201,"94BD","K3",1.09521108003145,"T3",2021-09-29
"754","00187294BD","F",201,"94BD","K4",1.19486334536582,"T4",2021-11-04
"750","00187294BD","F",201,"94BD","K5",1.13010602449248,"T5",2021-12-09
"753","00187294BD","F",201,"94BD","K6",1.36763961226852,"T6",2022-01-06
"756","00187294BD","F",201,"94BD","K7",1.17205108940646,"T7",2022-03-30
"757","00187294BF","F",201,"94BF","K1",1.08190597667638,"T1",2021-07-29
"758","00187294BF","F",201,"94BF","K2",1.16179472226272,"T2",2021-08-30
"761","00187294BF","F",201,"94BF","K3",1.201341303397,"T3",2021-09-29
"762","00187294BF","F",201,"94BF","K4",1.408,"T4",2021-11-04
"760","00187294BF","F",201,"94BF","K5",NA,"T5",NA
"763","00187294BF","F",201,"94BF","K6",NA,"T6",NA
"759","00187294BF","F",201,"94BF","K7",NA,"T7",NA
"766","00187294C1","F",202,"94C1","K1",1.04956268221574,"T1",2021-07-29
"769","00187294C1","F",202,"94C1","K2",1.18868308569102,"T2",2021-08-30
"770","00187294C1","F",202,"94C1","K3",1.10142242734925,"T3",2021-09-29
"768","00187294C1","F",202,"94C1","K4",0.989374544460642,"T4",2021-11-04
"765","00187294C1","F",202,"94C1","K5",1.13702623906706,"T5",2021-12-09
"767","00187294C1","F",202,"94C1","K6",1.13274920264622,"T6",2022-01-06
"764","00187294C1","F",202,"94C1","K7",1.33784256559767,"T7",2022-03-30
"777","00187294C4","M",152,"94C4","K1",0.973799663782853,"T1",2021-07-29
"776","00187294C4","M",152,"94C4","K2",1.07871720116618,"T2",2021-08-30
"773","00187294C4","M",152,"94C4","K3",1.10142242734925,"T3",2021-09-29
"771","00187294C4","M",152,"94C4","K4",1.11136513742824,"T4",2021-11-04
"772","00187294C4","M",152,"94C4","K5",1.1106053709604,"T5",2021-12-09
"774","00187294C4","M",152,"94C4","K6",0.987108364756283,"T6",2022-01-06
"775","00187294C4","M",152,"94C4","K7",1.11232344321884,"T7",2022-02-04
"782","00187294D3","M",152,"94D3","K1",1.09586038738665,"T1",2021-07-29
"780","00187294D3","M",152,"94D3","K2",1.11969409475742,"T2",2021-08-30
"783","00187294D3","M",152,"94D3","K3",1.11307309228792,"T3",2021-09-29
"784","00187294D3","M",152,"94D3","K4",1.12641567187022,"T4",2021-11-04
"778","00187294D3","M",152,"94D3","K5",1.22158446154416,"T5",2021-12-09
"781","00187294D3","M",152,"94D3","K6",1.1712547742493,"T6",2022-01-06
"779","00187294D3","M",152,"94D3","K7",1.21858214768953,"T7",2022-03-30
"790","00187294D8","F",152,"94D8","K1",1.00754313963876,"T1",2021-07-29
"789","00187294D8","F",152,"94D8","K2",1.04951150010177,"T2",2021-08-30
"786","00187294D8","F",152,"94D8","K3",1.08357493041041,"T3",2021-09-29
"791","00187294D8","F",152,"94D8","K4",1.02169781339734,"T4",2021-11-04
"785","00187294D8","F",152,"94D8","K5",1.15555555555556,"T5",2021-12-09
"787","00187294D8","F",152,"94D8","K6",1.09157968274842,"T6",2022-01-06
"788","00187294D8","F",152,"94D8","K7",1.12254148102917,"T7",2022-02-09
"794","00187294DB","F",152,"94DB","K1",1.02505227766616,"T1",2021-07-29
"793","00187294DB","F",152,"94DB","K2",0.991253644314869,"T2",2021-08-30
"792","00187294DB","F",152,"94DB","K3",1.07304271759732,"T3",2021-09-29
"798","00187294DB","F",152,"94DB","K4",1.1137944970031,"T4",2021-11-04
"797","00187294DB","F",152,"94DB","K5",1.08600583090379,"T5",2021-12-09
"795","00187294DB","F",152,"94DB","K6",1.064453125,"T6",2022-01-06
"796","00187294DB","F",152,"94DB","K7",1.14123287653055,"T7",2022-02-04
"804","00187294DD","F",202,"94DD","K1",0.951115246891524,"T1",2021-07-29
"799","00187294DD","F",202,"94DD","K2",1.0562414266118,"T2",2021-08-30
"803","00187294DD","F",202,"94DD","K3",0.960219478737997,"T3",2021-09-29
"801","00187294DD","F",202,"94DD","K4",0.972951184876941,"T4",2021-11-04
"805","00187294DD","F",202,"94DD","K5",1.04472649890182,"T5",2021-12-09
"800","00187294DD","F",202,"94DD","K6",1.08273448759205,"T6",2022-01-06
"802","00187294DD","F",202,"94DD","K7",1.1086978030809,"T7",2022-03-30
"812","00187294ED","M",151,"94ED","K1",1.10498176780083,"T1",2021-07-29
"810","00187294ED","M",151,"94ED","K2",1.0972094306813,"T2",2021-08-30
"811","00187294ED","M",151,"94ED","K3",1.03507167871375,"T3",2021-09-29
"809","00187294ED","M",151,"94ED","K4",1.05295556527515,"T4",2021-11-04
"807","00187294ED","M",151,"94ED","K5",NA,"T5",NA
"806","00187294ED","M",151,"94ED","K6",NA,"T6",NA
"808","00187294ED","M",151,"94ED","K7",NA,"T7",NA
"813","00187294F3","M",152,"94F3","K1",1.10626220703125,"T1",2021-07-29
"815","00187294F3","M",152,"94F3","K2",1.1304124824533,"T2",2021-08-30
"816","00187294F3","M",152,"94F3","K3",1.15959038910984,"T3",2021-09-29
"818","00187294F3","M",152,"94F3","K4",1.20245684588599,"T4",2021-11-04
"814","00187294F3","M",152,"94F3","K5",NA,"T5",NA
"819","00187294F3","M",152,"94F3","K6",NA,"T6",NA
"817","00187294F3","M",152,"94F3","K7",NA,"T7",NA
"821","00187294F9","F",201,"94F9","K1",1.03497925475406,"T1",2021-07-29
"824","00187294F9","F",201,"94F9","K2",1.07496567208679,"T2",2021-08-30
"820","00187294F9","F",201,"94F9","K3",1.08,"T3",2021-09-29
"826","00187294F9","F",201,"94F9","K4",1.1264,"T4",2021-11-04
"823","00187294F9","F",201,"94F9","K5",1.23795777248162,"T5",2021-12-09
"825","00187294F9","F",201,"94F9","K6",1.22233964509472,"T6",2022-01-06
"822","00187294F9","F",201,"94F9","K7",1.14566461505237,"T7",2022-03-30
"833","00187294FC","F",202,"94FC","K1",0.9918212890625,"T1",2021-07-29
"830","00187294FC","F",202,"94FC","K2",1.06666666666667,"T2",2021-08-30
"832","00187294FC","F",202,"94FC","K3",0.962430655637376,"T3",2021-09-29
"831","00187294FC","F",202,"94FC","K4",1.033792312938,"T4",2021-11-04
"828","00187294FC","F",202,"94FC","K5",1.09561465185941,"T5",2021-12-09
"827","00187294FC","F",202,"94FC","K6",1.11669364643296,"T6",2022-01-06
"829","00187294FC","F",202,"94FC","K7",1.1106053709604,"T7",2022-03-30
"836","001872950C","M",201,"950C","K1",1.08190597667638,"T1",2021-07-29
"840","001872950C","M",201,"950C","K2",1.13702623906706,"T2",2021-08-30
"839","001872950C","M",201,"950C","K3",0.962099125364431,"T3",2021-09-29
"835","001872950C","M",201,"950C","K4",1.26953125,"T4",2021-11-04
"834","001872950C","M",201,"950C","K5",1.20210368144252,"T5",2021-12-09
"837","001872950C","M",201,"950C","K6",1.20306863791089,"T6",2022-01-06
"838","001872950C","M",201,"950C","K7",1.17217797701197,"T7",2022-03-30
"846","001872951B","F",152,"951B","K1",0.965056560706253,"T1",2021-07-29
"844","001872951B","F",152,"951B","K2",0.978471740042639,"T2",2021-08-30
"843","001872951B","F",152,"951B","K3",0.984774862325883,"T3",2021-09-29
"845","001872951B","F",152,"951B","K4",0.960058251846138,"T4",2021-11-04
"847","001872951B","F",152,"951B","K5",1.02966664159906,"T5",2021-12-09
"841","001872951B","F",152,"951B","K6",1.05498059196902,"T6",2022-01-06
"842","001872951B","F",152,"951B","K7",1.06747857221373,"T7",2022-03-30
