"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days"
"92","00186D1649",151,"SGR_2",2.9802346469197,"T3minusT1",62
"93","00186D1649",151,"SGR_3",2.31408365851955,"T4minusT1",98
"94","00186D1649",151,"SGR_4",2.08361775564665,"T5minusT1",133
"95","00186D1649",151,"SGR_5",1.9794279007519,"T6minusT1",161
"96","00186D1649",151,"SGR_6",1.62445707989731,"T7minusT1",244
"97","00186D164A",201,"SGR_1",3.03983412891338,"T2minusT1",32
"98","00186D164A",201,"SGR_2",2.494488150498,"T3minusT1",62
"99","00186D164A",201,"SGR_3",2.17662912147112,"T4minusT1",98
"100","00186D164A",201,"SGR_4",NA,"T5minusT1",NA
"101","00186D164A",201,"SGR_5",NA,"T6minusT1",NA
"102","00186D164A",201,"SGR_6",NA,"T7minusT1",NA
"103","00186D164B",201,"SGR_1",3.2218467166619,"T2minusT1",32
"104","00186D164B",201,"SGR_2",2.48695905639238,"T3minusT1",62
"105","00186D164B",201,"SGR_3",2.19712822109794,"T4minusT1",98
"106","00186D164B",201,"SGR_4",NA,"T5minusT1",NA
"107","00186D164B",201,"SGR_5",NA,"T6minusT1",NA
"108","00186D164B",201,"SGR_6",NA,"T7minusT1",NA
"109","00186D164C",151,"SGR_1",3.76507164437967,"T2minusT1",32
"110","00186D164C",151,"SGR_2",3.61719999635901,"T3minusT1",62
"111","00186D164C",151,"SGR_3",3.18916983190165,"T4minusT1",98
"112","00186D164C",151,"SGR_4",2.86644101981937,"T5minusT1",133
"113","00186D164C",151,"SGR_5",2.57902757580459,"T6minusT1",161
"114","00186D164C",151,"SGR_6",2.02080509430791,"T7minusT1",244
"115","00186D164D",152,"SGR_1",2.96275796141234,"T2minusT1",32
"116","00186D164D",152,"SGR_2",3.0881617680681,"T3minusT1",62
"117","00186D164D",152,"SGR_3",2.64080235572055,"T4minusT1",98
"118","00186D164D",152,"SGR_4",2.35289790329665,"T5minusT1",133
"119","00186D164D",152,"SGR_5",2.13597761202602,"T6minusT1",161
"120","00186D164D",152,"SGR_6",1.78343658570321,"T7minusT1",244
"121","00186D164E",151,"SGR_1",3.54903948781835,"T2minusT1",32
"122","00186D164E",151,"SGR_2",3.60745555722939,"T3minusT1",62
"123","00186D164E",151,"SGR_3",3.15012636478709,"T4minusT1",98
"124","00186D164E",151,"SGR_4",2.80935836318572,"T5minusT1",133
"125","00186D164E",151,"SGR_5",2.57456434945293,"T6minusT1",161
"126","00186D164E",151,"SGR_6",2.04997900471309,"T7minusT1",244
"127","00186D164F",151,"SGR_1",2.97550168223879,"T2minusT1",32
"128","00186D164F",151,"SGR_2",3.05080264563227,"T3minusT1",62
