"","TAGNUMBER","TANK_Real","T2minusT1","SGR_1","T3minusT1","SGR_2","T4minusT1","SGR_3","T5minusT1","SGR_4","T6minusT1","SGR_5","T7minusT1","SGR_6","K1","K2","K3","K4","K5","K6","K7"
"1","00186D163A",151,32,1.95333017266976,62,2.42915909096499,98,2.13832858847827,133,2.02719923193904,161,1.9466210036563,244,1.74023732864959,1.13395214721939,1.08965636708567,1.11969409475742,1.15739377100375,1.10422740524781,1.10078070754797,1.24137174211248
"2","00186D163B",201,32,2.59382177411069,62,1.61024418293345,98,1.47324825011856,133,1.456891919114,161,1.48490134782751,244,1.27050215488711,1.14547032571008,1.19665989911549,1.1398330958681,1.12336506581992,1.05628014923221,1.15955087560637,1.23734887291946
"3","00186D163C",152,32,2.38832101778064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18718208633553,1.10142242734925,NA,NA,NA,NA,NA
"4","00186D163D",201,32,1.8284478966855,62,1.15312484074162,98,1.49606768468771,NA,NA,NA,NA,NA,NA,1.11978947957784,1.1390144335909,1.11328125,1.2,NA,NA,NA
"5","00186D163D",201,32,1.8284478966855,62,1.15312484074162,98,1.49606768468771,NA,NA,NA,NA,NA,NA,1.11978947957784,1.1390144335909,1.11328125,1.21123001470476,NA,NA,NA
"6","00186D163D",201,32,1.8284478966855,62,1.15312484074162,98,1.44295844503284,NA,NA,NA,NA,NA,NA,1.11978947957784,1.1390144335909,1.11328125,1.2,NA,NA,NA
"7","00186D163D",201,32,1.8284478966855,62,1.15312484074162,98,1.44295844503284,NA,NA,NA,NA,NA,NA,1.11978947957784,1.1390144335909,1.11328125,1.21123001470476,NA,NA,NA
"8","00186D163E",152,32,2.35364768828812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08190597667638,1.21762265265183,NA,NA,NA,NA,NA
"9","00186D163F",151,32,3.68087618966881,62,3.40009094868343,98,3.03439541144286,133,2.66621025530009,161,2.36402986348416,NA,NA,1.18718208633553,1.13477565759792,1.12973760932945,1.2517146776406,1.2291189026396,1.14102117315064,NA
"10","00186D1640",202,32,4.07741549665499,62,2.9726009656261,98,2.89359755600371,133,2.65159053312549,161,2.35704529598604,NA,NA,1.02996826171875,1.13136025659717,1.0914769458371,1.28378242966571,1.2786120425718,1.25858099757386,NA
"11","00186D1641",202,32,2.27059746944409,62,1.3025170192974,98,1.57284842378522,NA,NA,NA,NA,NA,NA,1.13702623906706,1.13480167213026,1.0474557660634,1.09553557082272,NA,NA,NA
