Date & time of file creation	11/3/2021 11:31 AM																																													
Raw data file path	C:\Users\Administrator\Desktop\BrookTrout_Respirometry\3month_Respirometry\15C_3month\PCRIT_1_15C_raw.txt																																													
Data file path	C:\Users\Administrator\Desktop\BrookTrout_Respirometry\3month_Respirometry\15C_3month\PCRIT_1_15C.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.5475	30.0050	0.00	100.00	14.43	14.47																																							
Chamber 2	1	59.7500	29.9550	0.00	100.00	14.43	14.46																																							
Chamber 3	1	59.6475	29.9775	0.00	100.00	14.44	14.46																																							
Chamber 4	1	58.8425	29.9775	0.00	100.00	14.42	14.47																																							
Chamber 5	1	58.6363	30.5150	0.00	100.00	14.75	14.79																																							
Chamber 6	1	59.2100	30.0750	0.00	100.00	14.75	14.79																																							
Chamber 7	1	59.4237	30.6150	0.00	100.00	14.76	14.79																																							
Chamber 8	1	59.4263	29.0150	0.00	100.00	14.76	14.80																																							
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	726.8	0	27.3	1	10	Not used	Not used	Not used																																						
Chamber 2	726.8	0	28	1	Not used	Not used	Not used	Not used																																						
Chamber 3	726.8	0	25.2	1	Not used	Not used	Not used	Not used																																						
Chamber 4	726.8	0	41.5	1	Not used	Not used	Not used	Not used																																						
Chamber 5	726.8	0	21.9	1	10	Not used	Not used	Not used																																						
Chamber 6	726.8	0	51.7	1	Not used	Not used	Not used	Not used																																						
Chamber 7	726.8	0	31.7	1	Not used	Not used	Not used	Not used																																						
Chamber 8	726.8	0	39.3	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
11/3/2021/11:31:37 AM	Flush	1014.9	0.0	30.2075	14.47	98.21	30.8238	14.47	92.56	30.1212	14.47	98.71	30.6000	14.47	94.60	30.6300	14.80	98.95	30.7800	14.80	93.90	30.9600	14.80	96.98	29.4200	14.80	96.39	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:38 AM	Flush	1014.9	0.0	30.1938	14.47	98.32	30.7950	14.47	92.79	30.1100	14.47	98.80	30.5937	14.47	94.64	30.6000	14.80	99.21	30.7700	14.80	93.98	30.9500	14.80	97.07	29.4500	14.80	96.13	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:39 AM	Flush	1014.9	0.0	30.1837	14.47	98.41	30.7987	14.47	92.76	30.1038	14.47	98.86	30.5775	14.47	94.78	30.6300	14.81	98.93	30.7400	14.81	94.21	30.9600	14.81	96.96	29.4400	14.81	96.20	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:40 AM	Flush	1014.9	0.0	30.1925	14.48	98.32	30.7850	14.48	92.86	30.1062	14.48	98.82	30.5637	14.48	94.88	30.6000	14.81	99.19	30.7500	14.81	94.13	30.9400	14.81	97.13	29.4300	14.81	96.28	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:41 AM	Flush	1014.9	0.0	30.1938	14.48	98.30	30.7763	14.48	92.92	30.1100	14.48	98.78	30.5600	14.48	94.91	30.6000	14.81	99.19	30.7500	14.81	94.13	30.9500	14.81	97.05	29.4200	14.81	96.37	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:42 AM	Flush	1014.9	0.0	30.1900	14.48	98.33	30.7613	14.48	93.05	30.1038	14.48	98.84	30.5538	14.48	94.96	30.6000	14.81	99.19	30.7300	14.81	94.29	30.9400	14.81	97.13	29.4100	14.81	96.46	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:43 AM	Flush	1014.9	0.0	30.1900	14.48	98.33	30.7500	14.48	93.14	30.1000	14.48	98.87	30.5500	14.48	94.99	30.5900	14.80	99.30	30.7100	14.80	94.48	30.9400	14.80	97.15	29.4300	14.80	96.30	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:44 AM	Flush	1014.9	0.0	30.1713	14.47	98.51	30.7250	14.47	93.36	30.1000	14.47	98.88	30.5312	14.47	95.16	30.6100	14.80	99.12	30.7200	14.80	94.40	30.9100	14.80	97.41	29.4000	14.80	96.56	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:45 AM	Flush	1014.9	0.0	30.1663	14.48	98.55	30.7037	14.48	93.53	30.0750	14.48	99.10	30.5263	14.48	95.20	30.6000	14.80	99.21	30.7100	14.80	94.48	30.9200	14.80	97.33	29.3700	14.80	96.83	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/3/2021/11:31:46 AM	Flush	1014.9	0.0	30.1700	14.48	98.51	30.7125	14.48	93.45	30.0850	14.48	99.00	30.5113	14.48	95.32	30.5800	14.80	99.39	30.7000	14.80	94.56	30.9100	14.80	97.41	29.3800	14.80	96.74	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
