Date & time of file creation	11/6/2021 10:25 AM																																													
Raw data file path	C:\Users\Administrator\Desktop\BrookTrout_Respirometry\3month_Respirometry\15C_3month\PCRIT_2_15C_raw.txt																																													
Data file path	C:\Users\Administrator\Desktop\BrookTrout_Respirometry\3month_Respirometry\15C_3month\PCRIT_2_15C.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.7200	29.8000	0.00	100.00	14.93	14.91																																							
Chamber 2	1	59.7500	29.7200	0.00	100.00	14.92	14.91																																							
Chamber 3	1	59.6500	29.6800	0.00	100.00	14.92	14.91																																							
Chamber 4	1	58.3200	29.7000	0.00	100.00	14.94	14.92																																							
Chamber 5	1	58.5000	30.2350	0.00	100.00	15.23	15.22																																							
Chamber 6	1	59.0000	29.7900	0.00	100.00	15.23	15.22																																							
Chamber 7	1	59.6750	30.3200	0.00	100.00	15.23	15.23																																							
Chamber 8	1	59.4300	28.7450	0.00	100.00	15.23	15.22																																							
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	726.8	0	30	1	10	Not used	Not used	Not used																																						
Chamber 2	726.8	0	30	1	Not used	Not used	Not used	Not used																																						
Chamber 3	726.8	0	30	1	Not used	Not used	Not used	Not used																																						
Chamber 4	726.8	0	30	1	Not used	Not used	Not used	Not used																																						
Chamber 5	726.8	0	30	1	10	Not used	Not used	Not used																																						
Chamber 6	726.8	0	30	1	Not used	Not used	Not used	Not used																																						
Chamber 7	726.8	0	30	1	Not used	Not used	Not used	Not used																																						
Chamber 8	726.8	0	30	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
11/6/2021/10:25:36 AM	Flush	1014.9	0.0	30.0800	14.42	98.48	29.9788	14.42	98.66	30.1825	14.42	96.53	30.0088	14.42	98.30	30.4800	14.73	98.89	30.0500	14.73	98.69	30.6200	14.73	98.37	29.0400	14.73	98.25	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:37 AM	Flush	1014.9	0.0	30.0812	14.42	98.47	29.9712	14.42	98.73	30.1337	14.42	96.96	29.9950	14.42	98.42	30.5000	14.74	98.69	30.0600	14.74	98.58	30.6100	14.74	98.44	29.0200	14.74	98.41	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:38 AM	Flush	1014.9	0.0	30.0888	14.42	98.40	29.9812	14.42	98.64	30.1600	14.42	96.73	29.9625	14.42	98.71	30.4800	14.74	98.87	30.0700	14.74	98.49	30.6100	14.74	98.44	29.0100	14.74	98.50	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:39 AM	Flush	1014.9	0.0	30.0800	14.43	98.46	29.9900	14.43	98.54	30.1650	14.43	96.67	29.9812	14.43	98.52	30.5100	14.74	98.60	30.0800	14.74	98.40	30.6300	14.74	98.26	29.0100	14.74	98.50	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:40 AM	Flush	1014.9	0.0	30.0812	14.43	98.45	29.9900	14.43	98.54	30.1925	14.43	96.43	29.9887	14.43	98.45	30.4900	14.74	98.78	30.0600	14.74	98.58	30.5900	14.74	98.61	29.0200	14.74	98.41	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:41 AM	Flush	1014.9	0.0	30.0925	14.43	98.35	29.9900	14.43	98.54	30.1400	14.43	96.88	29.9812	14.43	98.52	30.4800	14.73	98.89	30.0700	14.73	98.51	30.6100	14.73	98.46	29.0400	14.73	98.25	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:42 AM	Flush	1014.9	0.0	30.1062	14.43	98.23	29.9875	14.43	98.56	30.1400	14.43	96.88	29.9925	14.43	98.42	30.4900	14.72	98.82	30.0400	14.72	98.80	30.6200	14.72	98.39	29.0400	14.72	98.27	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:43 AM	Flush	1014.9	0.0	30.0787	14.43	98.48	29.9712	14.43	98.71	30.1425	14.43	96.86	30.0050	14.43	98.31	30.4900	14.72	98.82	30.0500	14.72	98.71	30.5900	14.72	98.65	29.0200	14.72	98.45	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:44 AM	Flush	1014.9	0.0	30.0712	14.42	98.56	29.9825	14.42	98.63	30.1625	14.42	96.71	29.9712	14.42	98.63	30.4900	14.72	98.82	30.0700	14.72	98.53	30.6100	14.72	98.48	29.0300	14.72	98.36	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:45 AM	Flush	1014.9	0.0	30.0800	14.42	98.48	29.9988	14.42	98.49	30.1788	14.42	96.57	29.9800	14.42	98.56	30.4800	14.72	98.91	30.0400	14.72	98.80	30.6100	14.72	98.48	29.0300	14.72	98.36	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:46 AM	M1   	1014.9	0.0	30.0800	14.41	98.50	29.9887	14.41	98.59	30.1675	14.41	96.68	29.9825	14.41	98.55	30.4900	14.72	98.82	30.0700	14.72	98.53	30.6000	14.72	98.57	29.0400	14.72	98.27	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:47 AM	M1   	1014.9	0.0	30.0825	14.41	98.48	29.9800	14.41	98.67	30.1525	14.41	96.81	29.9975	14.41	98.42	30.4700	14.72	99.00	30.0500	14.72	98.71	30.6100	14.72	98.48	29.0200	14.72	98.45	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:48 AM	M1   	1014.9	0.0	30.0963	14.41	98.36	29.9788	14.41	98.68	30.1713	14.41	96.65	29.9775	14.41	98.60	30.4900	14.72	98.82	30.0600	14.72	98.62	30.6400	14.72	98.22	29.0200	14.72	98.45	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:49 AM	M1   	1014.9	0.0	30.0725	14.41	98.57	29.9725	14.41	98.74	30.1775	14.41	96.60	29.9638	14.41	98.72	30.4800	14.73	98.89	30.0700	14.73	98.51	30.6000	14.73	98.55	29.0100	14.73	98.52	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:50 AM	M1   	1014.9	0.0	30.0888	14.41	98.43	29.9887	14.41	98.59	30.1562	14.41	96.78	29.9875	14.41	98.51	30.4900	14.72	98.82	30.0800	14.72	98.44	30.6100	14.72	98.48	29.0300	14.72	98.36	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:51 AM	M1   	1014.9	0.0	30.0812	14.41	98.49	29.9800	14.41	98.67	30.1300	14.41	97.01	29.9712	14.41	98.65	30.4900	14.72	98.82	30.0500	14.72	98.71	30.6200	14.72	98.39	29.0500	14.72	98.18	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:52 AM	M1   	1014.9	0.0	30.0912	14.41	98.40	29.9800	14.41	98.67	30.1275	14.41	97.03	29.9812	14.41	98.56	30.5100	14.71	98.67	30.0600	14.71	98.64	30.6000	14.71	98.59	29.0200	14.71	98.47	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:53 AM	M1   	1014.9	0.0	30.0950	14.41	98.37	29.9800	14.41	98.67	30.1163	14.41	97.12	29.9887	14.41	98.49	30.5000	14.71	98.75	30.0600	14.71	98.64	30.6000	14.71	98.59	29.0400	14.71	98.29	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:54 AM	M1   	1014.9	0.0	30.0625	14.42	98.64	29.9800	14.42	98.65	30.1612	14.42	96.72	29.9812	14.42	98.54	30.4900	14.71	98.84	30.0700	14.71	98.55	30.6000	14.71	98.59	29.0400	14.71	98.29	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:55 AM	M1   	1014.9	0.0	30.0800	14.42	98.48	29.9788	14.42	98.66	30.1675	14.42	96.66	29.9887	14.42	98.48	30.4800	14.71	98.93	30.0600	14.71	98.64	30.6100	14.71	98.50	29.0300	14.71	98.38	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:56 AM	M1   	1014.9	0.0	30.0800	14.42	98.48	29.9712	14.42	98.72	30.1437	14.42	96.87	29.9788	14.42	98.56	30.4800	14.72	98.91	30.0800	14.72	98.44	30.6100	14.72	98.48	29.0300	14.72	98.36	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:57 AM	M1   	1014.9	0.0	30.0800	14.43	98.47	29.9788	14.43	98.64	30.1063	14.43	97.18	29.9700	14.43	98.62	30.5000	14.73	98.71	30.0500	14.73	98.69	30.6000	14.73	98.55	29.0400	14.73	98.25	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:58 AM	M1   	1014.9	0.0	30.0775	14.42	98.50	29.9712	14.42	98.73	30.1475	14.42	96.84	29.9712	14.42	98.63	30.4800	14.73	98.89	30.0400	14.73	98.78	30.6200	14.73	98.37	29.0200	14.73	98.43	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:25:59 AM	M1   	1014.9	0.0	30.0612	14.42	98.65	29.9800	14.42	98.65	30.1288	14.42	97.00	29.9800	14.42	98.55	30.4800	14.73	98.89	30.0500	14.73	98.69	30.6200	14.73	98.37	29.0400	14.73	98.25	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:00 AM	M1   	1014.9	0.0	30.0712	14.42	98.56	29.9788	14.42	98.66	30.1250	14.42	97.03	29.9800	14.42	98.55	30.4800	14.73	98.89	30.0500	14.73	98.69	30.6000	14.73	98.55	29.0500	14.73	98.16	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:01 AM	M1   	1014.9	0.0	30.0800	14.42	98.48	29.9712	14.42	98.73	30.1550	14.42	96.77	29.9800	14.42	98.55	30.5000	14.73	98.71	30.0500	14.73	98.69	30.6100	14.73	98.46	29.0300	14.73	98.34	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:02 AM	M1   	1014.9	0.0	30.0800	14.42	98.48	29.9788	14.42	98.66	30.1250	14.42	97.03	29.9800	14.42	98.55	30.4800	14.73	98.89	30.0600	14.73	98.60	30.6100	14.73	98.46	29.0400	14.73	98.25	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:03 AM	M1   	1014.9	0.0	30.0800	14.43	98.46	29.9712	14.43	98.71	30.1575	14.43	96.73	29.9800	14.43	98.53	30.4900	14.73	98.80	30.0600	14.73	98.60	30.6200	14.73	98.37	29.0400	14.73	98.25	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:04 AM	M1   	1014.9	0.0	30.0787	14.43	98.47	29.9800	14.43	98.63	30.1412	14.43	96.87	29.9800	14.43	98.53	30.4700	14.73	98.98	30.0800	14.73	98.42	30.6200	14.73	98.37	29.0300	14.73	98.34	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:05 AM	M1   	1014.9	0.0	30.0725	14.43	98.53	29.9800	14.43	98.63	30.1437	14.43	96.85	29.9800	14.43	98.53	30.4900	14.72	98.82	30.0300	14.72	98.89	30.6300	14.72	98.30	29.0400	14.72	98.27	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:06 AM	M1   	1014.9	0.0	30.0862	14.42	98.43	29.9788	14.42	98.66	30.1025	14.42	97.23	29.9800	14.42	98.55	30.4600	14.72	99.09	30.0500	14.72	98.71	30.6100	14.72	98.48	29.0200	14.72	98.45	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:07 AM	M1   	1014.9	0.0	30.0625	14.42	98.64	29.9700	14.42	98.74	30.1250	14.42	97.03	29.9800	14.42	98.55	30.4900	14.72	98.82	30.0500	14.72	98.71	30.6300	14.72	98.30	29.0500	14.72	98.18	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:08 AM	M1   	1014.9	0.0	30.0775	14.42	98.50	29.9700	14.42	98.74	30.1588	14.42	96.74	29.9800	14.42	98.55	30.4700	14.73	98.98	30.0600	14.73	98.60	30.6000	14.73	98.55	29.0100	14.73	98.52	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:09 AM	M1   	1014.9	0.0	30.0600	14.42	98.66	29.9700	14.42	98.74	30.1462	14.42	96.85	29.9812	14.42	98.54	30.4700	14.73	98.98	30.0700	14.73	98.51	30.6200	14.73	98.37	29.0400	14.73	98.25	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:10 AM	M1   	1014.9	0.0	30.0625	14.42	98.64	29.9725	14.42	98.72	30.1225	14.42	97.05	29.9925	14.42	98.44	30.4700	14.73	98.98	30.0500	14.73	98.69	30.6300	14.73	98.28	29.0500	14.73	98.16	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:11 AM	M1   	1014.9	0.0	30.0787	14.42	98.49	29.9887	14.42	98.57	30.1438	14.42	96.87	30.0075	14.42	98.31	30.4700	14.72	99.00	30.0700	14.72	98.53	30.6200	14.72	98.39	29.0500	14.72	98.18	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:12 AM	M1   	1014.9	0.0	30.0700	14.42	98.57	29.9800	14.42	98.65	30.1688	14.42	96.66	29.9887	14.42	98.48	30.4600	14.72	99.09	30.0700	14.72	98.53	30.6300	14.72	98.30	29.0400	14.72	98.27	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:13 AM	M1   	1014.9	0.0	30.0700	14.41	98.59	29.9800	14.41	98.67	30.1575	14.41	96.77	29.9825	14.41	98.55	30.4900	14.72	98.82	30.0700	14.72	98.53	30.6200	14.72	98.39	29.0500	14.72	98.18	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:14 AM	M1   	1014.9	0.0	30.0712	14.42	98.56	29.9812	14.42	98.64	30.1463	14.42	96.85	30.0000	14.42	98.38	30.4800	14.72	98.91	30.0600	14.72	98.62	30.6200	14.72	98.39	29.0400	14.72	98.27	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:15 AM	M1   	1014.9	0.0	30.0787	14.41	98.51	29.9887	14.41	98.59	30.1863	14.41	96.52	29.9962	14.41	98.43	30.4900	14.72	98.82	30.0800	14.72	98.44	30.6200	14.72	98.39	29.0400	14.72	98.27	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
11/6/2021/10:26:16 AM	M1   	1014.9	0.0	30.0712	14.41	98.58	29.9812	14.41	98.66	30.1612	14.41	96.74	29.9737	14.41	98.63	30.4900	14.72	98.82	30.0700	14.72	98.53	30.6300	14.72	98.30	29.0500	14.72	98.18	NaN	NaN	NaN	NaN	NaN	NaN	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
