"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals","residuals.log"
"2330",2330,"001872948B","201","WEIGHT_2",6.7,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.17176501039723,"20",2021-08-30,0.978856181436441,0.00881698464977576,0.00369388567290704
"2331",2331,"001872948B","201","WEIGHT_3",11.7,"LENGTH_3",101,"T3","2021-09-29","Day_in_Exp_T3",62,1.13559047307534,"20",2021-09-29,0.932941524525501,0.0165905123483658,0.0080884625805301
"2332",2332,"001872948B","201","WEIGHT_4",18.9,"LENGTH_4",119,"T4","2021-11-04","Day_in_Exp_T4",98,1.1215558887915,"20",2021-11-04,0.908655852766269,-0.0690793544618893,-0.0310319252221581
"2333",2333,"001872948B","201","WEIGHT_5",42.6,"LENGTH_5",150,"T5","2021-12-09","Day_in_Exp_T5",133,1.26222222222222,"20",2021-12-09,1.00269318899824,0.0405378340290397,0.0183383676252659
"2334",2334,"001872948B","201","WEIGHT_6",48.7,"LENGTH_6",160,"T6","2022-01-06","Day_in_Exp_T6",161,1.18896484375,"20",2022-01-06,0.939331344915685,-0.0120572453056914,-0.00474446834270896
"2337",2337,"001872948D","152","WEIGHT_1",3.9,"LENGTH_1",72,"T1","2021-07-29","Day_in_Exp_T1",0,1.0448816872428,"15",2021-07-29,0.88347416778139,-0.0213930962031791,-0.0100142753187151
"2338",2338,"001872948D","152","WEIGHT_2",11.7,"LENGTH_2",104,"T2","2021-08-30","Day_in_Exp_T2",20,1.04012573964497,"15",2021-08-30,0.852389340450882,-0.0405518868110802,-0.0198668634087141
"2339",2339,"001872948D","152","WEIGHT_3",29.7,"LENGTH_3",141,"T3","2021-09-29","Day_in_Exp_T3",62,1.0594954875124,"15",2021-09-29,0.846087905017916,-0.0501146576034325,-0.0248210476136883
"2340",2340,"001872948D","152","WEIGHT_4",65.2,"LENGTH_4",177,"T4","2021-11-04","Day_in_Exp_T4",98,1.1757846784797,"15",2021-11-04,0.920979723988123,0.0200557422672302,0.0098504365665838
"2341",2341,"001872948D","152","WEIGHT_5",115.8,"LENGTH_5",215,"T5","2021-12-09","Day_in_Exp_T5",133,1.16518042436515,"15",2021-12-09,0.89770968485213,-0.00559096596901998,-0.00205338596291018
