"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals","residuals.log"
"2540",2540,"00187294A9","152","WEIGHT_4",34.2,"LENGTH_4",141,"T4","2021-11-04","Day_in_Exp_T4",98,1.22002510683246,"15",2021-11-04,0.974283042141842,0.0285528722059776,0.0121655020324208
"2541",2541,"00187294A9","152","WEIGHT_5",61.4,"LENGTH_5",171,"T5","2021-12-09","Day_in_Exp_T5",133,1.22794818058678,"15",2021-12-09,0.964662443052628,0.016555604016505,0.00706606502398354
"2542",2542,"00187294A9","152","WEIGHT_6",78.8,"LENGTH_6",189,"T6","2022-01-06","Day_in_Exp_T6",161,1.16718797606791,"15",2022-01-06,0.909162578355721,-0.0290034574575202,-0.0104059492695446
"2544",2544,"00187294A9","152","WEIGHT_8",148.1,"LENGTH_8",232,"T8","2022-03-30","Day_in_Exp_T8",244,1.18601751814343,"15",2022-03-30,0.907872006390361,-0.0178598695975565,-0.00795609610293767
"2545",2545,"00187294AA","201","WEIGHT_1",2.6,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.09093350340707,"20",2021-07-29,0.934211019843522,-0.00692745240974391,-0.00330798199968391
"2546",2546,"00187294AA","201","WEIGHT_2",8.4,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,1.23262584522915,"20",2021-08-30,1.0245903058296,0.0295356162034663,0.0117320615194395
"2547",2547,"00187294AA","201","WEIGHT_3",16.7,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.25469571750563,"20",2021-09-29,1.0233402059575,0.0819737009409006,0.0364608974768394
"2548",2548,"00187294AA","201","WEIGHT_4",37.3,"LENGTH_4",143,"T4","2021-11-04","Day_in_Exp_T4",98,1.27555949356526,"20",2021-11-04,1.0174127041152,0.0146620040475731,0.00627262381808651
"2549",2549,"00187294AA","201","WEIGHT_5",58.9,"LENGTH_5",168,"T5","2021-12-09","Day_in_Exp_T5",133,1.2421883435914,"20",2021-12-09,0.977318592049171,-0.00985225575949522,-0.00458671553930213
"2550",2550,"00187294AA","201","WEIGHT_6",80,"LENGTH_6",187,"T6","2022-01-06","Day_in_Exp_T6",161,1.22339067926168,"20",2022-01-06,0.953802883027211,-0.0226012000336328,-0.00989783114841153
"2553",2553,"00187294AB","202","WEIGHT_1",2.3,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.01330067274353,"20",2021-07-29,0.868931007225533,-0.0339994400540159,-0.0155906058198838
"2554",2554,"00187294AB","202","WEIGHT_2",5.9,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.15234375,"20",2021-08-30,0.965649237215019,0.00880257256260331,0.00517828785195466
"2561",2561,"00187294AC","202","WEIGHT_1",2.6,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.03980451675085,"20",2021-07-29,0.88921699177522,0.0198190722379723,0.00981397555703587
"2562",2562,"00187294AC","202","WEIGHT_2",4.4,"LENGTH_2",74,"T2","2021-08-30","Day_in_Exp_T2",20,1.08581920123191,"20",2021-08-30,0.915952223210042,-0.00736191370007222,-0.00238616932413999
"2563",2563,"00187294AC","202","WEIGHT_3",5.5,"LENGTH_3",80,"T3","2021-09-29","Day_in_Exp_T3",62,1.07421875,"20",2021-09-29,0.900181492319085,0.0305555400185017,0.0153301301853842
