"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"876",876,"00186D16A8","151","WEIGHT_4",18.2,"LENGTH_4",120,"T4","2021-11-04","Day_in_Exp_T4",98,1.05324074074074,"15",2021-11-04,0.852701926003334,-0.0243477899717955
"877",877,"00186D16A8","151","WEIGHT_5",31.3,"LENGTH_5",145,"T5","2021-12-09","Day_in_Exp_T5",133,1.02669236131043,"15",2021-12-09,0.817944903365596,-0.061481481709791
"878",878,"00186D16A8","151","WEIGHT_6",58.2,"LENGTH_6",173,"T6","2022-01-06","Day_in_Exp_T6",161,1.12404752905576,"15",2022-01-06,0.882166895975927,0.0126813141234212
"880",880,"00186D16A8","151","WEIGHT_8",131.4,"LENGTH_8",233,"T8","2022-03-30","Day_in_Exp_T8",244,1.03878962193829,"15",2022-03-30,0.794881425850806,-0.0621699961763765
"881",881,"00186D16A9","201","WEIGHT_1",2,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.02505227766616,"20",2021-07-29,0.882784370604449,-0.0222486014608864
"882",882,"00186D16A9","201","WEIGHT_2",3.6,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.04956268221574,"20",2021-08-30,0.889559592706172,-0.0693895967320302
"883",883,"00186D16A9","201","WEIGHT_3",8,"LENGTH_3",90,"T3","2021-09-29","Day_in_Exp_T3",62,1.09739368998628,"20",2021-09-29,0.910441080173828,0.00518007534515641
"884",884,"00186D16A9","201","WEIGHT_4",17.4,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.14407824443166,"20",2021-11-04,0.929600633038359,-0.0370445668413359
"885",885,"00186D16A9","201","WEIGHT_5",34.3,"LENGTH_5",140,"T5","2021-12-09","Day_in_Exp_T5",133,1.25,"20",2021-12-09,0.998824369892081,0.047759022271345
"886",886,"00186D16A9","201","WEIGHT_6",43.1,"LENGTH_6",151,"T6","2022-01-06","Day_in_Exp_T6",161,1.25183309318082,"20",2022-01-06,0.993878710312127,0.0535801274392134
"888",888,"00186D16A9","201","WEIGHT_8",76,"LENGTH_8",185,"T8","2022-03-30","Day_in_Exp_T8",244,1.20032377154364,"20",2022-03-30,0.936674743687632,0.00312914838230549
"889",889,"00186D16AA","152","WEIGHT_1",3.4,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.03497925475406,"15",2021-07-29,0.878272879281805,0.00108099589610955
"890",890,"00186D16AA","152","WEIGHT_2",10,"LENGTH_2",100,"T2","2021-08-30","Day_in_Exp_T2",20,1,"15",2021-08-30,0.822242649947071,-0.0430231967160165
"891",891,"00186D16AA","152","WEIGHT_3",23.9,"LENGTH_3",133,"T3","2021-09-29","Day_in_Exp_T3",62,1.01588132805868,"15",2021-09-29,0.815296519949395,-0.0532306620730785
"892",892,"00186D16AA","152","WEIGHT_4",48.9,"LENGTH_4",166,"T4","2021-11-04","Day_in_Exp_T4",98,1.0690169591124,"15",2021-11-04,0.841928880960669,-0.0313197201613487
"897",897,"00186D16AB","151","WEIGHT_1",3.4,"LENGTH_1",66,"T1","2021-07-29","Day_in_Exp_T1",0,1.1826251495673,"15",2021-07-29,1.00736272287613,0.0694641108136748
"898",898,"00186D16AB","151","WEIGHT_2",9.7,"LENGTH_2",95,"T2","2021-08-30","Day_in_Exp_T2",20,1.13136025659717,"15",2021-08-30,0.934317346355783,0.00834477101593945
"899",899,"00186D16AB","151","WEIGHT_3",24.2,"LENGTH_3",129,"T3","2021-09-29","Day_in_Exp_T3",62,1.12731746424377,"15",2021-09-29,0.907081082574916,-0.0221528281243132
"900",900,"00186D16AB","151","WEIGHT_4",54,"LENGTH_4",166,"T4","2021-11-04","Day_in_Exp_T4",98,1.18050952540019,"15",2021-11-04,0.929737414557794,-0.00421791524097903
"905",905,"00186D16AC","201","WEIGHT_1",1.8,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,1.08189331329827,"20",2021-07-29,0.935952067580852,0.0209622591126571
"906",906,"00186D16AC","201","WEIGHT_2",2.8,"LENGTH_2",65,"T2","2021-08-30","Day_in_Exp_T2",20,1.0195721438325,"20",2021-08-30,0.869601591893806,-0.0993044339472549
"907",907,"00186D16AC","201","WEIGHT_3",2.9,"LENGTH_3",65,"T3","2021-09-29","Day_in_Exp_T3",62,1.05598543468366,"20",2021-09-29,0.900658791604299,-0.0145590496272314
"908",908,"00186D16AC","201","WEIGHT_4",42.2,"LENGTH_4",146,"T4","2021-11-04","Day_in_Exp_T4",98,1.35598187225751,"20",2021-11-04,1.07965224179597,0.103050205513419
"913",913,"00186D16AD","151","WEIGHT_1",2.2,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.18794986851555,"15",2021-07-29,1.02458678730102,0.0530283274316
"914",914,"00186D16AD","151","WEIGHT_2",5.9,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.15234375,"15",2021-08-30,0.965649237215019,0.00601681406821053
"915",915,"00186D16AD","151","WEIGHT_3",14.9,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.2871180218119,"15",2021-09-29,1.05394338113722,0.0910496226310289
"921",921,"00186D16AE","152","WEIGHT_1",1.6,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,0.96168294515402,"15",2021-07-29,0.831957393405202,-0.141744316434774
"922",922,"00186D16AE","152","WEIGHT_2",4.8,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.13777777777778,"15",2021-08-30,0.958687886353881,-0.00308778676348698
"923",923,"00186D16AE","152","WEIGHT_3",16.7,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.25469571750563,"15",2021-09-29,1.0233402059575,0.0583031974807483
"924",924,"00186D16AE","152","WEIGHT_4",44,"LENGTH_4",150,"T4","2021-11-04","Day_in_Exp_T4",98,1.3037037037037,"15",2021-11-04,1.03564554732213,0.0658871197458267
"925",925,"00186D16AE","152","WEIGHT_5",85.4,"LENGTH_5",185,"T5","2021-12-09","Day_in_Exp_T5",133,1.34878486960298,"15",2021-12-09,1.05252661988058,0.08039152320402
"926",926,"00186D16AE","152","WEIGHT_6",113.5,"LENGTH_6",206,"T6","2022-01-06","Day_in_Exp_T6",161,1.29835722920729,"15",2022-01-06,1.00395786582616,0.0417635723724846
"928",928,"00186D16AE","152","WEIGHT_8",267.7,"LENGTH_8",272,"T8","2022-03-30","Day_in_Exp_T8",244,1.33027570349074,"15",2022-03-30,1.00462342909637,0.0548632954680216
"929",929,"00186D16AF","151","WEIGHT_1",2.2,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.07119033591555,"15",2021-07-29,0.921179415855188,-0.0237923468825717
"930",930,"00186D16AF","151","WEIGHT_2",8.5,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.16598079561043,"15",2021-08-30,0.967343647684692,0.0342979216695396
"931",931,"00186D16AF","151","WEIGHT_3",22,"LENGTH_3",125,"T3","2021-09-29","Day_in_Exp_T3",62,1.1264,"15",2021-09-29,0.908772738836006,-0.0275343225385324
"932",932,"00186D16AF","151","WEIGHT_4",46.4,"LENGTH_4",159,"T4","2021-11-04","Day_in_Exp_T4",98,1.154321029117,"15",2021-11-04,0.912447429453889,-0.0285810510201939
"933",933,"00186D16AF","151","WEIGHT_5",97,"LENGTH_5",196,"T5","2021-12-09","Day_in_Exp_T5",133,1.2882599937101,"15",2021-12-09,1.00037252202106,0.0569673724467197
"934",934,"00186D16AF","151","WEIGHT_6",149.6,"LENGTH_6",226,"T6","2022-01-06","Day_in_Exp_T6",161,1.29600380345929,"15",2022-01-06,0.994276234183596,0.060811887832137
"937",937,"00186D16B0","152","WEIGHT_1",2.2,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.07119033591555,"15",2021-07-29,0.921179415855188,0.0375843178544368
"938",938,"00186D16B0","152","WEIGHT_2",3.3,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,0.962099125364431,"15",2021-08-30,0.815429626647324,-0.0562394346308199
"939",939,"00186D16B0","152","WEIGHT_3",5.7,"LENGTH_3",84,"T3","2021-09-29","Day_in_Exp_T3",62,0.96169420149012,"15",2021-09-29,0.802552141933782,-0.0723782547037479
"940",940,"00186D16B0","152","WEIGHT_4",12.2,"LENGTH_4",105,"T4","2021-11-04","Day_in_Exp_T4",98,1.0538818702084,"15",2021-11-04,0.862960352340545,-0.0166914633965292
"945",945,"00186D16B1","202","WEIGHT_1",1.9,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.02595670462706,"20",2021-07-29,0.884870407214513,-0.00191752993928829
"946",946,"00186D16B1","202","WEIGHT_2",3.3,"LENGTH_2",68,"T2","2021-08-30","Day_in_Exp_T2",20,1.04951150010177,"20",2021-08-30,0.891710630661244,-0.0489935238654238
"947",947,"00186D16B1","202","WEIGHT_3",4,"LENGTH_3",74,"T3","2021-09-29","Day_in_Exp_T3",62,0.987108364756283,"20",2021-09-29,0.832683839281856,-0.0543321306352816
"948",948,"00186D16B1","202","WEIGHT_4",6,"LENGTH_4",81,"T4","2021-11-04","Day_in_Exp_T4",98,1.12900585389535,"20",2021-11-04,0.94509391538964,-0.00330624957852033
"949",949,"00186D16B1","202","WEIGHT_5",18.6,"LENGTH_5",117,"T5","2021-12-09","Day_in_Exp_T5",133,1.161329234965,"20",2021-12-09,0.942235712373656,0.00941539966445348
"950",950,"00186D16B1","202","WEIGHT_6",29.6,"LENGTH_6",136,"T6","2022-01-06","Day_in_Exp_T6",161,1.17672501526562,"20",2022-01-06,0.942592931659058,0.0205393836976784
"952",952,"00186D16B1","202","WEIGHT_8",68.7,"LENGTH_8",180,"T8","2022-03-30","Day_in_Exp_T8",244,1.17798353909465,"20",2022-03-30,0.921384832578944,0.00608427218515106
"953",953,"00186D16B2","202","WEIGHT_1",1.3,"LENGTH_1",51,"T1","2021-07-29","Day_in_Exp_T1",0,0.980015227928926,"20",2021-07-29,0.853275663230365,-0.0520019300124238
"954",954,"00186D16B2","202","WEIGHT_2",2.9,"LENGTH_2",66,"T2","2021-08-30","Day_in_Exp_T2",20,1.00870968639564,"20",2021-08-30,0.859221145982577,-0.0999726646330775
"955",955,"00186D16B2","202","WEIGHT_3",4.4,"LENGTH_3",75,"T3","2021-09-29","Day_in_Exp_T3",62,1.04296296296296,"20",2021-09-29,0.878797229157725,-0.0267083968483998
"956",956,"00186D16B2","202","WEIGHT_4",9.1,"LENGTH_4",91,"T4","2021-11-04","Day_in_Exp_T4",98,1.20758362516604,"20",2021-11-04,1.00091845531505,0.0340286342579001
"957",957,"00186D16B2","202","WEIGHT_5",17.8,"LENGTH_5",112,"T5","2021-12-09","Day_in_Exp_T5",133,1.26696884110787,"20",2021-12-09,1.03176882710918,0.0804588583109906
"958",958,"00186D16B2","202","WEIGHT_6",27.2,"LENGTH_6",130,"T6","2022-01-06","Day_in_Exp_T6",161,1.23805188893946,"20",2022-01-06,0.995528418943228,0.0549852148928618
"960",960,"00186D16B2","202","WEIGHT_8",57.8,"LENGTH_8",170,"T8","2022-03-30","Day_in_Exp_T8",244,1.17647058823529,"20",2022-03-30,0.924683090768184,-0.00910712571459593
"961",961,"00186D16B3","151","WEIGHT_1",2.7,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.18952687669893,"15",2021-07-29,1.02004944326476,0.0729154629808151
"962",962,"00186D16B3","151","WEIGHT_2",6.4,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.11929792037944,"15",2021-08-30,0.935026800178093,-0.000181143383241711
"963",963,"00186D16B3","151","WEIGHT_3",15.4,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.15702479338843,"15",2021-09-29,0.943678992320092,0.00520971339937171
"964",964,"00186D16B3","151","WEIGHT_4",31.7,"LENGTH_4",139,"T4","2021-11-04","Day_in_Exp_T4",98,1.18036102663855,"15",2021-11-04,0.943753561217782,0.000562863197517083
"969",969,"00186D16B4","151","WEIGHT_1",3,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.09239872553482,"15",2021-07-29,0.931715991314792,0.00847546327379778
"977",977,"00186D16B5","201","WEIGHT_1",2.5,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.15740740740741,"20",2021-07-29,0.993901626321763,0.0280209831997021
"978",978,"00186D16B5","201","WEIGHT_2",4.3,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.20141599447907,"20",2021-08-30,1.01703629009102,-0.00276057040390532
"979",979,"00186D16B5","201","WEIGHT_3",5.7,"LENGTH_3",79,"T3","2021-09-29","Day_in_Exp_T3",62,1.15609515677259,"20",2021-09-29,0.969829251709102,0.00372057582370522
"980",980,"00186D16B5","201","WEIGHT_4",16.6,"LENGTH_4",108,"T4","2021-11-04","Day_in_Exp_T4",98,1.31776152009348,"20",2021-11-04,1.07645480919515,0.0489619382587281
"981",981,"00186D16B5","201","WEIGHT_5",39.9,"LENGTH_5",142,"T5","2021-12-09","Day_in_Exp_T5",133,1.39350285406148,"20",2021-12-09,1.11214996691693,0.100236948239467
"982",982,"00186D16B5","201","WEIGHT_6",61.4,"LENGTH_6",170,"T6","2022-01-06","Day_in_Exp_T6",161,1.24974557296967,"20",2022-01-06,0.982275809224334,-0.0188704447053045
"985",985,"00186D16B6","152","WEIGHT_1",2.8,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.068115234375,"15",2021-07-29,0.91220576292912,-0.0230490801231052
"986",986,"00186D16B6","152","WEIGHT_2",9.1,"LENGTH_2",92,"T2","2021-08-30","Day_in_Exp_T2",20,1.16863236623654,"15",2021-08-30,0.967733878121506,0.0444050717918881
"987",987,"00186D16B6","152","WEIGHT_3",20,"LENGTH_3",120,"T3","2021-09-29","Day_in_Exp_T3",62,1.15740740740741,"15",2021-09-29,0.937035083520147,0.0104449418311436
"988",988,"00186D16B6","152","WEIGHT_4",40.4,"LENGTH_4",150,"T4","2021-11-04","Day_in_Exp_T4",98,1.19703703703704,"15",2021-11-04,0.950910911632133,0.0195993508435853
"989",989,"00186D16B6","152","WEIGHT_5",70.4,"LENGTH_5",180,"T5","2021-12-09","Day_in_Exp_T5",133,1.20713305898491,"15",2021-12-09,0.944184748377841,0.0104965184890354
"990",990,"00186D16B6","152","WEIGHT_6",97.4,"LENGTH_6",205,"T6","2022-01-06","Day_in_Exp_T6",161,1.13056978279479,"15",2022-01-06,0.874577490608483,-0.049169936057442
"992",992,"00186D16B6","152","WEIGHT_8",265.6,"LENGTH_8",277,"T8","2022-03-30","Day_in_Exp_T8",244,1.24965106458179,"15",2022-03-30,0.942275682055886,0.0309624152152846
"993",993,"00186D16B7","151","WEIGHT_1",2,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.07995442592323,"15",2021-07-29,0.931442533910014,-0.00886191021650329
"994",994,"00186D16B7","151","WEIGHT_2",5.2,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.05468330091534,"15",2021-08-30,0.884756510331111,-0.0436218970727995
"995",995,"00186D16B7","151","WEIGHT_3",14.2,"LENGTH_3",109,"T3","2021-09-29","Day_in_Exp_T3",62,1.09650054168671,"15",2021-09-29,0.895009403377916,-0.0366303393853796
"996",996,"00186D16B7","151","WEIGHT_4",34.7,"LENGTH_4",143,"T4","2021-11-04","Day_in_Exp_T4",98,1.18664649937573,"15",2021-11-04,0.946493856107168,0.0101326942443278
"997",997,"00186D16B7","151","WEIGHT_5",77.6,"LENGTH_5",185,"T5","2021-12-09","Day_in_Exp_T5",133,1.2255937456814,"15",2021-12-09,0.956394211975793,0.0176563810126946
"998",998,"00186D16B7","151","WEIGHT_6",121.3,"LENGTH_6",215,"T6","2022-01-06","Day_in_Exp_T6",161,1.22052146351894,"15",2022-01-06,0.940347018761342,0.0115499910211251
"1000",1000,"00186D16B7","151","WEIGHT_8",305.2,"LENGTH_8",282,"T8","2022-03-30","Day_in_Exp_T8",244,1.36093443934674,"15",2022-03-30,1.02462755280502,0.108264684890126
"1001",1001,"00186D16B8","152","WEIGHT_1",2.2,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.18794986851555,"15",2021-07-29,1.02458678730102,0.087866661413595
"1002",1002,"00186D16B8","152","WEIGHT_2",5.5,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.07421875,"15",2021-08-30,0.900181492319085,-0.0246125968457281
"1003",1003,"00186D16B8","152","WEIGHT_3",13.6,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.17481913400281,"15",2021-09-29,0.961988589494378,0.0339331649701787
"1004",1004,"00186D16B8","152","WEIGHT_4",20.2,"LENGTH_4",121,"T4","2021-11-04","Day_in_Exp_T4",98,1.14023733870863,"15",2021-11-04,0.922483277240751,-0.0102935663829924
"1005",1005,"00186D16B8","152","WEIGHT_5",33.9,"LENGTH_5",143,"T5","2021-12-09","Day_in_Exp_T5",133,1.15928865500972,"15",2021-12-09,0.924672672104697,-0.0104808406193042
"1006",1006,"00186D16B8","152","WEIGHT_6",29.8,"LENGTH_6",145,"T6","2022-01-06","Day_in_Exp_T6",161,0.977489851982451,"15",2022-01-06,0.778746265824114,-0.146466443677007
"1008",1008,"00186D16B8","152","WEIGHT_8",114.8,"LENGTH_8",205,"T8","2022-03-30","Day_in_Exp_T8",244,1.33254015466984,"15",2022-03-30,1.03081617989583,0.118037630220033
"1009",1009,"00186D16B9","202","WEIGHT_1",2.9,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.05598543468366,"20",2021-07-29,0.900658791604299,0.0199274986918324
"1010",1010,"00186D16B9","202","WEIGHT_2",7,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.1398330958681,"20",2021-08-30,0.950256073799033,0.0156085635136992
"1011",1011,"00186D16B9","202","WEIGHT_3",11.1,"LENGTH_3",101,"T3","2021-09-29","Day_in_Exp_T3",62,1.07735506419969,"20",2021-09-29,0.885098369421629,0.0041390437458263
"1012",1012,"00186D16B9","202","WEIGHT_4",22.8,"LENGTH_4",128,"T4","2021-11-04","Day_in_Exp_T4",98,1.08718872070312,"20",2021-11-04,0.875370870559093,-0.066972650167733
"1013",1013,"00186D16B9","202","WEIGHT_5",44.1,"LENGTH_5",158,"T5","2021-12-09","Day_in_Exp_T5",133,1.11806571082612,"20",2021-12-09,0.884263046617746,-0.0425006218501216
"1014",1014,"00186D16B9","202","WEIGHT_6",62.3,"LENGTH_6",176,"T6","2022-01-06","Day_in_Exp_T6",161,1.14274687734786,"20",2022-01-06,0.895532736905435,-0.0204641668146095
"1017",1017,"00186D16BA","202","WEIGHT_1",3.3,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.04951150010177,"20",2021-07-29,0.891710630661244,-0.0198358834695126
"1018",1018,"00186D16BA","202","WEIGHT_2",9.6,"LENGTH_2",94,"T2","2021-08-30","Day_in_Exp_T2",20,1.15581325910444,"20",2021-08-30,0.955370450958985,-0.010092280544638
"1019",1019,"00186D16BA","202","WEIGHT_3",16.4,"LENGTH_3",112,"T3","2021-09-29","Day_in_Exp_T3",62,1.16731960641399,"20",2021-09-29,0.950618469920817,0.0388439230267245
"1020",1020,"00186D16BA","202","WEIGHT_4",29.6,"LENGTH_4",135,"T4","2021-11-04","Day_in_Exp_T4",98,1.20306863791089,"20",2021-11-04,0.964299707998414,-0.00885903394670218
"1025",1025,"00186D16BB","202","WEIGHT_1",1.8,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,0.922547049899545,"20",2021-07-29,0.794505933544004,-0.123954616462676
"1026",1026,"00186D16BB","202","WEIGHT_2",5.6,"LENGTH_2",78,"T2","2021-08-30","Day_in_Exp_T2",20,1.18006035165798,"20",2021-08-30,0.991005757657935,0.0186289902783888
"1027",1027,"00186D16BB","202","WEIGHT_3",12.4,"LENGTH_3",102,"T3","2021-09-29","Day_in_Exp_T3",62,1.16847969483834,"20",2021-09-29,0.959158004047615,0.0404694212775993
"1028",1028,"00186D16BB","202","WEIGHT_4",22.2,"LENGTH_4",119,"T4","2021-11-04","Day_in_Exp_T4",98,1.31738310746938,"20",2021-11-04,1.06731004928101,0.0872372714599755
"1029",1029,"00186D16BB","202","WEIGHT_5",39.7,"LENGTH_5",146,"T5","2021-12-09","Day_in_Exp_T5",133,1.2756511926214,"20",2021-12-09,1.01569180093128,0.0511988753692024
"1030",1030,"00186D16BB","202","WEIGHT_6",52.3,"LENGTH_6",166,"T6","2022-01-06","Day_in_Exp_T6",161,1.14334533663759,"20",2022-01-06,0.900467903358753,-0.0532582574555048
"1033",1033,"00186D16BC","201","WEIGHT_1",2.1,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.19579081632653,"20",2021-07-29,1.03290226892818,0.0862973502736832
"1034",1034,"00186D16BC","201","WEIGHT_2",4.3,"LENGTH_2",71,"T2","2021-08-24","Day_in_Exp_T2",20,1.20141599447907,"20",2021-08-24,1.01703629009102,0.0165151540636599
"1041",1041,"00186D16BD","201","WEIGHT_1",2.3,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.06481481481481,"20",2021-07-29,0.914389496216022,0.015962656766112
"1042",1042,"00186D16BD","201","WEIGHT_2",5.2,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.18457501093454,"20",2021-08-30,0.99699598977404,0.044652932951263
"1043",1043,"00186D16BD","201","WEIGHT_3",5.1,"LENGTH_3",79,"T3","2021-09-29","Day_in_Exp_T3",62,1.03440092974389,"20",2021-09-29,0.867741962055512,-0.0309129101577336
"1044",1044,"00186D16BD","201","WEIGHT_4",8,"LENGTH_4",88,"T4","2021-11-04","Day_in_Exp_T4",98,1.17392937640871,"20",2021-11-04,0.975800291266284,0.0157612240020152
"1045",1045,"00186D16BD","201","WEIGHT_5",19.2,"LENGTH_5",120,"T5","2021-12-09","Day_in_Exp_T5",133,1.11111111111111,"20",2021-12-09,0.899553680179341,-0.0449055348259697
"1046",1046,"00186D16BD","201","WEIGHT_6",32.1,"LENGTH_6",142,"T6","2022-01-06","Day_in_Exp_T6",161,1.12108876229007,"20",2022-01-06,0.894737191429409,-0.0389552588280789
"1049",1049,"00186D16BE","152","WEIGHT_1",2.6,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.09093350340707,"15",2021-07-29,0.934211019843522,0.0362814776583044
"1050",1050,"00186D16BE","152","WEIGHT_2",7.3,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.03550652581887,"15",2021-08-30,0.859913346586283,-0.0260901588763273
"1051",1051,"00186D16BE","152","WEIGHT_3",15.8,"LENGTH_3",114,"T3","2021-09-29","Day_in_Exp_T3",62,1.06645499559919,"15",2021-09-29,0.867172746853526,-0.0220920939684698
"1052",1052,"00186D16BE","152","WEIGHT_4",35.1,"LENGTH_4",145,"T4","2021-11-04","Day_in_Exp_T4",98,1.15133871827463,"15",2021-11-04,0.917248118470685,0.0232618585491442
"1053",1053,"00186D16BE","152","WEIGHT_5",66.5,"LENGTH_5",181,"T5","2021-12-09","Day_in_Exp_T5",133,1.12146550751542,"15",2021-12-09,0.87676507500707,-0.0195978540147285
"1054",1054,"00186D16BE","152","WEIGHT_6",99.1,"LENGTH_6",209,"T6","2022-01-06","Day_in_Exp_T6",161,1.08551241827302,"15",2022-01-06,0.838344195701808,-0.0480779300971089
"1056",1056,"00186D16BE","152","WEIGHT_8",225.2,"LENGTH_8",270,"T8","2022-03-30","Day_in_Exp_T8",244,1.14413453233755,"15",2022-03-30,0.86459192240751,-0.00939604356608326
"1057",1057,"00186D16BF","152","WEIGHT_1",2.4,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.11111111111111,"15",2021-07-29,0.954145561268892,0.092007515589847
"1058",1058,"00186D16BF","152","WEIGHT_2",4.7,"LENGTH_2",78,"T2","2021-08-30","Day_in_Exp_T2",20,0.990407795141523,"15",2021-08-30,0.831736975177195,-0.0184750337792429
"1059",1059,"00186D16BF","152","WEIGHT_3",8.6,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.00306167079749,"15",2021-09-29,0.828363832851519,-0.0251095114643052
"1060",1060,"00186D16BF","152","WEIGHT_4",15.2,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,0.999424673296622,"15",2021-11-04,0.812064920815118,-0.0461298426002508
"1061",1061,"00186D16BF","152","WEIGHT_5",25.5,"LENGTH_5",135,"T5","2021-12-09","Day_in_Exp_T5",133,1.03642737387593,"15",2021-12-09,0.830731167363498,-0.029840265152128
"1062",1062,"00186D16BF","152","WEIGHT_6",32.3,"LENGTH_6",148,"T6","2022-01-06","Day_in_Exp_T6",161,0.996362505675873,"15",2022-01-06,0.792401210549437,-0.058229418743308
"1064",1064,"00186D16BF","152","WEIGHT_8",83.9,"LENGTH_8",205,"T8","2022-03-30","Day_in_Exp_T8",244,0.973868632202086,"15",2022-03-30,0.753357817885541,-0.0848386515818805
"1065",1065,"00186D16C0","202","WEIGHT_1",1.8,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.02496355685131,"20",2021-07-29,0.885344801938439,-0.0258823473406548
"1066",1066,"00186D16C0","202","WEIGHT_2",3.8,"LENGTH_2",69,"T2","2021-08-30","Day_in_Exp_T2",20,1.15674152001924,"20",2021-08-30,0.981599100373782,0.0164557337218213
"1067",1067,"00186D16C0","202","WEIGHT_3",3.5,"LENGTH_3",70,"T3","2021-09-29","Day_in_Exp_T3",62,1.02040816326531,"20",2021-09-29,0.864849604019889,-0.0466055780225406
"1068",1068,"00186D16C0","202","WEIGHT_4",9.1,"LENGTH_4",92,"T4","2021-11-04","Day_in_Exp_T4",98,1.16863236623654,"20",2021-11-04,0.967733878121506,-0.00510549897194701
"1069",1069,"00186D16C0","202","WEIGHT_5",18.9,"LENGTH_5",116,"T5","2021-12-09","Day_in_Exp_T5",133,1.21084300299315,"20",2021-12-09,0.98312537904075,0.0258658542062555
"1070",1070,"00186D16C0","202","WEIGHT_6",25.9,"LENGTH_6",130,"T6","2022-01-06","Day_in_Exp_T6",161,1.17888029130633,"20",2022-01-06,0.947948016567265,0.00145525648059353
"1072",1072,"00186D16C0","202","WEIGHT_8",60.8,"LENGTH_8",170,"T8","2022-03-30","Day_in_Exp_T8",244,1.23753307551394,"20",2022-03-30,0.972677022814976,0.0329372502958906
"1073",1073,"00186D16C1","152","WEIGHT_1",2.6,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.03980451675085,"15",2021-07-29,0.88921699177522,-0.0232122607012322
"1081",1081,"00186D16C3","152","WEIGHT_1",3.2,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.16522530723714,"15",2021-07-29,0.993830390735779,0.0572069583107925
"1082",1082,"00186D16C3","152","WEIGHT_2",6.5,"LENGTH_2",84,"T2","2021-08-21","Day_in_Exp_T2",20,1.09666882626066,"15",2021-08-21,0.915191039047295,-0.00950635665508437
"1089",1089,"00186D16C4","152","WEIGHT_1",2.5,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.10141377472123,"15",2021-07-29,0.944490225245145,0.0270840805810737
"1090",1090,"00186D16C4","152","WEIGHT_2",6.3,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.10180889037351,"15",2021-08-30,0.92041700642531,0.014936898483846
