"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"52",52,"00186D1640","202","WEIGHT_4",44.2,"LENGTH_4",151,"T4","2021-11-04","Day_in_Exp_T4",98,1.28378242966571,"20",2021-11-04,1.01924452426441,0.0437151106856634
"53",53,"00186D1640","202","WEIGHT_5",87.7,"LENGTH_5",190,"T5","2021-12-09","Day_in_Exp_T5",133,1.2786120425718,"20",2021-12-09,0.995507954191903,0.0355583928721164
"54",54,"00186D1640","202","WEIGHT_6",114.9,"LENGTH_6",209,"T6","2022-01-06","Day_in_Exp_T6",161,1.25858099757386,"20",2022-01-06,0.972005530637112,0.0228227340651482
"57",57,"00186D1641","202","WEIGHT_1",3.9,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.13702623906706,"20",2021-07-29,0.963689558765019,0.066848406276266
"58",58,"00186D1641","202","WEIGHT_2",8,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.13480167213026,"20",2021-08-30,0.942370790779488,-0.00838657908213181
"59",59,"00186D1641","202","WEIGHT_3",8.7,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.0474557660634,"20",2021-09-29,0.86580447118158,-0.031264714070509
"60",60,"00186D1641","202","WEIGHT_4",18,"LENGTH_4",118,"T4","2021-11-04","Day_in_Exp_T4",98,1.09553557082272,"20",2021-11-04,0.888211746894343,-0.07024163340877
"65",65,"00186D1642","202","WEIGHT_1",2.7,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.07979699816435,"20",2021-07-29,0.923417645305036,-0.000808002963212706
"66",66,"00186D1642","202","WEIGHT_2",5.3,"LENGTH_2",76,"T2","2021-08-28","Day_in_Exp_T2",20,1.20735529960636,"20",2021-08-28,1.01616898957739,0.0380271239362712
"73",73,"00186D1643","152","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"15",2021-07-29,0.874633431163152,-0.0404393702752391
