"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME","condition4","Days_in_Exp"
"140","00186D164B",201,"WEIGHT_4",24.4,"LENGTH_4",125,"T4",2021-11-04,"Day_in_Exp_T4",98
"141","00186D164B",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"142","00186D164B",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"143","00186D164B",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"144","00186D164B",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"145","00186D164C",151,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29,"Day_in_Exp_T1",0
"146","00186D164C",151,"WEIGHT_2",6.2,"LENGTH_2",85,"T2",2021-08-30,"Day_in_Exp_T2",20
"147","00186D164C",151,"WEIGHT_3",17.2,"LENGTH_3",116,"T3",2021-09-29,"Day_in_Exp_T3",62
"148","00186D164C",151,"WEIGHT_4",41.2,"LENGTH_4",151,"T4",2021-11-04,"Day_in_Exp_T4",98
"149","00186D164C",151,"WEIGHT_5",81.5,"LENGTH_5",191,"T5",2021-12-09,"Day_in_Exp_T5",133
"150","00186D164C",151,"WEIGHT_6",114.6,"LENGTH_6",216,"T6",2022-01-06,"Day_in_Exp_T6",161
"151","00186D164C",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"152","00186D164C",151,"WEIGHT_8",250.5,"LENGTH_8",274,"T8",2022-03-30,"Day_in_Exp_T8",244
"153","00186D164D",152,"WEIGHT_1",2.2,"LENGTH_1",58,"T1",2021-07-29,"Day_in_Exp_T1",0
"154","00186D164D",152,"WEIGHT_2",5.6,"LENGTH_2",80,"T2",2021-08-30,"Day_in_Exp_T2",20
"155","00186D164D",152,"WEIGHT_3",14.5,"LENGTH_3",107,"T3",2021-09-29,"Day_in_Exp_T3",62
"156","00186D164D",152,"WEIGHT_4",28.3,"LENGTH_4",132,"T4",2021-11-04,"Day_in_Exp_T4",98
"157","00186D164D",152,"WEIGHT_5",48.5,"LENGTH_5",160,"T5",2021-12-09,"Day_in_Exp_T5",133
"158","00186D164D",152,"WEIGHT_6",66.1,"LENGTH_6",180,"T6",2022-01-06,"Day_in_Exp_T6",161
"159","00186D164D",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"160","00186D164D",152,"WEIGHT_8",164.3,"LENGTH_8",240,"T8",2022-03-30,"Day_in_Exp_T8",244
"161","00186D164E",151,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29,"Day_in_Exp_T1",0
"162","00186D164E",151,"WEIGHT_2",5.8,"LENGTH_2",80,"T2",2021-08-30,"Day_in_Exp_T2",20
"163","00186D164E",151,"WEIGHT_3",17.1,"LENGTH_3",111,"T3",2021-09-29,"Day_in_Exp_T3",62
"164","00186D164E",151,"WEIGHT_4",39.7,"LENGTH_4",141,"T4",2021-11-04,"Day_in_Exp_T4",98
"165","00186D164E",151,"WEIGHT_5",75.7,"LENGTH_5",178,"T5",2021-12-09,"Day_in_Exp_T5",133
"166","00186D164E",151,"WEIGHT_6",113.8,"LENGTH_6",207,"T6",2022-01-06,"Day_in_Exp_T6",161
"167","00186D164E",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"168","00186D164E",151,"WEIGHT_8",268.6,"LENGTH_8",268,"T8",2022-03-30,"Day_in_Exp_T8",244
"169","00186D164F",151,"WEIGHT_1",1.8,"LENGTH_1",56,"T1",2021-07-29,"Day_in_Exp_T1",0
"170","00186D164F",151,"WEIGHT_2",4.6,"LENGTH_2",77,"T2",2021-08-30,"Day_in_Exp_T2",20
"171","00186D164F",151,"WEIGHT_3",11.6,"LENGTH_3",103,"T3",2021-09-29,"Day_in_Exp_T3",62
"172","00186D164F",151,"WEIGHT_4",16.6,"LENGTH_4",116,"T4",2021-11-04,"Day_in_Exp_T4",98
"173","00186D164F",151,"WEIGHT_5",29.1,"LENGTH_5",141,"T5",2021-12-09,"Day_in_Exp_T5",133
"174","00186D164F",151,"WEIGHT_6",46.5,"LENGTH_6",164,"T6",2022-01-06,"Day_in_Exp_T6",161
"175","00186D164F",151,"WEIGHT_7",70.1,"LENGTH_7",183,"T7",2022-02-04,"Day_in_Exp_T7",190
"176","00186D164F",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"177","00186D1650",151,"WEIGHT_1",1.5,"LENGTH_1",53,"T1",2021-07-29,"Day_in_Exp_T1",0
"178","00186D1650",151,"WEIGHT_2",2.7,"LENGTH_2",65,"T2",2021-08-30,"Day_in_Exp_T2",20
"179","00186D1650",151,"WEIGHT_3",7.7,"LENGTH_3",89,"T3",2021-09-29,"Day_in_Exp_T3",62
"180","00186D1650",151,"WEIGHT_4",15.2,"LENGTH_4",111,"T4",2021-11-04,"Day_in_Exp_T4",98
"181","00186D1650",151,"WEIGHT_5",33.5,"LENGTH_5",145,"T5",2021-12-09,"Day_in_Exp_T5",133
"182","00186D1650",151,"WEIGHT_6",54.3,"LENGTH_6",172,"T6",2022-01-06,"Day_in_Exp_T6",161
"183","00186D1650",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"184","00186D1650",151,"WEIGHT_8",148.9,"LENGTH_8",240,"T8",2022-03-30,"Day_in_Exp_T8",244
"185","00186D1651",202,"WEIGHT_1",2.9,"LENGTH_1",64,"T1",2021-07-29,"Day_in_Exp_T1",0
"186","00186D1651",202,"WEIGHT_2",7,"LENGTH_2",85,"T2",2021-08-30,"Day_in_Exp_T2",20
"187","00186D1651",202,"WEIGHT_3",14.9,"LENGTH_3",110,"T3",2021-09-29,"Day_in_Exp_T3",62
"188","00186D1651",202,"WEIGHT_4",28.2,"LENGTH_4",135,"T4",2021-11-04,"Day_in_Exp_T4",98
"189","00186D1651",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"190","00186D1651",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"191","00186D1651",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"192","00186D1651",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"193","00186D1652",201,"WEIGHT_1",1.5,"LENGTH_1",53,"T1",2021-07-29,"Day_in_Exp_T1",0
"194","00186D1652",201,"WEIGHT_2",2.8,"LENGTH_2",64,"T2",2021-08-30,"Day_in_Exp_T2",20
"195","00186D1652",201,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"196","00186D1652",201,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"197","00186D1652",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"198","00186D1652",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"199","00186D1652",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"200","00186D1652",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"201","00186D1653",201,"WEIGHT_1",3.1,"LENGTH_1",65,"T1",2021-07-29,"Day_in_Exp_T1",0
"202","00186D1653",201,"WEIGHT_2",6.8,"LENGTH_2",86,"T2",2021-08-25,"Day_in_Exp_T2",20
"203","00186D1653",201,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"204","00186D1653",201,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"205","00186D1653",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"206","00186D1653",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"207","00186D1653",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"208","00186D1653",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"209","00186D1654",152,"WEIGHT_1",2.8,"LENGTH_1",62,"T1",2021-07-29,"Day_in_Exp_T1",0
"210","00186D1654",152,"WEIGHT_2",7.9,"LENGTH_2",88,"T2",2021-08-30,"Day_in_Exp_T2",20
"211","00186D1654",152,"WEIGHT_3",18.7,"LENGTH_3",118,"T3",2021-09-29,"Day_in_Exp_T3",62
"212","00186D1654",152,"WEIGHT_4",36.5,"LENGTH_4",147,"T4",2021-11-04,"Day_in_Exp_T4",98
"213","00186D1654",152,"WEIGHT_5",66,"LENGTH_5",180,"T5",2021-12-09,"Day_in_Exp_T5",133
"214","00186D1654",152,"WEIGHT_6",91.6,"LENGTH_6",204,"T6",2022-01-06,"Day_in_Exp_T6",161
"215","00186D1654",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"216","00186D1654",152,"WEIGHT_8",207.7,"LENGTH_8",265,"T8",2022-03-30,"Day_in_Exp_T8",244
"217","00186D1655",202,"WEIGHT_1",3.7,"LENGTH_1",71,"T1",2021-07-29,"Day_in_Exp_T1",0
"218","00186D1655",202,"WEIGHT_2",8.3,"LENGTH_2",90,"T2",2021-08-30,"Day_in_Exp_T2",20
"219","00186D1655",202,"WEIGHT_3",14.7,"LENGTH_3",111,"T3",2021-09-29,"Day_in_Exp_T3",62
"220","00186D1655",202,"WEIGHT_4",28.8,"LENGTH_4",135,"T4",2021-11-04,"Day_in_Exp_T4",98
"221","00186D1655",202,"WEIGHT_5",58.5,"LENGTH_5",169,"T5",2021-12-09,"Day_in_Exp_T5",133
"222","00186D1655",202,"WEIGHT_6",71.8,"LENGTH_6",186,"T6",2022-01-06,"Day_in_Exp_T6",161
"223","00186D1655",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"224","00186D1655",202,"WEIGHT_8",140.2,"LENGTH_8",225,"T8",2022-03-30,"Day_in_Exp_T8",244
"225","00186D1656",202,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29,"Day_in_Exp_T1",0
"226","00186D1656",202,"WEIGHT_2",5.6,"LENGTH_2",79,"T2",2021-08-30,"Day_in_Exp_T2",20
